"cohort_id","data_type","role","platform","endpoint_available","planned_use","raw_data_path","clinical_data_path","expression_unit","inclusion_rule","exclusion_rule","note"
"TCGA-PAAD","bulk_RNAseq_clinical","training","TCGA RNA-seq","OS/DSS/PFI","training_bulk_modeling","","","","","",""
"GTEx-Pancreas","bulk_RNAseq_normal","normal_reference","GTEx RNA-seq","","tumor_normal_reference_only","","","","","",""
"GSE62452","bulk_microarray_clinical","external_validation","Affymetrix HG-U133 Plus 2.0","TO_BE_CONFIRMED","external_prognostic_validation","","","","","",""
"GSE28735","bulk_microarray_paired","expression_validation","Affymetrix","","tumor_normal_expression_validation","","","","","",""
"GSE78229","bulk_microarray_clinical","external_validation","Illumina HumanHT-12","TO_BE_CONFIRMED","external_prognostic_validation","","","","","",""
"GSE85916","bulk_microarray_clinical","external_validation","Illumina","TO_BE_CONFIRMED","external_prognostic_validation","","","","","",""
"ICGC-PACA-AU","bulk_RNAseq_clinical","external_validation","RNA-seq","TO_BE_CONFIRMED","external_prognostic_validation","","","","","",""
"GSE155698","scRNAseq","single_cell_validation","scRNA-seq","","single_cell_localization","","","","","",""
"GSE154778","scRNAseq","single_cell_validation","scRNA-seq","","single_cell_localization","","","","","",""
"GTEx_v8_pancreas_eQTL","eQTL","MR_exposure","GTEx v8","","MR_exposure_source","","","","","",""
"PancreaticCancer_GWAS","GWAS_summary","MR_outcome","GWAS summary statistics","","MR_outcome_source","","","","","",""
