signature	group1	group2	p_adj
ferroptosis	MCD-intermediate	MCD-low	2.55151970072504e-07
ferroptosis	MCD-high	MCD-low	4.50337509306489e-09
ferroptosis	MCD-high	MCD-intermediate	0.000297218122750173
cuproptosis	MCD-intermediate	MCD-low	3.39288730188564e-05
cuproptosis	MCD-high	MCD-low	4.08887054371785e-11
cuproptosis	MCD-high	MCD-intermediate	4.83225512723643e-09
disulfidptosis	MCD-intermediate	MCD-low	9.55375327139453e-09
disulfidptosis	MCD-high	MCD-low	1.18382436944125e-11
disulfidptosis	MCD-high	MCD-intermediate	8.48488024551986e-06
MCD_overall_score	MCD-intermediate	MCD-low	7.91178279227661e-08
MCD_overall_score	MCD-high	MCD-low	1.58501877682662e-11
MCD_overall_score	MCD-high	MCD-intermediate	8.62814357616352e-07
