gene_symbol	TCGA-2J-AAB1-01A-11R-A41B-07	TCGA-2J-AAB4-01A-12R-A41B-07	TCGA-2J-AAB6-01A-11R-A41B-07	TCGA-2J-AAB8-01A-12R-A41B-07	TCGA-2J-AAB9-01A-11R-A41B-07	TCGA-2J-AABA-01A-21R-A41B-07	TCGA-2J-AABE-01A-12R-A41B-07	TCGA-2J-AABF-01A-31R-A41B-07	TCGA-2J-AABH-01A-21R-A41B-07	TCGA-2J-AABI-01A-12R-A41B-07	TCGA-2J-AABK-01A-31R-A41B-07	TCGA-2J-AABO-01A-21R-A41B-07	TCGA-2J-AABP-01A-11R-A41B-07	TCGA-2J-AABR-01A-11R-A41B-07	TCGA-2J-AABT-01A-11R-A41B-07	TCGA-2J-AABU-01A-11R-A41B-07	TCGA-2J-AABV-01A-12R-A41B-07	TCGA-2L-AAQA-01A-21R-A38C-07	TCGA-2L-AAQE-01A-11R-A39D-07	TCGA-2L-AAQI-01A-12R-A39D-07	TCGA-2L-AAQJ-01A-12R-A39D-07	TCGA-2L-AAQL-01A-11R-A38C-07	TCGA-2L-AAQM-01A-11R-A39D-07	TCGA-3A-A9I5-01A-11R-A38C-07	TCGA-3A-A9I7-01A-21R-A38C-07	TCGA-3A-A9I9-01A-11R-A38C-07	TCGA-3A-A9IB-01A-21R-A39D-07	TCGA-3A-A9IC-01A-11R-A38C-07	TCGA-3A-A9IH-01A-12R-A39D-07	TCGA-3A-A9IJ-01A-11R-A39D-07	TCGA-3A-A9IL-01A-11R-A38C-07	TCGA-3A-A9IN-01A-11R-A39D-07	TCGA-3A-A9IO-01A-11R-A38C-07	TCGA-3A-A9IR-01A-11R-A38C-07	TCGA-3A-A9IS-01A-21R-A39D-07	TCGA-3A-A9IU-01A-11R-A39D-07	TCGA-3A-A9IV-01A-11R-A41B-07	TCGA-3A-A9IX-01A-11R-A41B-07	TCGA-3A-A9IZ-01A-12R-A41B-07	TCGA-3A-A9J0-01A-11R-A41B-07	TCGA-3E-AAAY-01A-11R-A38C-07	TCGA-3E-AAAZ-01A-11R-A38C-07	TCGA-F2-6879-01A-11R-2156-07	TCGA-F2-6880-01A-11R-2156-07	TCGA-F2-7273-01A-11R-2156-07	TCGA-F2-7276-01A-11R-2156-07	TCGA-F2-A44G-01A-11R-A26U-07	TCGA-F2-A44H-01A-11R-A26U-07	TCGA-F2-A7TX-01A-33R-A38C-07	TCGA-F2-A8YN-01A-11R-A37L-07	TCGA-FB-A4P5-01A-11R-A26U-07	TCGA-FB-A4P6-01A-12R-A26U-07	TCGA-FB-A545-01A-11R-A26U-07	TCGA-FB-A5VM-01A-11R-A32O-07	TCGA-FB-A78T-01A-12R-A32O-07	TCGA-FB-A7DR-01A-21R-A33R-07	TCGA-FB-AAPP-01A-12R-A41B-07	TCGA-FB-AAPQ-01A-11R-A41B-07	TCGA-FB-AAPS-01A-12R-A39D-07	TCGA-FB-AAPU-01A-31R-A41B-07	TCGA-FB-AAPY-01A-11R-A41B-07	TCGA-FB-AAPZ-01A-11R-A41B-07	TCGA-FB-AAQ0-01A-31R-A41B-07	TCGA-FB-AAQ1-01A-12R-A41B-07	TCGA-FB-AAQ2-01A-31R-A41B-07	TCGA-FB-AAQ3-01A-11R-A41B-07	TCGA-FB-AAQ6-01A-11R-A41B-07	TCGA-H6-8124-01A-11R-2404-07	TCGA-H6-A45N-01A-11R-A26U-07	TCGA-H8-A6C1-01A-11R-A32O-07	TCGA-HV-A5A3-01A-11R-A26U-07	TCGA-HV-A5A4-01A-11R-A26U-07	TCGA-HV-A5A5-01A-11R-A26U-07	TCGA-HV-A5A6-01A-11R-A26U-07	TCGA-HV-A7OL-01A-11R-A33R-07	TCGA-HV-A7OP-01A-11R-A33R-07	TCGA-HV-AA8V-01A-11R-A41B-07	TCGA-HV-AA8X-01A-11R-A39D-07	TCGA-HZ-7289-01A-11R-2156-07	TCGA-HZ-7918-01A-11R-2156-07	TCGA-HZ-7919-01A-11R-2156-07	TCGA-HZ-7920-01A-11R-2204-07	TCGA-HZ-7922-01A-11R-2156-07	TCGA-HZ-7923-01A-12R-2156-07	TCGA-HZ-7924-01A-11R-2156-07	TCGA-HZ-7925-01A-11R-2156-07	TCGA-HZ-7926-01A-11R-2156-07	TCGA-HZ-8001-01A-11R-2204-07	TCGA-HZ-8002-01A-11R-2204-07	TCGA-HZ-8003-01A-21R-2204-07	TCGA-HZ-8005-01A-11R-2204-07	TCGA-HZ-8315-01A-11R-2404-07	TCGA-HZ-8317-01A-11R-2404-07	TCGA-HZ-8519-01A-11R-2404-07	TCGA-HZ-8636-01A-21R-2404-07	TCGA-HZ-8637-01A-11R-2404-07	TCGA-HZ-8638-01A-11R-2404-07	TCGA-HZ-A49G-01A-11R-A26U-07	TCGA-HZ-A49H-01A-11R-A26U-07	TCGA-HZ-A49I-01A-12R-A26U-07	TCGA-HZ-A4BH-01A-11R-A26U-07	TCGA-HZ-A4BK-01A-11R-A26U-07	TCGA-HZ-A77O-01A-11R-A33R-07	TCGA-HZ-A77P-01A-11R-A33R-07	TCGA-HZ-A77Q-01A-11R-A36G-07	TCGA-HZ-A8P1-01A-11R-A37L-07	TCGA-HZ-A9TJ-01A-11R-A41I-07	TCGA-IB-7644-01A-11R-2156-07	TCGA-IB-7645-01A-22R-2204-07	TCGA-IB-7646-01A-11R-2156-07	TCGA-IB-7647-01A-11R-2156-07	TCGA-IB-7649-01A-11R-2156-07	TCGA-IB-7651-01A-11R-2156-07	TCGA-IB-7652-01A-11R-2156-07	TCGA-IB-7654-01A-11R-2156-07	TCGA-IB-7885-01A-11R-2156-07	TCGA-IB-7886-01A-11R-2156-07	TCGA-IB-7887-01A-11R-2156-07	TCGA-IB-7888-01A-11R-2156-07	TCGA-IB-7889-01A-11R-2156-07	TCGA-IB-7890-01A-12R-2204-07	TCGA-IB-7891-01A-11R-2204-07	TCGA-IB-7893-01A-11R-2204-07	TCGA-IB-7897-01A-21R-2204-07	TCGA-IB-8126-01A-11R-2404-07	TCGA-IB-8127-01A-11R-2404-07	TCGA-IB-A5SO-01A-11R-A32O-07	TCGA-IB-A5SP-01A-11R-A32O-07	TCGA-IB-A5SQ-01A-11R-A32O-07	TCGA-IB-A5SS-01A-11R-A32O-07	TCGA-IB-A5ST-01A-11R-A32O-07	TCGA-IB-A6UF-01A-23R-A33R-07	TCGA-IB-A6UG-01A-32R-A33R-07	TCGA-IB-A7LX-01A-12R-A36G-07	TCGA-IB-A7M4-01A-11R-A36G-07	TCGA-IB-AAUM-01A-11R-A37L-07	TCGA-IB-AAUN-01A-12R-A38C-07	TCGA-IB-AAUO-01A-12R-A38C-07	TCGA-IB-AAUP-01A-11R-A37L-07	TCGA-IB-AAUQ-01A-22R-A41I-07	TCGA-IB-AAUR-01A-21R-A38C-07	TCGA-IB-AAUS-01A-12R-A38C-07	TCGA-IB-AAUT-01A-11R-A37L-07	TCGA-IB-AAUU-01A-11R-A37L-07	TCGA-IB-AAUV-01A-11R-A38C-07	TCGA-IB-AAUW-01A-12R-A38C-07	TCGA-L1-A7W4-01A-12R-A36G-07	TCGA-LB-A7SX-01A-11R-A33R-07	TCGA-LB-A8F3-01A-11R-A36G-07	TCGA-LB-A9Q5-01A-11R-A39D-07	TCGA-M8-A5N4-01A-11R-A26U-07	TCGA-OE-A75W-01A-12R-A32O-07	TCGA-PZ-A5RE-01A-11R-A32O-07	TCGA-Q3-A5QY-01A-12R-A32O-07	TCGA-Q3-AA2A-01A-11R-A37L-07	TCGA-RB-A7B8-01A-12R-A33R-07	TCGA-RB-AA9M-01A-11R-A39D-07	TCGA-RL-AAAS-01A-32R-A39D-07	TCGA-S4-A8RM-01A-11R-A37L-07	TCGA-S4-A8RO-01A-12R-A37L-07	TCGA-S4-A8RP-01A-11R-A36G-07	TCGA-US-A774-01A-21R-A32O-07	TCGA-US-A776-01A-13R-A33R-07	TCGA-US-A779-01A-11R-A32O-07	TCGA-US-A77E-01A-11R-A32O-07	TCGA-US-A77G-01A-11R-A32O-07	TCGA-US-A77J-01A-11R-A32O-07	TCGA-XD-AAUG-01A-61R-A41B-07	TCGA-XD-AAUH-01A-42R-A41B-07	TCGA-XD-AAUI-01A-42R-A41B-07	TCGA-XD-AAUL-01A-21R-A39D-07	TCGA-XN-A8T3-01A-11R-A36G-07	TCGA-XN-A8T5-01A-12R-A36G-07	TCGA-YB-A89D-01A-12R-A36G-07	TCGA-YH-A8SY-01A-11R-A37L-07	TCGA-YY-A8LH-01A-11R-A36G-07	TCGA-Z5-AAPL-01A-12R-A41B-07
DBT	1048	1119	931	582	442	781	466	1718	764	816	1170	512	831	808	932	520	285	796	1032	996	725	410	522	467	989	1024	1070	761	1631	724	717	536	747	1547	568	1243	1002	1794	654	664	930	1261	2691	730	3041	2027	904	433	1245	1203	680	995	707	687	900	948	482	255	530	876	728	598	681	1242	1525	691	388	1805	662	842	555	810	773	934	455	198	1117	1292	502	1837	1555	1919	1788	2063	3042	1933	1565	1105	2384	1643	1255	1893	1559	2094	1816	2565	2824	1050	666	866	1063	1032	882	1653	683	462	983	2806	1492	1084	2533	1006	2453	2496	2652	1541	1449	1740	1122	1065	1286	1820	2098	1961	1337	2050	1121	806	950	866	1217	1041	734	1039	1037	1041	733	866	1283	832	768	759	902	849	1246	1484	682	1324	571	719	668	493	649	687	577	765	1156	900	633	627	841	1261	958	692	1062	1189	463	705	754	959	1119	1080	694	848	820	608	868
DLAT	1014	1718	1306	626	563	842	824	1642	1279	1441	1032	557	1103	909	1036	581	139	1471	1462	1185	1178	305	392	533	1404	763	1284	956	1958	734	646	612	1020	627	1049	1375	898	1335	1119	821	963	1904	2542	398	2605	2384	1323	445	2554	1755	630	742	675	791	685	1122	851	529	564	1528	641	675	756	927	1456	453	596	2308	633	1067	507	883	940	961	421	145	949	1791	927	1505	2018	2340	1927	1614	3442	2539	2160	1071	2187	1143	1775	1821	1502	3146	2269	3971	2260	1026	643	911	1319	902	996	1404	965	1138	822	2618	1783	2067	2582	565	2137	3812	2212	2313	3254	1733	1314	1156	1289	1817	2653	2006	857	2812	1222	1437	1366	2218	1509	1460	1381	862	1471	594	1017	744	1153	704	1055	1079	750	1158	1177	1389	3745	1589	901	608	897	476	947	761	385	723	1374	788	1206	1221	959	1430	696	629	1050	1024	572	714	1095	1352	1281	946	808	1002	760	909	1058
DLD	2603	3174	2614	1372	1396	2451	1846	4802	3009	3677	3783	1582	3027	2415	3935	1090	1035	3361	3057	4022	2662	2224	2716	2392	4727	2291	2930	2090	4578	2489	2484	2052	4718	4731	3168	2826	4187	3324	1408	3117	3893	4888	5404	1443	5729	5214	2791	1411	5225	3206	1893	1720	1400	2522	2962	4312	3190	1777	1692	6699	2170	1752	2037	2546	3347	1913	1359	2224	1754	2565	1150	2503	2896	1700	2006	1194	2334	3548	4524	4635	3796	5438	2765	4315	9057	5321	5517	4659	4715	3362	3626	4283	4376	6553	4478	8623	7394	2627	2960	2208	2677	2294	2271	6064	2248	2800	4173	4477	5070	2166	7086	2524	7217	5151	4749	4854	4488	4095	3079	4777	2010	4661	4614	4909	3099	6920	2993	3155	2802	3333	3568	2369	2508	1689	2645	2234	2426	1997	3070	2830	2566	2812	2349	3310	3098	4561	3694	4254	2392	1773	2200	1870	2044	2292	1435	2368	3861	2831	4645	3344	2578	3869	3302	2863	3991	2465	2491	1763	2801	3172	5253	2094	2393	2795	2412	3067	2603
FDX1	864	1678	1018	500	602	735	688	1195	1396	801	1871	795	662	1121	659	341	628	1727	1279	1574	1176	1029	607	1473	1276	1142	959	1093	2466	1012	524	645	1005	1606	726	840	589	1176	910	862	1538	1510	2062	595	2008	1812	1035	491	1568	1221	711	724	579	961	893	806	613	772	631	1851	1041	841	722	1127	788	1875	723	1830	728	1017	729	1068	1012	1201	997	348	1036	1558	692	1548	1259	2142	1160	1341	2858	1594	2697	1438	1432	1185	830	1670	1439	2336	1383	2746	1799	1058	1243	1039	1146	1110	1220	1098	813	1216	854	1853	1468	1676	1736	1055	1795	2011	1893	1572	1519	1706	1137	1657	973	1282	1147	1226	889	2975	1217	1452	887	800	894	2103	2144	617	992	724	1116	806	869	747	790	1126	868	1154	1389	1794	1252	1160	1369	699	843	1120	1444	1019	839	783	1320	1015	2125	1425	1037	1193	744	1856	1432	1185	962	780	1072	1411	1345	1093	865	856	928	1014	806
GLS	2244	4346	4984	2453	2165	3280	2612	6521	2881	3021	4701	4191	1852	2960	2592	2148	595	3922	3103	6826	1999	1570	6221	2941	8065	2773	5183	2699	3400	2100	14790	6313	43827	2850	23215	3874	2389	6498	2216	2374	4344	4448	4793	1260	10020	10190	4055	2235	3784	3385	2811	3077	4180	1983	3228	4507	1946	2067	3328	1819	2751	3084	2527	7179	10757	2553	1778	7493	3065	3624	3070	3156	3658	3599	1497	918	4170	3459	1717	7191	5040	15059	4283	7707	8710	5419	10170	4961	11203	5420	7151	7963	4581	9878	8999	8528	5628	4410	3149	4258	6335	3350	3046	4534	3021	2352	3163	2895	6594	4996	10526	3182	5247	7763	5912	5222	6465	4979	4346	4343	8100	5419	10228	12455	4761	11804	4737	2579	4534	4182	3545	4663	3118	6046	3446	3326	3437	5224	6580	5302	5331	4032	3841	4583	8393	5353	4178	2810	2945	2294	3615	1616	3872	5577	2689	3045	7758	2466	4271	8338	3597	3593	1298	2828	3789	2542	2527	3884	5275	5188	4304	5625	4982	5916	3109	3791	5695
LIAS	455	412	238	196	195	359	285	660	498	959	610	242	554	258	481	149	206	514	374	434	291	300	666	508	424	473	437	347	425	785	612	629	719	689	1179	394	858	525	254	310	585	560	595	196	577	449	365	239	373	410	260	401	248	378	721	335	485	218	249	487	493	250	382	381	569	418	295	472	271	523	270	311	368	333	350	240	407	627	323	415	372	594	416	813	1078	628	492	599	603	506	492	668	403	898	592	1613	1018	386	367	275	371	481	343	731	197	536	501	557	477	228	673	283	514	549	501	438	541	788	312	625	294	334	361	640	482	601	436	236	355	311	487	437	471	535	534	474	386	280	535	229	448	345	380	394	433	603	614	552	280	221	272	493	312	389	309	281	454	501	598	430	479	464	578	556	446	563	363	287	366	460	332	333	272	338	218	567	575
LIPT1	92	179	88	95	76	131	168	295	133	405	258	92	113	98	103	51	65	191	157	108	129	153	153	190	186	151	98	166	215	186	154	132	123	235	120	216	49	204	86	126	271	254	196	56	252	243	130	72	108	151	97	111	113	158	207	148	118	96	119	83	126	84	211	144	147	219	95	192	75	195	129	174	126	169	184	132	135	190	68	209	215	364	157	328	259	271	201	323	234	143	121	265	158	427	316	303	373	148	194	135	114	206	102	266	82	172	185	224	183	136	269	96	349	372	205	277	300	240	137	265	129	240	203	251	140	396	252	167	179	97	150	173	129	191	162	141	135	175	172	104	177	136	141	144	222	263	129	215	183	59	92	179	194	239	166	115	174	225	247	121	179	187	324	197	171	223	150	122	245	164	115	151	127	87	123	214	207
PDHA1	2079	2686	1806	1414	1118	1557	1654	3469	2637	2973	3371	1259	4001	1614	2502	1027	1129	2436	2122	2570	1815	1584	4084	2626	3084	1986	2203	2252	3799	1873	1591	1535	1789	3008	1379	2370	2226	2362	1393	1806	2846	2888	3080	1387	3080	2859	2002	1254	3571	2685	1339	1516	919	2823	2815	2656	2558	1389	1625	3773	2340	1500	1841	2773	2709	1222	1493	2809	1321	2815	978	1985	2012	2677	2318	1579	2149	3561	1658	2836	2273	2838	2285	2467	6430	3496	3289	2288	2670	2173	1721	2634	2655	3998	2807	3921	5188	1982	1998	1727	1809	3104	2419	3454	1459	2374	1625	2446	2251	2232	4330	1553	3903	2720	2419	3198	3545	2769	1533	2905	1418	2727	2198	2270	1870	3658	2503	3033	1762	1859	2533	2763	2005	1628	2560	2039	1784	2329	2496	1777	1884	2074	1870	2579	2109	3064	3199	3649	2721	1334	1777	2458	2747	2048	1742	2204	2504	2368	2077	2593	2025	2812	3459	2532	2499	2106	1782	1509	1893	2570	2209	2170	1417	1937	2060	2014	1955
PDHB	1548	1800	1855	772	853	1260	1436	2115	1866	1170	1733	842	1627	1296	1927	567	583	2040	1768	1723	1138	1107	1277	1118	1751	1361	1620	1467	2695	2698	1601	992	1189	3676	2203	2072	1174	1939	715	1616	1595	2809	2975	743	2865	2536	1443	679	1751	1963	1185	1037	959	1337	1757	2273	1165	446	1328	1588	1540	830	1125	1412	1763	1622	617	2527	990	1168	735	1528	1285	1545	1447	796	1588	1372	1313	2181	2336	3276	1713	2614	3799	2222	2296	3581	2670	1640	1632	2213	2064	3826	2754	2554	3916	1106	1819	1081	1793	1131	1830	3942	1606	833	1418	2721	1766	2616	2916	1554	3056	3481	2439	2081	1907	1903	1935	2507	1562	2482	3395	2205	1524	2950	2230	1635	1856	2773	1991	2465	1468	1194	1935	1247	1516	1098	1930	1209	1818	1862	1315	1333	2633	2246	1827	1398	1528	994	931	1551	2034	1515	1281	1716	1730	1853	1545	1773	1605	2198	1131	1721	1783	1581	1626	1277	1712	1428	1821	1661	1345	1579	1349	1324	1374
ABI1	3648	3794	2486	1824	1573	1970	2929	4611	4200	3090	4248	2052	1917	2711	2128	1000	521	6040	3993	4256	5066	2891	1115	2177	4241	2580	4068	2233	5303	2094	1162	1252	3488	4261	2226	3440	1498	4209	2479	3011	3394	6508	7462	924	7205	5765	3488	1403	3907	4201	2133	2449	2045	2603	4693	3458	1576	2737	2570	5027	2552	2068	3406	3297	2620	3228	1915	3128	2125	3112	3664	3473	2815	3583	2281	1665	2555	4837	2751	6083	6273	4793	5656	4987	8485	6616	7556	3208	4879	3794	3862	6685	3454	6425	6347	9176	6367	2920	2613	2839	4224	3323	2116	3699	2604	3797	3166	7696	4951	3799	10837	2902	7651	7485	5017	4277	5493	5486	3402	4410	3583	4716	5003	5182	2487	10532	4485	3684	2514	4628	3405	4164	2516	4632	4438	2085	2282	2203	4439	2091	3323	3357	2887	5423	4181	3811	4646	4206	3115	1386	3420	3312	4137	3447	2634	2673	3933	2408	6746	3487	3207	3345	3818	3121	4863	5104	2110	1854	2781	3072	4384	2787	2761	3449	3134	4743	3890
