term	HR	std.error	statistic	p.value	CI_low	CI_high	model_formula
mcd_subtypeC2	0.925539435537714	0.344656159957598	-0.224509371614194	0.822360975534827	0.471002348649198	1.81872393883429	mcd_subtype + age + gender + stage + grade
mcd_subtypeC3	0.927090730792838	0.251435857216459	-0.301086103324539	0.763348837589511	0.566369228069644	1.51755635815777	mcd_subtype + age + gender + stage + grade
age	1.01600996101039	0.0106213164505266	1.49540344893195	0.13480918098502	0.995077908927594	1.03738233118332	mcd_subtype + age + gender + stage + grade
genderFemale	1.23033411175559	0.21946501469037	0.944504837657893	0.344911730912103	0.80022866845556	1.89161184323839	mcd_subtype + age + gender + stage + grade
stage.L	1.34275574606718	0.83564034742758	0.352692435243438	0.724319031188066	0.26103495436285	6.90709410162051	mcd_subtype + age + gender + stage + grade
stage.Q	0.647281689594278	0.698161915954278	-0.623026967308163	0.533266800650547	0.164746736955033	2.5431373842529	mcd_subtype + age + gender + stage + grade
stage.C	1.82800193341941	0.746560215216232	0.808003853414483	0.419088363856366	0.423158864853639	7.89677670995003	mcd_subtype + age + gender + stage + grade
stage^4	0.876666335065564	0.677813014498344	-0.194196360818088	0.846022132277891	0.232208891646561	3.3097090192699	mcd_subtype + age + gender + stage + grade
stage^5	2.0372846048854	0.416508621387392	1.70853088894186	0.0875378799429534	0.900572999602514	4.60876415697006	mcd_subtype + age + gender + stage + grade
grade.L	1.17212060714432	0.739256618950086	0.21483012652024	0.829899763673823	0.275242774200001	4.99147242533628	mcd_subtype + age + gender + stage + grade
grade.Q	0.870614172960129	0.563971630004836	-0.245679681553762	0.805930201981904	0.288251921554754	2.62953680957534	mcd_subtype + age + gender + stage + grade
grade.C	1.0019059966888	0.296056542763218	0.00643182063837583	0.994868184997236	0.560819608513068	1.7899082181924	mcd_subtype + age + gender + stage + grade
