gene	HR	CI_low	CI_high	p.value	statistic	FDR
MET	1.00004760680266	1.00002253004471	1.00007268418944	0.000198496450994266	3.7209223747645	0.132198636362181
TGFBI	1.00001791907183	1.0000077875321	1.0000280507142	0.000527303088377889	3.46648911329339	0.175591928429837
DCBLD2	1.00004684663406	1.00001787430311	1.00007581980438	0.00152869610929664	3.16918015002124	0.339370536263853
IDO1	1.00016154190004	1.00005687989637	1.00026621485723	0.0024845450274587	3.02521735864083	0.413676747071873
FGF2	1.00032319762547	1.00009717418525	1.00054927214733	0.00506694265196761	2.80274683376315	0.674916761242085
TNFSF10	1.0000405143225	1.00001123141582	1.00006979808667	0.00669350024174564	2.7117205178346	0.742978526833766
RIPK2	1.00028222367113	1.0000720893781	1.00049240211739	0.0084771323613672	2.6324507052338	0.806538593238651
NDUFA7	0.952771846574385	0.917995855584509	0.988865239535056	0.0107664175967676	-2.55019016129695	0.834118634369564
PLOD2	1.00005798572739	1.0000128905958	1.00010308289253	0.011727398971518	2.52024255792912	0.834118634369564
HRH1	1.00038885434356	1.00008017990096	1.00069762405844	0.0135425163717577	2.46917449325467	0.834118634369564
EREG	1.00014217161894	1.00002038449718	1.0002639735725	0.0221350547470483	2.28804235388009	0.834118634369564
PSMB9	1.00011402140073	1.00001601589218	1.0002120365142	0.0225913125401507	2.2802761983352	0.834118634369564
GBP4	1.0000750755639	1.00000788986069	1.000142265781	0.0285142082874389	2.1901383002727	0.834118634369564
IL15RA	1.0003086229244	1.00003084147056	1.00058648153841	0.0294352259845635	2.17760810010326	0.834118634369564
INHBA	1.00002391012445	1.00000238666157	1.00004543405058	0.0294581808492968	2.17730013870527	0.834118634369564
FN1	1.00000092814158	1.00000008857212	1.00000176771174	0.0302551003193054	2.16673455298269	0.834118634369564
RTP4	1.00044810721419	1.00004156568026	1.00085481401727	0.0307417321704974	2.16039980977249	0.834118634369564
SNAPC4	0.999345222238128	0.998741048262502	0.999949761700078	0.0337716935845124	-2.12278713251952	0.834118634369564
COL12A1	1.00000851830801	1.0000005951188	1.00001644156	0.03510202322923	2.1071794996749	0.834118634369564
SLC25A11	0.999709639970935	0.999434905463341	0.999984450000256	0.0383726712793674	-2.07085154782051	0.834118634369564
LCP1	0.999960666512164	0.999923231714043	0.999998102711756	0.0394660695954389	-2.05929413913767	0.834118634369564
CALU	1.00002513217006	1.00000099612212	1.00004926880055	0.0412652476551237	2.04085494126937	0.834118634369564
NMUR1	0.995691951771323	0.991568490264076	0.999832560792805	0.0414449623927618	-2.03905075393887	0.834118634369564
COL11A1	1.00001329819525	1.00000041423857	1.00002618231793	0.0430751898238736	2.02298019141668	0.834118634369564
RFC4	1.00075618399126	1.00002255300902	1.00149035317579	0.0433585776739875	2.02023924166555	0.834118634369564
SFRP1	0.999865568601706	0.999735118199782	0.999996036025445	0.0434343107007921	-2.01950930944629	0.834118634369564
RSAD2	1.00015653991303	1.00000419512597	1.00030890790892	0.0440158506594792	2.01393983444284	0.834118634369564
RAD51	1.00101738825431	1.00002710553829	1.00200865160361	0.0440475061047351	2.01363845355313	0.834118634369564
TAF1C	0.999698666142118	0.999404686055922	0.999992732704086	0.0446014963307573	-2.00839346936626	0.834118634369564
LAMC2	1.00000521475365	1.00000009506675	1.00001033446677	0.0458949280627905	1.99635837632877	0.834118634369564
CXCL11	1.00020394207363	1.00000242813879	1.00040549661624	0.0473023519244239	1.98358294595192	0.834118634369564
SPOCK1	1.00008165301826	1.00000065687874	1.00016265571815	0.0481706421522714	1.97585994247603	0.834118634369564
LAMA3	1.00001379098809	1.00000006633274	1.00002751583181	0.0489029571937958	1.96943676663514	0.834118634369564
OAS2	1.00004957564006	1.00000007240493	1.00009908132576	0.0496658425228226	1.96283075836163	0.834118634369564
NDUFS7	0.998382436180322	0.996768756848232	0.999998727914705	0.0498201067085972	-1.96150530550123	0.834118634369564
UBE2L6	1.0000767181228	0.999999931229983	1.00015351091184	0.050205542556205	1.95820858175044	0.834118634369564
DKK1	1.00011479443974	0.999999777867185	1.00022982424111	0.0504441342532499	1.9561784665438	0.834118634369564
ITGB5	1.00001920955449	0.999999959007071	1.0000384604725	0.0504898603242196	1.95579031438727	0.834118634369564
OASL	1.00012060448422	0.999997605197044	1.00024361890025	0.0546307929326802	1.92180107572	0.834118634369564
KLF6	1.00002675557103	0.999999466397445	1.00005404548931	0.0546511913516649	1.92163905037928	0.834118634369564
MAP4K1	0.999302963881647	0.998591112223943	1.00001532298707	0.0551339071859918	-1.91781946149424	0.834118634369564
IFITM1	1.00005378445069	0.999997961669094	1.00010961034847	0.0589729007767415	1.88839530799157	0.834118634369564
IRF4	0.999389302628641	0.998752805139046	1.0000262057532	0.0601974361844983	-1.87934474195185	0.834118634369564
BATF2	1.00035510112574	0.999982528758708	1.00072781230537	0.0617567750097156	1.86803799578975	0.834118634369564
GPR18	0.996807126961396	0.993447075949675	1.00017854238605	0.0634058805971448	-1.85633459759332	0.834118634369564
CCR7	0.999644527429057	0.999269214170702	1.00001998165047	0.0635001297744115	-1.85567336292798	0.834118634369564
OAS3	1.00004193414941	0.999997545239459	1.00008632502974	0.0640871161264083	1.85157332719398	0.834118634369564
NEK7	1.00009551610403	0.999993515794666	1.00019752681752	0.0664520337549578	1.83536224615243	0.834118634369564
SAMD9L	1.00009445167735	0.999993531832861	1.00019538170672	0.0666035699329037	1.83433979840761	0.834118634369564
CD274	1.00064207645281	0.999950672672516	1.00133395829587	0.0687456126064734	1.82008794839339	0.834118634369564
DDX60	1.00005981065581	0.999994655864436	1.00012496969234	0.0719872499189805	1.79919873229853	0.834118634369564
IRAK2	1.0001755721998	0.999984199041886	1.00036698198197	0.0721575240904302	1.79812296271272	0.834118634369564
EDIL3	1.00005271425787	0.999995194523236	1.00011023730105	0.0724603617909978	1.79621480018831	0.834118634369564
LTA	0.99558694690222	0.990789379472847	1.00040774495327	0.0727245473284066	-1.79455550754432	0.834118634369564
APLNR	0.999883036765011	0.999754860790721	1.00001122917241	0.0737294651013073	-1.78828855683375	0.834118634369564
COX5B	0.999890256937637	0.999769615615335	1.00001091281762	0.074634630053932	-1.78270320072918	0.834118634369564
PMPCA	0.999761625180621	0.999498544571078	1.0000247750363	0.0758220863563832	-1.77545926193448	0.834118634369564
CCL22	0.999581927719557	0.999116130853981	1.00004794174379	0.078684145130544	-1.75837252333225	0.834118634369564
IFIT2	1.0001688534843	0.999980324086701	1.00035741842594	0.0791918299776828	1.75539462995835	0.834118634369564
WARS1	1.00001916967557	0.99999764260323	1.00004069721133	0.0809275699521283	1.745329268825	0.834118634369564
TAF10	0.996788935221713	0.99319459606199	1.00039628217875	0.0809849423759391	-1.7449995782568	0.834118634369564
GBP6	1.00205799409801	0.999743535650191	1.0043778106379	0.0814109162829876	1.74255763150238	0.834118634369564
PROK2	1.01058055183576	0.998634480673396	1.02266952675217	0.082786334933756	1.73474300765714	0.834118634369564
ITGB1	1.00000854328944	0.99999887529316	1.00001821137919	0.0832816541284436	1.73195455506451	0.834118634369564
SLC25A6	0.999977133660945	0.999951254053373	1.0000030139383	0.0833242907800816	-1.73171515607269	0.834118634369564
NDUFB4	1.00013930479837	0.99998080346098	1.00029783125892	0.0849661788968077	1.72257074664542	0.834118634369564
STAT1	1.00001470888912	0.999997925547932	1.00003149251199	0.0858500677567195	1.71770702281429	0.834118634369564
PIK3CD	0.999767530779	0.999502143708643	1.00003298831474	0.0860836878912654	-1.71642826004604	0.834118634369564
COX4I1	0.999966146095374	0.999927168700795	1.0000051250093	0.0887049195941189	-1.70226917961596	0.834118634369564
ITPA	0.999798572577589	0.999565538561865	1.00003166092177	0.0903100582616234	-1.69376441669352	0.834118634369564
FYN	0.99986636876903	0.999711599000639	1.00002116249801	0.0906408226906457	-1.69202701586575	0.834118634369564
IKZF1	0.999821204713911	0.999613291922122	1.00002916075015	0.0919593414627044	-1.68515152163191	0.834118634369564
EPSTI1	1.00010407795745	0.999982922621683	1.00022524797208	0.0922427454340427	1.68368405007898	0.834118634369564
CD44	1.00001557361076	0.99999739353047	1.00003375402156	0.0931593163424596	1.67896268512435	0.834118634369564
NT5C	0.99960910079569	0.99914997561875	1.00006843694789	0.0953149151675658	-1.66800408849906	0.834118634369564
PIK3R5	0.999698642254046	0.999343790195384	1.00005362031537	0.0961221856322378	-1.66395118167015	0.834118634369564
SLAMF1	0.999095150392194	0.998029372884788	1.00016206602411	0.0964371394090937	-1.66237734015028	0.834118634369564
CXCL10	1.00007044778643	0.99998673730075	1.00015416527965	0.099060496907913	1.6494254866189	0.845824242829103
CD48	0.999528133629397	0.998963456264094	1.00009313018608	0.101636092191864	-1.63697309122246	0.847852596264942
NAMPT	1.0000388568791	0.999992305041278	1.00008541088401	0.101844155707501	1.63597817262014	0.847852596264942
ITGA2	1.00002135631805	0.999995668123774	1.00004704517221	0.103218652809375	1.6294459279551	0.848144038344857
IL4R	0.999932941048066	0.999851377798787	1.0000145109509	0.107113015895522	-1.61130612747349	0.848144038344857
RHOT2	0.999892722308826	0.999760763154699	1.00002469888034	0.111118842062385	-1.59318434528156	0.848144038344857
SNAI2	1.0001179669223	0.999972381787936	1.00026357325227	0.112257556287522	1.58812729963696	0.848144038344857
SEMA4D	0.999862360766269	0.999692340679175	1.00003240976909	0.112639835859436	-1.58643866257936	0.848144038344857
IL10RA	0.999876779249763	0.999724334787359	1.00002924695789	0.113189368862291	-1.58401911674029	0.848144038344857
NDUFV1	0.999916008442573	0.99981199651554	1.00002003119012	0.113522144017108	-1.58255843296816	0.848144038344857
ATP2C1	1.00004451930288	0.999989328148646	1.00009971350321	0.113884045689469	1.58097372454213	0.848144038344857
AXL	1.00005129752387	0.999987671867081	1.00011492722893	0.11406317068968	1.58019083206025	0.848144038344857
CIDEA	0.998363339946522	0.996333252592889	1.00039756372203	0.114743316029884	-1.57722694111797	0.848144038344857
FGF9	0.997283769536288	0.993888360515735	1.00069077825242	0.118025076778469	-1.56311700412915	0.848144038344857
TAP1	1.00003486423481	0.99999094495577	1.00007878544278	0.119740922676643	1.55586195163454	0.848144038344857
