.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	feature
value	MCD-low	MCD-intermediate	33	95	-1.52671408315151	0.126832123895479	0.126832123895479	ns	StromalScore
value	MCD-low	MCD-high	33	49	2.86465045430326	0.0041746978297681	0.00626204674465215	**	StromalScore
value	MCD-intermediate	MCD-high	95	49	5.42174192294978	5.90210511074937e-08	1.77063153322481e-07	****	StromalScore
value	MCD-low	MCD-intermediate	33	95	-0.59666777617587	0.550729210804289	0.550729210804289	ns	ImmuneScore
value	MCD-low	MCD-high	33	49	2.28072247249567	0.0225648745090498	0.0338473117635746	*	ImmuneScore
value	MCD-intermediate	MCD-high	95	49	3.60561927899453	0.000311409411709623	0.000934228235128868	***	ImmuneScore
value	MCD-low	MCD-intermediate	33	95	-1.37692326744608	0.168535972689956	0.168535972689956	ns	ESTIMATEScore
value	MCD-low	MCD-high	33	49	2.49971556415843	0.0124293055513256	0.0186439583269883	*	ESTIMATEScore
value	MCD-intermediate	MCD-high	95	49	4.78240782703667	1.73207816742451e-06	5.19623450227354e-06	****	ESTIMATEScore
value	MCD-low	MCD-intermediate	33	95	1.37692326744608	0.168535972689956	0.168535972689956	ns	TumorPurity
value	MCD-low	MCD-high	33	49	-2.49971556415843	0.0124293055513256	0.0186439583269883	*	TumorPurity
value	MCD-intermediate	MCD-high	95	49	-4.78240782703667	1.73207816742451e-06	5.19623450227354e-06	****	TumorPurity
