gene_symbol	subtype_label	mean_expression
CD274	MCD-high	406.204081632653
CD274	MCD-intermediate	218.252631578947
CD274	MCD-low	158.060606060606
CTLA4	MCD-high	173.061224489796
CTLA4	MCD-intermediate	109.168421052632
CTLA4	MCD-low	192.878787878788
HAVCR2	MCD-high	1578.26530612245
HAVCR2	MCD-intermediate	899.915789473684
HAVCR2	MCD-low	608.363636363636
IDO1	MCD-high	1199.22448979592
IDO1	MCD-intermediate	493.315789473684
IDO1	MCD-low	335.848484848485
LAG3	MCD-high	199.816326530612
LAG3	MCD-intermediate	163.989473684211
LAG3	MCD-low	160.030303030303
PDCD1	MCD-high	152.122448979592
PDCD1	MCD-intermediate	102.642105263158
PDCD1	MCD-low	181.060606060606
PDCD1LG2	MCD-high	258.877551020408
PDCD1LG2	MCD-intermediate	130.178947368421
PDCD1LG2	MCD-low	99.2121212121212
SIGLEC15	MCD-high	196.163265306122
SIGLEC15	MCD-intermediate	214.463157894737
SIGLEC15	MCD-low	64.1515151515152
TIGIT	MCD-high	426.69387755102
TIGIT	MCD-intermediate	202.789473684211
TIGIT	MCD-low	476.727272727273
