sample_id	gene_symbol	expression	subtype_label	log2_expr
TCGA-2J-AAB1-01A-11R-A41B-07	CD274	231	MCD-intermediate	7.85798099512757
TCGA-2J-AAB1-01A-11R-A41B-07	LAG3	209	MCD-intermediate	7.71424551766612
TCGA-2J-AAB1-01A-11R-A41B-07	SIGLEC15	500	MCD-intermediate	8.96866679319521
TCGA-2J-AAB1-01A-11R-A41B-07	PDCD1	153	MCD-intermediate	7.2667865406949
TCGA-2J-AAB1-01A-11R-A41B-07	HAVCR2	842	MCD-intermediate	9.71938882094208
TCGA-2J-AAB1-01A-11R-A41B-07	IDO1	2018	MCD-intermediate	10.9794251953315
TCGA-2J-AAB1-01A-11R-A41B-07	CTLA4	195	MCD-intermediate	7.61470984411521
TCGA-2J-AAB1-01A-11R-A41B-07	PDCD1LG2	114	MCD-intermediate	6.84549005094438
TCGA-2J-AAB1-01A-11R-A41B-07	TIGIT	208	MCD-intermediate	7.70735913208088
TCGA-2J-AAB4-01A-12R-A41B-07	PDCD1	150	MCD-intermediate	7.23840473932508
TCGA-2J-AAB4-01A-12R-A41B-07	CD274	359	MCD-intermediate	8.49185309632967
TCGA-2J-AAB4-01A-12R-A41B-07	CTLA4	112	MCD-intermediate	6.82017896241519
TCGA-2J-AAB4-01A-12R-A41B-07	SIGLEC15	171	MCD-intermediate	7.4262647547021
TCGA-2J-AAB4-01A-12R-A41B-07	IDO1	687	MCD-intermediate	9.4262647547021
TCGA-2J-AAB4-01A-12R-A41B-07	TIGIT	166	MCD-intermediate	7.38370429247405
TCGA-2J-AAB4-01A-12R-A41B-07	PDCD1LG2	96	MCD-intermediate	6.59991284218713
TCGA-2J-AAB4-01A-12R-A41B-07	HAVCR2	1100	MCD-intermediate	10.1045987535644
TCGA-2J-AAB4-01A-12R-A41B-07	LAG3	179	MCD-intermediate	7.49185309632968
TCGA-2J-AAB6-01A-11R-A41B-07	PDCD1	43	MCD-intermediate	5.4594316186373
TCGA-2J-AAB6-01A-11R-A41B-07	SIGLEC15	88	MCD-intermediate	6.4757334309664
TCGA-2J-AAB6-01A-11R-A41B-07	CTLA4	25	MCD-intermediate	4.70043971814109
TCGA-2J-AAB6-01A-11R-A41B-07	PDCD1LG2	107	MCD-intermediate	6.75488750216347
TCGA-2J-AAB6-01A-11R-A41B-07	IDO1	220	MCD-intermediate	7.78790255939143
TCGA-2J-AAB6-01A-11R-A41B-07	LAG3	124	MCD-intermediate	6.96578428466209
TCGA-2J-AAB6-01A-11R-A41B-07	TIGIT	50	MCD-intermediate	5.6724253419715
TCGA-2J-AAB6-01A-11R-A41B-07	HAVCR2	713	MCD-intermediate	9.4797802640291
TCGA-2J-AAB6-01A-11R-A41B-07	CD274	769	MCD-intermediate	9.58871463558226
TCGA-2J-AAB8-01A-12R-A41B-07	SIGLEC15	47	MCD-low	5.58496250072116
TCGA-2J-AAB8-01A-12R-A41B-07	CTLA4	86	MCD-low	6.44294349584873
TCGA-2J-AAB8-01A-12R-A41B-07	HAVCR2	356	MCD-low	8.4797802640291
TCGA-2J-AAB8-01A-12R-A41B-07	CD274	86	MCD-low	6.44294349584873
TCGA-2J-AAB8-01A-12R-A41B-07	PDCD1LG2	53	MCD-low	5.75488750216347
TCGA-2J-AAB8-01A-12R-A41B-07	PDCD1	24	MCD-low	4.64385618977472
TCGA-2J-AAB8-01A-12R-A41B-07	LAG3	68	MCD-low	6.10852445677817
TCGA-2J-AAB8-01A-12R-A41B-07	TIGIT	122	MCD-low	6.94251450533924
TCGA-2J-AAB8-01A-12R-A41B-07	IDO1	69	MCD-low	6.12928301694497
TCGA-2J-AAB9-01A-11R-A41B-07	PDCD1	52	MCD-low	5.7279204545632
TCGA-2J-AAB9-01A-11R-A41B-07	CTLA4	43	MCD-low	5.4594316186373
TCGA-2J-AAB9-01A-11R-A41B-07	PDCD1LG2	41	MCD-low	5.39231742277876
TCGA-2J-AAB9-01A-11R-A41B-07	CD274	67	MCD-low	6.08746284125034
TCGA-2J-AAB9-01A-11R-A41B-07	TIGIT	78	MCD-low	6.3037807481771
TCGA-2J-AAB9-01A-11R-A41B-07	LAG3	40	MCD-low	5.35755200461808
TCGA-2J-AAB9-01A-11R-A41B-07	SIGLEC15	16	MCD-low	4.08746284125034
TCGA-2J-AAB9-01A-11R-A41B-07	IDO1	47	MCD-low	5.58496250072116
TCGA-2J-AAB9-01A-11R-A41B-07	HAVCR2	464	MCD-low	8.8610869059954
TCGA-2J-AABA-01A-21R-A41B-07	TIGIT	187	MCD-low	7.55458885167764
TCGA-2J-AABA-01A-21R-A41B-07	PDCD1	70	MCD-low	6.14974711950468
TCGA-2J-AABA-01A-21R-A41B-07	SIGLEC15	4	MCD-low	2.32192809488736
TCGA-2J-AABA-01A-21R-A41B-07	IDO1	80	MCD-low	6.33985000288462
TCGA-2J-AABA-01A-21R-A41B-07	CD274	81	MCD-low	6.35755200461808
TCGA-2J-AABA-01A-21R-A41B-07	CTLA4	112	MCD-low	6.82017896241519
TCGA-2J-AABA-01A-21R-A41B-07	PDCD1LG2	71	MCD-low	6.16992500144231
TCGA-2J-AABA-01A-21R-A41B-07	HAVCR2	376	MCD-low	8.55842071326866
TCGA-2J-AABA-01A-21R-A41B-07	LAG3	55	MCD-low	5.8073549220576
TCGA-2J-AABE-01A-12R-A41B-07	SIGLEC15	407	MCD-low	8.6724253419715
TCGA-2J-AABE-01A-12R-A41B-07	LAG3	32	MCD-low	5.04439411935845
TCGA-2J-AABE-01A-12R-A41B-07	CTLA4	61	MCD-low	5.95419631038688
TCGA-2J-AABE-01A-12R-A41B-07	PDCD1	23	MCD-low	4.58496250072116
TCGA-2J-AABE-01A-12R-A41B-07	HAVCR2	664	MCD-low	9.37721053038855
TCGA-2J-AABE-01A-12R-A41B-07	IDO1	70	MCD-low	6.14974711950468
TCGA-2J-AABE-01A-12R-A41B-07	CD274	114	MCD-low	6.84549005094438
TCGA-2J-AABE-01A-12R-A41B-07	PDCD1LG2	96	MCD-low	6.59991284218713
TCGA-2J-AABE-01A-12R-A41B-07	TIGIT	133	MCD-low	7.06608919045777
TCGA-2J-AABF-01A-31R-A41B-07	SIGLEC15	85	MCD-intermediate	6.4262647547021
TCGA-2J-AABF-01A-31R-A41B-07	PDCD1	129	MCD-intermediate	7.02236781302845
TCGA-2J-AABF-01A-31R-A41B-07	HAVCR2	2112	MCD-intermediate	11.0450770519349
TCGA-2J-AABF-01A-31R-A41B-07	CTLA4	138	MCD-intermediate	7.11894107272351
TCGA-2J-AABF-01A-31R-A41B-07	PDCD1LG2	263	MCD-intermediate	8.04439411935845
TCGA-2J-AABF-01A-31R-A41B-07	CD274	389	MCD-intermediate	8.60733031374961
TCGA-2J-AABF-01A-31R-A41B-07	TIGIT	239	MCD-intermediate	7.90689059560852
TCGA-2J-AABF-01A-31R-A41B-07	IDO1	870	MCD-intermediate	9.76652890859886
TCGA-2J-AABF-01A-31R-A41B-07	LAG3	467	MCD-intermediate	8.87036471958341
TCGA-2J-AABH-01A-21R-A41B-07	PDCD1	31	MCD-intermediate	5
TCGA-2J-AABH-01A-21R-A41B-07	CTLA4	45	MCD-intermediate	5.52356195605701
TCGA-2J-AABH-01A-21R-A41B-07	SIGLEC15	65	MCD-intermediate	6.04439411935845
TCGA-2J-AABH-01A-21R-A41B-07	TIGIT	68	MCD-intermediate	6.10852445677817
TCGA-2J-AABH-01A-21R-A41B-07	PDCD1LG2	61	MCD-intermediate	5.95419631038688
TCGA-2J-AABH-01A-21R-A41B-07	IDO1	99	MCD-intermediate	6.64385618977472
TCGA-2J-AABH-01A-21R-A41B-07	CD274	99	MCD-intermediate	6.64385618977472
TCGA-2J-AABH-01A-21R-A41B-07	HAVCR2	1122	MCD-intermediate	10.1331422124006
