gene_symbol	group1	group2	W_statistic	p_value	p_adj_BH
CD274	MCD-high	MCD-intermediate	3791	6.87858333968441e-10	9.28608750857395e-09
CD274	MCD-high	MCD-low	1433	3.62418570526813e-09	3.26176713474131e-08
CD274	MCD-intermediate	MCD-low	2023	0.0131896583141668	0.0197844874712503
PDCD1LG2	MCD-high	MCD-intermediate	3836	2.03606524159896e-10	5.4973761523172e-09
PDCD1LG2	MCD-high	MCD-low	1389	4.14660131451391e-08	2.23916470983751e-07
PDCD1LG2	MCD-intermediate	MCD-low	1775.5	0.258322449962778	0.288998327088316
HAVCR2	MCD-high	MCD-intermediate	3516	5.4667910541074e-07	2.10861940658428e-06
HAVCR2	MCD-high	MCD-low	1370	1.12851165552813e-07	5.0783024498766e-07
HAVCR2	MCD-intermediate	MCD-low	2012.5	0.0154644813170593	0.0219758418716105
TIGIT	MCD-high	MCD-intermediate	3657	2.09763354356315e-08	1.41590264190513e-07
TIGIT	MCD-high	MCD-low	1123.5	0.00294054362733011	0.0052929785291942
TIGIT	MCD-intermediate	MCD-low	1683	0.531020783281114	0.54902204260334
SIGLEC15	MCD-high	MCD-intermediate	2604	0.244507699033727	0.28703077712655
SIGLEC15	MCD-high	MCD-low	1291	5.1618623208498e-06	1.74212853328681e-05
SIGLEC15	MCD-intermediate	MCD-low	2304.5	6.01742800467577e-05	0.000162470556126246
IDO1	MCD-high	MCD-intermediate	3227.5	0.00014897754069438	0.000335199466562355
IDO1	MCD-high	MCD-low	1205.5	0.000177262709289752	0.000368161011601792
IDO1	MCD-intermediate	MCD-low	1816	0.1767102486058	0.2271988910646
CTLA4	MCD-high	MCD-intermediate	3393	7.09856620095625e-06	2.12956986028687e-05
CTLA4	MCD-high	MCD-low	1089.5	0.00799185735459825	0.0126929499161266
CTLA4	MCD-intermediate	MCD-low	1678	0.54902204260334	0.54902204260334
PDCD1	MCD-high	MCD-intermediate	3254	9.43615276835015e-05	0.000231614658859504
PDCD1	MCD-high	MCD-low	1101.5	0.00567552999592834	0.00957745686812907
PDCD1	MCD-intermediate	MCD-low	1771.5	0.267591043600292	0.288998327088316
LAG3	MCD-high	MCD-intermediate	3081	0.00149778070785308	0.00288857707943095
LAG3	MCD-high	MCD-low	1056.5	0.0192616186743029	0.026003185210309
LAG3	MCD-intermediate	MCD-low	1787.5	0.231802456550753	0.28448483303956
