feature	statistic	df	p_value	p_adj_BH
Endothelial cells	31.0386028906737	2	1.81992302387751e-07	1.81992302387751e-06
Cytotoxic lymphocytes	20.7930758840802	2	3.05380246186117e-05	0.000117867242188463
Monocytic lineage	20.4998488747722	2	3.53601726565388e-05	0.000117867242188463
CD8 T cells	15.5365200601639	2	0.000422948544687517	0.00105737136171879
Neutrophils	14.4812043588161	2	0.000716879939767947	0.00126965629563044
T cells	14.3596693445346	2	0.000761793777378263	0.00126965629563044
Fibroblasts	10.7783412533911	2	0.00456575848406891	0.00587027047718503
Myeloid dendritic cells	10.7219962392658	2	0.00469621638174802	0.00587027047718503
NK cells	9.39839781410205	2	0.00910256618327706	0.0101139624258634
B lineage	7.77805727643977	2	0.0204652155143228	0.0204652155143228
