.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	feature
value	MCD-low	MCD-intermediate	33	95	-0.716204667359966	0.473864981531806	0.473864981531806	ns	T cells
value	MCD-low	MCD-high	33	49	2.29894509882101	0.0215080570443698	0.0322620855665547	*	T cells
value	MCD-intermediate	MCD-high	95	49	3.766281141209	0.000165697201176873	0.000497091603530618	***	T cells
value	MCD-low	MCD-intermediate	33	95	-0.720610279586595	0.471149327442453	0.471149327442453	ns	CD8 T cells
value	MCD-low	MCD-high	33	49	2.41096065476207	0.0159105647407423	0.0238658471111135	*	CD8 T cells
value	MCD-intermediate	MCD-high	95	49	3.91476225986389	9.04933288684798e-05	0.000271479986605439	***	CD8 T cells
value	MCD-low	MCD-intermediate	33	95	-1.60370446744765	0.108779210703639	0.108779210703639	ns	Cytotoxic lymphocytes
value	MCD-low	MCD-high	33	49	2.11634366384914	0.0343155896856883	0.0514733845285324	ns	Cytotoxic lymphocytes
value	MCD-intermediate	MCD-high	95	49	4.5520940417672	5.31145823155392e-06	1.59343746946618e-05	****	Cytotoxic lymphocytes
value	MCD-low	MCD-intermediate	33	95	-1.54107083348444	0.123299547482677	0.184949321224016	ns	B lineage
value	MCD-low	MCD-high	33	49	0.707734648900345	0.479110056129614	0.479110056129614	ns	B lineage
value	MCD-intermediate	MCD-high	95	49	2.67661708966448	0.00743695747581738	0.0223108724274521	*	B lineage
value	MCD-low	MCD-intermediate	33	95	-1.47939226231162	0.13903550694473	0.208553260417095	ns	NK cells
value	MCD-low	MCD-high	33	49	1.01784087218981	0.308753584740259	0.308753584740259	ns	NK cells
value	MCD-intermediate	MCD-high	95	49	3.00280357668863	0.00267505025299729	0.00802515075899188	**	NK cells
value	MCD-low	MCD-intermediate	33	95	0.0195633829644079	0.984391674400524	0.984391674400524	ns	Monocytic lineage
value	MCD-low	MCD-high	33	49	3.39058760762845	0.000697429597287648	0.00104614439593147	**	Monocytic lineage
value	MCD-intermediate	MCD-high	95	49	4.31868143719686	1.56964153344124e-05	4.70892460032373e-05	****	Monocytic lineage
value	MCD-low	MCD-intermediate	33	95	-1.27448508105764	0.202491556611316	0.202491556611316	ns	Myeloid dendritic cells
value	MCD-low	MCD-high	33	49	1.40131996441866	0.161118413722527	0.202491556611316	ns	Myeloid dendritic cells
value	MCD-intermediate	MCD-high	95	49	3.25838465779599	0.00112048414877594	0.00336145244632782	**	Myeloid dendritic cells
value	MCD-low	MCD-intermediate	33	95	0.680559259344502	0.496150413167318	0.496150413167318	ns	Neutrophils
value	MCD-low	MCD-high	33	49	3.2462536879398	0.00116934587160448	0.00175401880740672	**	Neutrophils
value	MCD-intermediate	MCD-high	95	49	3.37449503329253	0.000739512504073586	0.00175401880740672	**	Neutrophils
value	MCD-low	MCD-intermediate	33	95	-2.4711787574143	0.0134668483610885	0.0202002725416327	*	Endothelial cells
value	MCD-low	MCD-high	33	49	2.07914806776154	0.0376037431937778	0.0376037431937778	*	Endothelial cells
value	MCD-intermediate	MCD-high	95	49	5.50107169705212	3.77489655585625e-08	1.13246896675688e-07	****	Endothelial cells
value	MCD-low	MCD-intermediate	33	95	-0.900192892656724	0.368017607822453	0.368017607822453	ns	Fibroblasts
value	MCD-low	MCD-high	33	49	1.75575004644653	0.0791310973031346	0.118696645954702	ns	Fibroblasts
value	MCD-intermediate	MCD-high	95	49	3.28217405519807	0.00103009999369999	0.00309029998109998	**	Fibroblasts
