.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	feature
value	MCD-low	MCD-intermediate	33	95	2.29563205484549	0.0216969283530854	0.0216969283530854	*	IFN_Gamma_Response
value	MCD-low	MCD-high	33	49	4.38297039892256	1.17072025079662e-05	3.51216075238985e-05	****	IFN_Gamma_Response
value	MCD-intermediate	MCD-high	95	49	2.97441362447833	0.00293549086970278	0.00440323630455416	**	IFN_Gamma_Response
value	MCD-low	MCD-intermediate	33	95	-0.824003528765415	0.409937552914676	0.409937552914676	ns	Cytolytic_Activity
value	MCD-low	MCD-high	33	49	1.47142347981144	0.141176627442113	0.21176494116317	ns	Cytolytic_Activity
value	MCD-intermediate	MCD-high	95	49	2.8306045718463	0.00464601209181485	0.0139380362754446	*	Cytolytic_Activity
value	MCD-low	MCD-intermediate	33	95	2.28056670953904	0.0225740991117305	0.0677222973351914	ns	Antigen_Presentation
value	MCD-low	MCD-high	33	49	0.794828083543514	0.426713512445599	0.426713512445599	ns	Antigen_Presentation
value	MCD-intermediate	MCD-high	95	49	-1.60237562340967	0.109072571948772	0.163608857923159	ns	Antigen_Presentation
value	MCD-low	MCD-intermediate	33	95	-1.00213814341141	0.316276877848521	0.316276877848521	ns	Tcell_Activation
value	MCD-low	MCD-high	33	49	2.50228817022789	0.0123393442470347	0.0185090163705521	*	Tcell_Activation
value	MCD-intermediate	MCD-high	95	49	4.35512831958943	1.32988990451086e-05	3.98966971353258e-05	****	Tcell_Activation
value	MCD-low	MCD-intermediate	33	95	-1.01480042750333	0.310200969930679	0.310200969930679	ns	Tcell_Exhaustion
value	MCD-low	MCD-high	33	49	2.63815392827124	0.00833587347320738	0.0125038102098111	*	Tcell_Exhaustion
value	MCD-intermediate	MCD-high	95	49	4.54363188136867	5.52931845513215e-06	1.65879553653965e-05	****	Tcell_Exhaustion
value	MCD-low	MCD-intermediate	33	95	-0.606403254942411	0.544247007578956	0.544247007578956	ns	Treg_Signature
value	MCD-low	MCD-high	33	49	3.04709110139578	0.00231067666824438	0.00346601500236657	**	Treg_Signature
value	MCD-intermediate	MCD-high	95	49	4.59802807863476	4.2650852435218e-06	1.27952557305654e-05	****	Treg_Signature
value	MCD-low	MCD-intermediate	33	95	0.159033358838222	0.87364259172739	0.87364259172739	ns	Chemokine_Recruitment
value	MCD-low	MCD-high	33	49	3.29025597091952	0.00100096281498322	0.00150144422247483	**	Chemokine_Recruitment
value	MCD-intermediate	MCD-high	95	49	4.02999066371326	5.57790682996762e-05	0.000167337204899028	***	Chemokine_Recruitment
value	MCD-low	MCD-intermediate	33	95	-0.885035121918945	0.376137688900389	0.376137688900389	ns	CAF_Stromal_Activation
value	MCD-low	MCD-high	33	49	2.44086720031954	0.0146520416775276	0.0219780625162915	*	CAF_Stromal_Activation
value	MCD-intermediate	MCD-high	95	49	4.14195338876094	3.44360337073245e-05	0.000103308101121973	***	CAF_Stromal_Activation
