feature	statistic	df	p_value	p_adj_BH
Th1 cells	72.5624585153789	2	1.75090400740348e-16	1.17310568496033e-14
GMP	61.0006198633273	2	5.67392643063459e-14	1.90076535426259e-12
NKT	58.404431693934	2	2.07796772741151e-13	4.64079459121904e-12
Epithelial cells	50.2757989632613	2	1.2098985841015e-11	2.02658012837002e-10
HSC	42.878359556029	2	4.88745223281177e-10	6.54918599196777e-09
CD8+ Tcm	33.5905172401935	2	5.08056321152619e-08	5.67329558620424e-07
Keratinocytes	30.1145645493253	2	2.88871965005419e-07	2.76491737933758e-06
cDC	29.6042719520711	2	3.72832725111715e-07	3.12247407281061e-06
Sebocytes	28.4715367257959	2	6.56877451736149e-07	4.890087696258e-06
CLP	27.1218435341807	2	1.28993108036657e-06	8.64253823845605e-06
StromaScore	24.8162109686734	2	4.0853404798027e-06	2.28645559764859e-05
Hepatocytes	24.8114171799982	2	4.09514435399747e-06	2.28645559764859e-05
MicroenvironmentScore	22.3849883137282	2	1.37772185881358e-05	7.10056650311615e-05
Megakaryocytes	21.668610705376	2	1.97115588094781e-05	9.36973292027334e-05
Fibroblasts	21.4666221308245	2	2.18063125098662e-05	9.36973292027334e-05
Neurons	21.3198072002809	2	2.3467276416684e-05	9.36973292027334e-05
Chondrocytes	21.2651475301087	2	2.41174776876419e-05	9.36973292027334e-05
Smooth muscle	21.1795234686542	2	2.51724168007344e-05	9.36973292027334e-05
Endothelial cells	20.1375382794399	2	4.23827490849874e-05	0.000149454957299693
Tregs	18.8300834764788	2	8.14890633913288e-05	0.000272988362360951
DC	18.556482379017	2	9.34353140431818e-05	0.000298103144804437
MEP	17.8227318363841	2	0.000134847517459499	0.000410671984990293
CD4+ memory T-cells	17.4194797637219	2	0.000164971160884034	0.00048056816431436
ly Endothelial cells	16.7114712932032	2	0.000235044512561493	0.000656165930900834
CD4+ Tcm	16.5121871809297	2	0.000259671395316791	0.000695919339449
Macrophages M2	15.4906548466746	2	0.000432759927645821	0.00111518904431808
Adipocytes	13.8905604524103	2	0.000963170388994621	0.00239008948380147
CD8+ T-cells	13.8034090981368	2	0.00100606907255678	0.00240737956647515
Macrophages	13.0873938425783	2	0.00143915819765972	0.00332495169804141
Eosinophils	11.4222493825505	2	0.00330894890535583	0.00738998588862801
Preadipocytes	11.3315465073396	2	0.00346246937016405	0.00748340154196747
ImmuneScore	10.6289905389551	2	0.00491976128247322	0.0103007501851783
aDC	9.39142604002926	2	0.0091343520695508	0.0185455026866637
Mast cells	9.31196923368709	2	0.00950455029295263	0.0187295549890537
Th2 cells	8.2783714002173	2	0.0159358227612915	0.0297441493420817
naive B-cells	8.27259301607196	2	0.0159819309897753	0.0297441493420817
mv Endothelial cells	8.15367830481976	2	0.0169609921247137	0.0307131479015086
Macrophages M1	7.90347997160397	2	0.0192212279980703	0.0336703489174355
MPP	7.86453731253194	2	0.0195991583250744	0.0336703489174355
Melanocytes	7.62305654528359	2	0.0221143563527352	0.0370415468908315
Plasma cells	7.38643602205509	2	0.0248917710257089	0.0406767965542072
CMP	7.15325122946262	2	0.0279699204824368	0.0446186826743635
Pericytes	6.90212952123922	2	0.0317118528634779	0.0494114916710005
Monocytes	6.55965835784943	2	0.0376346850554895	0.0562846820174727
Memory B-cells	6.55072597663887	2	0.0378031446386011	0.0562846820174727
Basophils	6.42155546423349	2	0.0403252388397996	0.0587345870057951
Class-switched memory B-cells	6.22096857320026	2	0.0445793609246153	0.0635493017436005
CD4+ naive T-cells	5.92227925899038	2	0.0517598964435767	0.0722481887858258
Astrocytes	5.33810734166593	2	0.0693177917288528	0.0947814703231253
CD4+ Tem	4.92805876491354	2	0.0850913935017416	0.114022467292334
CD4+ T-cells	4.75778353558892	2	0.092653201896303	0.121720873079457
Osteoblast	4.60937750718155	2	0.0997898550546456	0.128575390166563
MSC	4.2513469044911	2	0.11935256294366	0.150879655041985
Tgd cells	3.79409320206631	2	0.150011007981808	0.186124769162614
pDC	3.6833028685252	2	0.158555366015015	0.193149264054655
iDC	3.2817413532991	2	0.193811221902241	0.231881283347324
Skeletal muscle	2.39758301361388	2	0.301558423096129	0.354463409604222
pro B-cells	2.35272961479784	2	0.30839778874725	0.356252618035616
CD8+ naive T-cells	2.14910580946096	2	0.341450382029688	0.38774873891507
Neutrophils	2.06772513813552	2	0.355630656272621	0.390397697749874
Mesangial cells	2.04311152938323	2	0.360034375463639	0.390397697749874
CD8+ Tem	2.0362951119271	2	0.361263541201375	0.390397697749874
Myocytes	1.9555552572549	2	0.376146106998717	0.398572871206725
Erythrocytes	1.93134893948961	2	0.380726324734782	0.398572871206725
Platelets	1.58178828969738	2	0.453439173665814	0.467391148240147
B-cells	1.47304737211437	2	0.478775399524655	0.486029572244726
NK cells	1.3782601853756	2	0.502012583592223	0.502012583592223
