.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	feature
value	MCD-low	MCD-intermediate	33	95	-0.740742241809178	0.458849741613193	0.458849741613193	ns	aDC
value	MCD-low	MCD-high	33	49	1.72501863042741	0.0845241150845461	0.126786172626819	ns	aDC
value	MCD-intermediate	MCD-high	95	49	3.05964141837636	0.00221602138327514	0.00664806414982543	**	aDC
value	MCD-low	MCD-intermediate	33	95	-2.86735368743172	0.00413920145048195	0.00620880217572292	**	Adipocytes
value	MCD-low	MCD-high	33	49	-0.133394880308178	0.893881094147264	0.893881094147264	ns	Adipocytes
value	MCD-intermediate	MCD-high	95	49	3.1233776661642	0.0017878817166635	0.0053636451499905	**	Adipocytes
value	MCD-low	MCD-intermediate	33	95	-1.21367412016515	0.224872190724197	0.337308286086296	ns	Astrocytes
value	MCD-low	MCD-high	33	49	0.658343727459723	0.510317285818738	0.510317285818738	ns	Astrocytes
value	MCD-intermediate	MCD-high	95	49	2.2372481641553	0.0252701250348343	0.075810375104503	ns	Astrocytes
value	MCD-low	MCD-intermediate	33	95	-0.797818622434665	0.424975752889548	0.637463629334322	ns	B-cells
value	MCD-low	MCD-high	33	49	0.150981534089263	0.879990282566205	0.879990282566205	ns	B-cells
value	MCD-intermediate	MCD-high	95	49	1.1098870599927	0.267047697228821	0.637463629334322	ns	B-cells
value	MCD-low	MCD-intermediate	33	95	-2.4948217404715	0.0126020421233152	0.0378061263699457	*	Basophils
value	MCD-low	MCD-high	33	49	-1.99290768129227	0.0462715570616112	0.0694073355924169	ns	Basophils
value	MCD-intermediate	MCD-high	95	49	0.314555759093878	0.75309897421765	0.75309897421765	ns	Basophils
value	MCD-low	MCD-intermediate	33	95	-2.14020162464933	0.0323384759414669	0.0485077139122003	*	CD4+ memory T-cells
value	MCD-low	MCD-high	33	49	1.2477035092824	0.2121396556904	0.2121396556904	ns	CD4+ memory T-cells
value	MCD-intermediate	MCD-high	95	49	4.05628285217578	4.9859873825246e-05	0.000149579621475738	***	CD4+ memory T-cells
value	MCD-low	MCD-intermediate	33	95	-2.35355901078521	0.0185946561804461	0.0557839685413383	ns	CD4+ naive T-cells
value	MCD-low	MCD-high	33	49	-1.10568235122353	0.268864031567661	0.268864031567661	ns	CD4+ naive T-cells
value	MCD-intermediate	MCD-high	95	49	1.28822919686212	0.197666191360244	0.268864031567661	ns	CD4+ naive T-cells
value	MCD-low	MCD-intermediate	33	95	-2.17007777025053	0.030000954903409	0.0900028647102271	ns	CD4+ T-cells
value	MCD-low	MCD-high	33	49	-1.60954894384648	0.107496361913669	0.161244542870503	ns	CD4+ T-cells
value	MCD-intermediate	MCD-high	95	49	0.432307779051094	0.665517734094628	0.665517734094628	ns	CD4+ T-cells
value	MCD-low	MCD-intermediate	33	95	0.174460089422119	0.861503893752576	0.861503893752576	ns	CD4+ Tcm
value	MCD-low	MCD-high	33	49	-2.91235696814633	0.0035871244005432	0.00538068660081481	**	CD4+ Tcm
value	MCD-intermediate	MCD-high	95	49	-3.92928091623692	8.52002608629985e-05	0.000255600782588996	***	CD4+ Tcm
value	MCD-low	MCD-intermediate	33	95	1.71536605760945	0.0862781343815169	0.129417201572275	ns	CD4+ Tem
value	MCD-low	MCD-high	33	49	0.0911892551912729	0.927342212496818	0.927342212496818	ns	CD4+ Tem
value	MCD-intermediate	MCD-high	95	49	-1.85395036364469	0.0637462615943145	0.129417201572275	ns	CD4+ Tem
value	MCD-low	MCD-intermediate	33	95	-0.597274050675132	0.5503244264955	0.5503244264955	ns	CD8+ naive T-cells
value	MCD-low	MCD-high	33	49	-1.39648438670723	0.162568679070575	0.405812775481007	ns	CD8+ naive T-cells
value	MCD-intermediate	MCD-high	95	49	-1.10181559217336	0.270541850320671	0.405812775481007	ns	CD8+ naive T-cells
value	MCD-low	MCD-intermediate	33	95	-2.50499195852274	0.0122454177427755	0.0183681266141632	*	CD8+ T-cells
value	MCD-low	MCD-high	33	49	0.378615633469337	0.704973311183437	0.704973311183437	ns	CD8+ T-cells
value	MCD-intermediate	MCD-high	95	49	3.36263236394998	0.000772031042475337	0.00231609312742601	**	CD8+ T-cells
value	MCD-low	MCD-intermediate	33	95	-1.62859641885953	0.103398482880089	0.103398482880089	ns	CD8+ Tcm
value	MCD-low	MCD-high	33	49	3.0647616757351	0.00217843512083493	0.00326765268125239	**	CD8+ Tcm
value	MCD-intermediate	MCD-high	95	49	5.79500331170512	6.8319832930892e-09	2.04959498792676e-08	****	CD8+ Tcm
value	MCD-low	MCD-intermediate	33	95	-0.731524839526266	0.464458638016384	0.464458638016384	ns	CD8+ Tem
value	MCD-low	MCD-high	33	49	-1.40116589902871	0.161164469116732	0.464458638016384	ns	CD8+ Tem
value	MCD-intermediate	MCD-high	95	49	-0.953575046942473	0.340298791644142	0.464458638016384	ns	CD8+ Tem
value	MCD-low	MCD-intermediate	33	95	-1.38337334374078	0.166550419615073	0.166550419615073	ns	cDC
value	MCD-low	MCD-high	33	49	3.00425175958541	0.0026623491988144	0.0039935237982216	**	cDC
value	MCD-intermediate	MCD-high	95	49	5.43580362810807	5.45500068495057e-08	1.63650020548517e-07	****	cDC
value	MCD-low	MCD-intermediate	33	95	-2.06194898085233	0.0392125935538718	0.0588188903308077	ns	Chondrocytes
value	MCD-low	MCD-high	33	49	1.70383367734497	0.0884121643637432	0.0884121643637432	ns	Chondrocytes
value	MCD-intermediate	MCD-high	95	49	4.55039068657776	5.35463998390323e-06	1.60639199517097e-05	****	Chondrocytes
value	MCD-low	MCD-intermediate	33	95	-2.43124051469163	0.0150472222382744	0.0451416667148233	*	Class-switched memory B-cells
value	MCD-low	MCD-high	33	49	-2.03448208152451	0.0419030134272271	0.0628545201408407	ns	Class-switched memory B-cells
value	MCD-intermediate	MCD-high	95	49	0.188280214065553	0.850656994864214	0.850656994864214	ns	Class-switched memory B-cells
value	MCD-low	MCD-intermediate	33	95	1.84891313797928	0.0644703563026448	0.0644703563026448	ns	CLP
value	MCD-low	MCD-high	33	49	-2.40062182969166	0.0163672414553337	0.0245508621830006	*	CLP
value	MCD-intermediate	MCD-high	95	49	-5.1977800471871	2.01682564988658e-07	6.05047694965973e-07	****	CLP
value	MCD-low	MCD-intermediate	33	95	-1.95502353400116	0.0505802925812127	0.075870438871819	ns	CMP
value	MCD-low	MCD-high	33	49	0.0595648663260388	0.952502201271765	0.952502201271765	ns	CMP
value	MCD-intermediate	MCD-high	95	49	2.32230063645655	0.0202167533085116	0.0606502599255348	ns	CMP
value	MCD-low	MCD-intermediate	33	95	-0.980969201950972	0.326607929383034	0.326607929383034	ns	DC
value	MCD-low	MCD-high	33	49	2.47579092226357	0.0132941403827823	0.0199412105741734	*	DC
value	MCD-intermediate	MCD-high	95	49	4.29688240570751	1.73217025052339e-05	5.19651075157016e-05	****	DC
value	MCD-low	MCD-intermediate	33	95	-3.42429361078797	0.00061639985066386	0.000924599775995789	***	Endothelial cells
