gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CD302	1.71356379786243	1.66323543351381	12.6833722489752	1.17424502819758e-26	2.71579390121537e-22	49.5098864421526
PHKG2	-0.850420397546757	4.73556043996458	-12.410400997571	7.29233066321263e-26	8.43285117893908e-22	48.1149066503988
REX1BD	-1.57810146501586	4.62674116909292	-12.2993285845763	1.53219476811157e-25	1.18122001989615e-21	47.3544256543879
SCAND1	-1.56004811830588	5.39162336939783	-11.9030582397147	2.15734428602418e-24	1.08995202713367e-20	44.7887857150004
ABHD17A	-1.01062441345951	5.01293161675326	-11.8898179231847	2.35634734333636e-24	1.08995202713367e-20	44.7008956639351
OGFR	-0.947029015978631	6.01261905468928	-11.7575512335466	5.68592385749315e-24	2.17995445057512e-20	43.8399457475847
ARFRP1	-0.887022265769574	5.96668685078387	-11.735198530369	6.59792509253971e-24	2.17995445057512e-20	43.6933825851151
BRAT1	-1.05786281210137	5.80000649372037	-11.633913373653	1.29412601047056e-23	3.74131829627038e-20	43.0294750463598
TELO2	-1.10508318205162	5.24960188954449	-11.6123817083466	1.49325339246689e-23	3.8373293845527e-20	42.8869172396769
ATG4B	-0.740766038499173	5.86024310437627	-11.5806368766659	1.84394401834313e-23	4.26467372562399e-20	42.6807608547533
TAZ	-0.895615935295759	4.83951887287732	-11.5504428456243	2.25349871751446e-23	4.73808348533403e-20	42.4785965802086
DAZAP1	-0.726232341477735	6.63131046675307	-11.4306704437712	4.99008520531871e-23	8.96221372334464e-20	41.6999613539566
AP5Z1	-0.916386867527075	5.36753531755379	-11.3955610108042	6.29825986255802e-23	8.96221372334464e-20	41.4705772225231
RNF126	-1.08517206947062	5.11508896861442	-11.3943551572677	6.34881359282985e-23	8.96221372334464e-20	41.4616732540156
ZNF106	0.907624355107787	5.71763418306544	11.3912443841702	6.48110640817722e-23	8.96221372334464e-20	41.442463855672
MRPL55	-1.04759613965868	4.79302256553124	-11.3890963975673	6.57405692681402e-23	8.96221372334464e-20	41.4243663927204
PAXX	-1.16226055747189	4.8932796620453	-11.388786340126	6.58758359118207e-23	8.96221372334464e-20	41.4221742630663
PPDPF	-1.38250857867005	8.04974569751781	-11.3727175952913	7.32798483214318e-23	9.41564628876707e-20	41.3172781695963
LSM7	-1.13557419562918	5.24730418825128	-11.2770272498257	1.3812125284429e-22	1.68129912409618e-19	40.6970961040504
ERCC4	0.808579714956197	2.74973865616204	11.2428477760141	1.7318170758131e-22	2.00267326647027e-19	40.3707682934273
C1orf35	-0.911154763675465	4.16808305648119	-11.2211599786863	1.99901141907719e-22	2.17189008742588e-19	40.3162970857283
H1-10	-1.43549718140408	5.78898884215192	-11.216179531366	2.0659625528956e-22	2.17189008742588e-19	40.3008497421601
RAB24	-1.64682828522963	1.40621103622561	-11.1459790194087	3.28608563400759e-22	3.30437341492728e-19	39.2998015937205
YDJC	-1.21538840281719	4.15883679356987	-11.1373629667722	3.47858781417243e-22	3.35219912359084e-19	39.7655184143148
TMUB1	-1.167776377784	5.40974572379655	-11.1001719618766	4.44721646651456e-22	4.11420889750195e-19	39.5461862705124
FAT4	1.63786071317232	3.6473668446485	11.0762881242595	5.20678818618718e-22	4.60897160479143e-19	39.3750082705819
SF3A2	-0.947096669135711	5.79736139254055	-11.0713137582725	5.38058774340058e-22	4.60897160479143e-19	39.357500964956
ANTKMT	-1.76311636791957	3.2752367630713	-11.0574360850063	5.89666674238598e-22	4.87064672921082e-19	39.1162417259742
CHTF18	-1.44615605558686	3.56753199611317	-11.0127738861934	7.91702643369072e-22	6.3139650813241e-19	38.9006192433959
MXD3	-1.62866844197733	2.70771492124352	-11.0066590236386	8.2427862059098e-22	6.35463864567606e-19	38.7125912310675
FKBP2	-1.90461825268122	-1.73226764145026	-10.9984233595716	8.70275858999682e-22	6.49281937643376e-19	37.5857268845254
HDGFL2	-0.74963675379146	5.86519533783986	-10.9799529693343	9.82960130020307e-22	7.10434433972177e-19	38.7635592645821
PPP1R35	-1.45897061797574	2.80812140868282	-10.9529561305729	1.17434905981546e-21	8.23040759254907e-19	38.3949284757294
TMEM259	-0.863109047274551	6.6735609492376	-10.9409474391271	1.27102363783317e-21	8.60123695585029e-19	38.5113530507147
SNRPA	-0.8376504232188	5.50905736583201	-10.9373337728476	1.30163997515894e-21	8.60123695585029e-19	38.4878931156393
CCDC124	-1.01550898334068	5.58675819539354	-10.9038771166101	1.62243684291472e-21	1.02252599102217e-18	38.271173743446
PNKP	-0.91016773694646	5.24452273270518	-10.9026283166983	1.63582936993343e-21	1.02252599102217e-18	38.2641384994188
PGLS	-0.903335486713793	5.60270752543779	-10.891805843765	1.75660985230433e-21	1.06912822800249e-18	38.1925858085979
FASTK	-0.918788903578763	6.22946021933087	-10.8374607847171	2.51154809057147e-21	1.46873202751137e-18	37.8396372713172
PRR14	-0.604666493758992	5.406095505167	-10.8357368545392	2.54017991613865e-21	1.46873202751137e-18	37.8294687045148
PIDD1	-1.3124709354889	3.91758584118212	-10.8273911445023	2.68345929694827e-21	1.5062270977762e-18	37.7443900935524
UCKL1	-0.809419973139323	5.09414308429504	-10.8244817797282	2.73527923324976e-21	1.5062270977762e-18	37.7586908107632
NR2F6	-1.20523090639536	5.51688743870958	-10.8136249658959	2.93762068770458e-21	1.58003002942399e-18	37.6872623147433
RBM42	-0.910648369914635	6.31013842485008	-10.7993101592107	3.22739884725032e-21	1.69643819407285e-18	37.5928078979205
STK11	-0.731151932804493	5.90403546086337	-10.7851820505009	3.54133142559076e-21	1.82008696024585e-18	37.5010216442976
MFAP3	1.1840659983544	3.69393751427708	10.7666281951996	4.00031124860475e-21	2.01128692516806e-18	37.3786899107897
MRTFB	0.835246496739859	5.45122293017286	10.7537845423626	4.35232784147536e-21	2.141715708886e-18	37.29922897311
FAAP20	-1.0718957980328	5.09829223434689	-10.7384854661445	4.81216758283721e-21	2.31866274699706e-18	37.2035054082494
NME3	-1.3980868535001	5.17762475466432	-10.7307168149642	5.06390168144344e-21	2.39016159364131e-18	37.1536823328141
PSMG3	-1.03272667858359	4.94716946946676	-10.7063122882456	5.94332887818413e-21	2.74914620589285e-18	36.9961781877353
EEA1	0.911389671763306	4.80982560140874	10.7032070132284	6.06563786804164e-21	2.75070730611896e-18	36.9746808518559
ANKS3	-0.90794672071367	4.36838778104181	-10.6963508609192	6.34464573399615e-21	2.82190320261275e-18	36.9295123113796
JOSD2	-1.32724296625323	4.43090865041806	-10.6574873804843	8.18594972052338e-21	3.57216311577858e-18	36.6775037727926
UCN	-1.85328871362337	-0.529298110628359	-10.6533795413648	8.40932570505737e-21	3.60168305382531e-18	35.8619729408772
RHOT2	-0.925134575057381	6.2166698647798	-10.6408129563924	9.13111100934634e-21	3.83971518953022e-18	36.5683331119092
E4F1	-0.833398083409792	4.75867069976639	-10.5706274106616	1.44577296947945e-20	5.92022785355431e-18	36.1225605355523
ZGPAT	-1.17579308957455	2.2767939856659	-10.5692284938359	1.45906687847023e-20	5.92022785355431e-18	35.876753747904
NCOA1	0.636513480814488	5.72331413722883	10.5579769712781	1.57051821596884e-20	6.26257677567713e-18	36.035085880488
MFSD10	-1.25643411521274	6.60688193992433	-10.5472865988775	1.68426238186754e-20	6.60230853692074e-18	35.9667474606178
ZBTB20	1.34726587739881	1.68675759390536	10.5436091098362	1.72525943711385e-20	6.65030004359487e-18	35.7777936532503
SELENOH	-1.14570208672636	2.60525683270431	-10.5358233331602	1.8153681734208e-20	6.88292378932398e-18	35.730871886913
CCDC130	-0.88302634020321	4.78336951697592	-10.523368169207	1.96937331999457e-20	7.34639776529586e-18	35.8189184957812
MICALL2	-1.49667339076658	6.23456762635615	-10.5095009405804	2.15620490463076e-20	7.82180761848474e-18	35.7232413288085
AC103810.3	-3.46969910000467	-1.60730667230265	-10.5089163897663	2.16445731400477e-20	7.82180761848474e-18	34.2444430850909
NDUFS8	-0.970867555987928	5.95964833323488	-10.5009892883004	2.27952690466607e-20	8.11090742324876e-18	35.6674749071054
RASSF7	-1.6353197907104	6.20614442428958	-10.4819873878934	2.58079634713532e-20	9.04373604796146e-18	35.5467145381225
METTL26	-0.978016630979989	5.21831344697839	-10.4762462135616	2.67939938516747e-20	9.24912671345571e-18	35.5129435887609
LRRC45	-1.11924462466024	4.16591751682099	-10.46705621126	2.84510983386885e-20	9.6258125855504e-18	35.4522678243392
NPEPL1	-1.32668577399852	2.93489898929492	-10.465628135375	2.87176179696894e-20	9.6258125855504e-18	35.3276404294844
TRMT1	-0.852158820562916	5.04299321480902	-10.4469366338774	3.24442579552686e-20	1.07195828284207e-17	35.3262037865784
TEDC1	-1.51231317154116	3.21546423710242	-10.4441691534204	3.30355644802902e-20	1.07612188070444e-17	35.2201075625186
REV3L	1.01765360193523	4.34557587200554	10.4189681470169	3.89392745947402e-20	1.25081603170438e-17	35.1489383787226
VPS9D1	-1.05461858374532	4.46899896513055	-10.4164928226694	3.95730499453009e-20	1.25376095771907e-17	35.1334823013962
GTPBP3	-0.766239168291472	3.9618372668911	-10.3936251098074	4.59364577646954e-20	1.43570053402956e-17	34.9803154933106
BAD	-1.70395828393493	3.11356411391539	-10.3858551647111	4.83229609323246e-20	1.49015125392374e-17	34.8254218645125
MAN1A2	0.759435403864403	5.72039147789336	10.3824465817468	4.9408510613918e-20	1.50357899141934e-17	34.9070373672819
UBR3	0.670261780971593	5.29820555270419	10.377497572088	5.10280522746669e-20	1.53269713377727e-17	34.8755217862887
SIRT6	-0.963422106568809	4.58503028499446	-10.3712175846632	5.31595279368595e-20	1.57624815656883e-17	34.8439461565592
ZNF205	-1.43268680511091	3.35908278295261	-10.3614722093165	5.66441809873748e-20	1.65831217452659e-17	34.719411644357
DRD4	-2.15096132647039	0.0914084108507939	-10.359266563524	5.74639234820203e-20	1.66128202786521e-17	34.1596379099139
TRADD	-1.05217750757238	5.16272552470399	-10.3486138960185	6.15925750411968e-20	1.75865811796642e-17	34.6943069457696
ADRM1	-0.774733611581689	5.5561111454668	-10.2772609956443	9.79892042278019e-20	2.7637735553422e-17	34.2326319894886
AGL	0.669235378731647	4.4604291256609	10.2545684476865	1.13564031686701e-19	3.16446858415664e-17	34.0954804096484
NFATC3	0.90965023128131	3.61209574393118	10.2351043876339	1.28873104455182e-19	3.548306142666e-17	33.9723750751745
KLC1	-0.895999318291456	4.62675613725432	-10.213474612279	1.48308278153651e-19	4.03538100839721e-17	33.8360546053661
RAB11B	-0.829302433658847	6.66351956421808	-10.2062149572077	1.55465145975323e-19	4.18092778618288e-17	33.7791189860132
SNHG12	-1.33108002586179	3.68782298141537	-10.1974748015057	1.64539466761256e-19	4.37410205431533e-17	33.7126284627992
NUBP2	-0.885809778734326	5.34185893216172	-10.1946540261907	1.67579267856711e-19	4.40428784885228e-17	33.7072964175173
ASXL2	0.805595316979756	5.29532133847769	10.1911035580516	1.71485076459081e-19	4.45629982960184e-17	33.682699622896
ZYG11B	0.617060750552779	4.97647472251397	10.1877699637908	1.75234817583434e-19	4.50314540118851e-17	33.663348355352
H2AX	-1.18344403979179	4.85845025859481	-10.1765354790569	1.88483639033196e-19	4.790384179736e-17	33.5990968184362
ITPR2	1.19689769367587	5.07202460070105	10.1677130416505	1.99583649304105e-19	5.0173593925058e-17	33.5359849370398
DCAF15	-0.681283288663673	4.78044154513932	-10.1625687294657	2.06354130919774e-19	5.1096869104541e-17	33.5088389692381
CSNK1G2	-0.710958093020203	6.15286069276722	-10.1615847968981	2.07674926315585e-19	5.1096869104541e-17	33.4916107047904
ROMO1	-1.02106819706656	5.59854076973074	-10.146556791716	2.28926939012894e-19	5.57328657420022e-17	33.3983221737643
FOXN3	0.900406555501049	5.53307058282406	10.1435814617747	2.33384711155619e-19	5.62262666625745e-17	33.3792535811905
ARFGAP1	-0.851034341828195	6.89023858955553	-10.1351266719478	2.46529651975869e-19	5.87808019680194e-17	33.3271845300684
ZNF579	-1.12822571132888	3.9783960277522	-10.1250504531078	2.63161976094516e-19	6.21062263583057e-17	33.2680314156131
CCDC85B	-1.87746868978771	4.10720554727852	-10.1166473498251	2.77884085111699e-19	6.4918213338014e-17	33.2033700957527
CPED1	1.67976958960812	3.78353440824416	10.1117733313082	2.8679630539732e-19	6.63302495122922e-17	33.189885357111
DOHH	-1.00023221338035	3.76216980355478	-10.109907189217	2.9028345942567e-19	6.64720381148207e-17	33.1653445662983
DMXL1	0.767417040791952	4.99540998971009	10.1029679143582	3.0362509364507e-19	6.88455016257174e-17	33.1228002938238
CAPN10	-0.881595613329404	4.44495046884444	-10.0955006706009	3.18664792005483e-19	7.15541680534254e-17	33.0862635285928
TRMT2A	-0.676695623757939	4.82626387567147	-10.0873554480724	3.35917311628247e-19	7.44206599730507e-17	33.0291939303923
APC	0.7951328709723	4.907075803437	10.0864616711091	3.37866192371598e-19	7.44206599730507e-17	33.0186083882452
ILKAP	-0.586996485278859	4.69205446072677	-10.0754910571541	3.62725311965662e-19	7.9142556746621e-17	32.9549277563806
KAT2A	-0.934231896855168	5.7996212147504	-10.0589423346141	4.03712550071837e-19	8.72622790473033e-17	32.838361785379
KLHL8	0.737312321521658	3.87693263235735	10.048937753438	4.30696281015038e-19	9.22328109936648e-17	32.791095939573
MED25	-0.890667012523122	5.70372112756056	-10.0417756995103	4.51109604475551e-19	9.57180085533078e-17	32.7293173705311
SNRNP70	-0.873790191808169	7.51269128449412	-10.0353674839768	4.70189728852222e-19	9.88595277172199e-17	32.6977508097257
MED13L	0.846943251752942	5.92107875369565	10.0142973155595	5.38774164973399e-19	1.1225917916671e-16	32.5564363582299
D2HGDH	-1.17474059991837	4.67298233317029	-10.0038589089297	5.7635535130739e-19	1.19017380044976e-16	32.503876847075
IDUA	-1.15541099118177	4.30713240141111	-9.99792595874087	5.98867710734825e-19	1.2257179127323e-16	32.4677083441214
DSTYK	0.619494270999944	4.53155173452394	9.98298233367384	6.59527538639248e-19	1.3335994969713e-16	32.3654349116363
STUB1	-0.912571455542652	4.4162436917822	-9.98145222544758	6.66073942876402e-19	1.3335994969713e-16	32.3630696696728
ATP5F1D	-1.18432872082868	5.77880640674856	-9.98080196518607	6.68875569217704e-19	1.3335994969713e-16	32.3429820979846
ZNHIT1	-0.885627077122994	6.30034000353286	-9.96693830800033	7.31479604548328e-19	1.44595387128152e-16	32.2528537132257
SELENOO	-0.973409201581748	4.43070874374659	-9.96518064835451	7.39822531643115e-19	1.45005216202051e-16	32.2602808001063
XAB2	-0.71312760958936	5.92429609624475	-9.95961329180175	7.66879181204846e-19	1.49045224394165e-16	32.2055582912425
SIGIRR	-1.08545070729443	5.60583397571491	-9.95801858035059	7.74809270977278e-19	1.49331573493021e-16	32.1989539577841
CDC34	-0.888724553496211	5.54323170480211	-9.95076956320653	8.11898621745118e-19	1.5518670515472e-16	32.1521918264421
OXLD1	-0.931582958720016	4.14998202036948	-9.94902110388093	8.21106056931489e-19	1.5566017118616e-16	32.1581884957817
TPGS1	-2.29510566248482	0.975190167871865	-9.9448301113508	8.43601490248272e-19	1.5862451436148e-16	31.7151947995294
AC006077.2	-2.19123033323827	-1.61749827613207	-9.9429977370413	8.53628720545956e-19	1.59215524586991e-16	31.1431684347103
