gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ZNF414	-1.28647404966951	3.19758704438573	-9.6532374807276	5.48880860571795e-18	7.5743614520364e-14	30.1582797698723
REX1BD	-1.55584579069324	4.62674116909292	-9.625589952201	6.54994937049152e-18	7.5743614520364e-14	30.1071542924683
ABHD17A	-1.03714521136327	5.01293161675326	-9.47228283055332	1.74053370143321e-17	1.34183544822491e-13	29.1659111334602
TP53I13	-1.39327274852874	5.46371903809946	-9.28852422778512	5.58017173274761e-17	3.22645529587467e-13	28.0280680231617
RAB24	-1.70893657951528	1.40621103622561	-9.17145366406457	1.16766743528871e-16	5.40116248867144e-13	26.8413689256843
SCAND1	-1.48425846885633	5.39162336939783	-8.91120038306366	5.95949074407401e-16	2.29718503214906e-12	25.7143332579377
TRMT1	-0.91419196435174	5.04299321480902	-8.67320289273454	2.60691558097012e-15	8.61324907952528e-12	24.2743434951307
SPPL2B	-1.41410131382185	5.82158928859219	-8.63663788080708	3.26601534302412e-15	9.44205035668274e-12	24.0476926785983
TMEM259	-0.864838860583191	6.6735609492376	-8.583447459354	4.5303831152229e-15	1.16420778543195e-11	23.7273504305868
MHENCR	-1.44774534096183	2.00799968071936	-8.50959982740536	7.12651849591013e-15	1.6482211977341e-11	23.0949786790235
PAXX	-1.09474403912532	4.8932796620453	-8.32632026725097	2.17883955367415e-14	4.58110919976143e-11	22.2065823902852
CCDC130	-0.900411052974345	4.78336951697592	-8.27934560773046	2.89684242664602e-14	5.5831809702891e-11	21.9294919070554
TPGS1	-2.37622686507488	0.975190167871865	-8.25153984920211	3.4277524654316e-14	6.09823530926939e-11	21.4232566804729
JUND	-1.21644106295219	7.3387257068911	-8.22336328682318	4.06409299580251e-14	6.71388162906574e-11	21.5909654920595
ABCA7	-1.24782200566087	5.13153377815545	-8.20428253400188	4.560199657476e-14	7.031219845207e-11	21.4817409078052
DPP7	-1.0779168750191	6.9706903047119	-8.14909413596126	6.35891149489205e-14	9.19180656586647e-11	21.1505973786922
SSBP4	-1.22366321996018	5.04234301438532	-8.11191187272489	7.95122635847251e-14	1.06592506631973e-10	20.939644451163
AC005785.1	-1.65387945143547	-1.12475081736922	-8.10484385820185	8.29585402704736e-14	1.06592506631973e-10	20.3305119384261
FAM193B	-1.10290817441275	5.36136666646332	-8.06084341439638	1.07998552274909e-13	1.24981447600191e-10	20.6353597948636
ZNF580	-1.01213344733833	4.24239613520763	-8.05443649572289	1.12221476152741e-13	1.24981447600191e-10	20.6175008095286
STK11	-0.701766938988623	5.90403546086337	-8.04069849809755	1.21835933244357e-13	1.24981447600191e-10	20.5106352726769
PPP1R32	-1.21187900163588	1.1232774448061	-8.03750445559214	1.24185697838258e-13	1.24981447600191e-10	20.2575030718769
QTRT1	-1.00708296387623	5.02236266318789	-8.03736440798332	1.24289748132324e-13	1.24981447600191e-10	20.504168704102
ASPSCR1	-1.03933355376348	4.75337995068941	-7.9636210530642	1.93005874326784e-13	1.85993327559577e-10	20.0822606292475
