gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CEP120	-0.621283033109176	4.44111591137961	-7.32786785339563	7.92732547153986e-12	1.83343183505774e-07	16.4852943889099
SLC25A42	-0.755071601463067	3.29555537551369	-7.09461435880082	2.9815247602378e-11	3.44783523273899e-07	15.1535728869262
STX4	0.493070842856531	5.90827435152873	6.99673028406384	5.16392120661338e-11	3.98103898888514e-07	14.6955274409418
JPT1	1.15654908563222	6.87643327248469	6.78348378006946	1.68458165263544e-10	7.85910292662567e-07	13.5577344223101
PPP4C	0.595964631127353	6.65906869637635	6.736837633243	2.17601530481345e-10	7.85910292662567e-07	13.3106710309627
PPM1K	-1.02099752382187	4.23112309100557	-6.73459041608381	2.20296172735404e-10	7.85910292662567e-07	13.3030815306901
AFF3	-1.79699823498892	1.70356721668725	-6.69316673363884	2.76284117107359e-10	7.85910292662567e-07	12.8587281839706
FAM117A	-0.91204043112951	3.73623792145036	-6.67593967942893	3.03499021562067e-10	7.85910292662567e-07	12.9887642186423
GNG2	-1.36795514240478	4.18346414422658	-6.6745367791241	3.05828114578135e-10	7.85910292662567e-07	12.9890254639952
TMEM44	0.820132901331737	4.36988612963883	6.62032544775526	4.10652625161005e-10	9.49757391472373e-07	12.6979137957641
DYNLT1	0.537344402049397	6.09992767066039	6.59668731227013	4.66769141713577e-10	9.81403337231965e-07	12.5778749473225
MVP	0.806305065779803	8.64374403336717	6.57041736073575	5.38010888563734e-10	1.03692631922517e-06	12.4497463028727
TSPAN15	1.23612559898604	6.70505636342235	6.54650699146416	6.12093227316295e-10	1.05949238996327e-06	12.3180326091595
SFT2D1	0.561910905757106	5.26899991310405	6.53784404626201	6.41339219106094e-10	1.05949238996327e-06	12.2803138090094
TMED8	-0.754593434657975	4.97529604818059	-6.48717163041353	8.42068619293471e-10	1.29683506107742e-06	12.0169701218032
S100A6	1.37798090150194	10.8708906660408	6.47019317426961	9.2226095117896e-10	1.29683506107742e-06	11.926133926428
GPRASP1	-1.36245538784337	3.88783979376712	-6.46402323501724	9.53225356205298e-10	1.29683506107742e-06	11.9024219992158
CORO1B	0.579357069856695	6.94467264583251	6.42900315650193	1.14934013095269e-09	1.45410683919863e-06	11.7122744764086
TENT5C	-1.34552892400381	4.85046141404942	-6.42176444819439	1.19457064790617e-09	1.45410683919863e-06	11.6818789951163
TNRC6C	-0.667977767168023	4.23360319273036	-6.37619560626133	1.52225418360096e-09	1.76033473791616e-06	11.4573909401281
RPL34-DT	-1.16896847524935	-2.55891709525081	-6.35545722806421	1.69923384722378e-09	1.87142287707578e-06	10.4419951829174
CDO1	-1.48971434565973	2.25553995029733	-6.33273136831805	1.91642640928204e-09	2.01468681790341e-06	11.1396537774863
ANK2	-1.58586031605113	3.68076227755151	-6.31640853283122	2.08903133482185e-09	2.10065724833738e-06	11.1517825945145
SYNE1	-0.92123073375147	5.84006715815232	-6.22841451161274	3.31789264419731e-09	3.13789444716024e-06	10.6927747924052
FAM172A	-0.539482886475512	4.33152251503649	-6.22420135262245	3.39187829379998e-09	3.13789444716024e-06	10.6940559996805
CD200	-1.21906909660676	3.85487664201592	-6.19490062007177	3.95315330913285e-09	3.34022471330498e-06	10.5489007696164
SIK3	-0.47990814652478	5.36683186171933	-6.19089198103251	4.03670867126317e-09	3.34022471330498e-06	10.5102226393678
EML6	-1.17866736245812	1.18506427354497	-6.19055289154855	4.04385558511498e-09	3.34022471330498e-06	10.3090837455835
ACSL6	-1.96564887025568	-0.284209436739531	-6.1774879670756	4.32888350486041e-09	3.45235923104867e-06	10.0947323366576
AL353660.1	-2.2081798795251	-2.82171990888827	-6.16721750859022	4.56670432060904e-09	3.52062458423486e-06	9.61327804469643
CNIH4	0.543723892595316	5.18705672158064	6.10027234849645	6.46294572197582e-09	4.82177447283409e-06	10.0717414202518
