ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	143	0.545289249460246	2.63525514877051	4.8268424621144e-16	2.4134212310572e-14	1.01617736044514e-14	4631	tags=52%, list=20%, signal=42%	SCAF8/ADGRL2/SYNE1/ATRX/MMP16/KIT/TOGARAM1/DLC1/TGFBR3/ATP2B1/NR3C1/AKT3/PRDM2/NIPBL/BMPR1A/PHF3/ATRN/PRKAR2B/PTGFR/PTEN/TGFBR2/CELF2/PLPP3/NRP1/CDON/MAP1B/ATXN1/PDLIM5/ZMIZ1/FBLN5/NFIB/ACVR2A/NR1D2/EFEMP1/CAP2/LAMC1/PRKCE/SPOP/LTBP1/NOTCH2/LPAR1/APBB2/IGFBP5/GJA1/KCNMA1/HAS2/DAB2/PTPRM/ADD3/PTPN21/TJP1/MAGI2/FYN/RGS4/DYRK1A/AMPH/SDC2/PDGFRB/PRKCA/NFKB1/NEK7/SYNJ2/PIK3R3/DLG1/SMAD7/MAPK14/AGGF1/YTHDC1/SLC7A1/PIK3CD/ATP2C1/COL5A2/ATP2B4/COL3A1/MIOS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	0.472889068939212	2.39233649793929	2.60797217307012e-14	6.5199304326753e-13	2.7452338663896e-13	7067	tags=55%, list=31%, signal=38%	SLIT2/TGFBR3/LAMA2/ECM2/FERMT2/SGCD/ABI3BP/MYLK/FBN1/SLIT3/CALD1/FBLN5/FGF2/ITGAV/DST/NID2/SGCB/COL4A1/ITGB1/THBS1/CAP2/GLIPR1/LAMC1/CADM1/NOTCH2/WIPF1/CXCL12/DCN/FSTL1/LRP1/FBN2/SFRP1/CDH6/GJA1/DAB2/EDIL3/VCAN/GEM/RGS4/THBS2/COL6A3/PTX3/TNFAIP3/LOX/FBLN1/TIMP3/PDGFRB/ACTA2/LUM/COL4A2/CCN2/INHBA/FAP/ELN/GREM1/MAGEE1/MGP/SPOCK1/SFRP4/MATN2/PRRX1/SERPINE2/COL5A2/PLOD2/PFN2/DPYSL3/SPARC/COL3A1/CALU/WNT5A/CDH11/SCG2/ADAM12/IL6/VCAM1/PMP22/MATN3/COL12A1/TAGLN/FMOD/ID2/ANPEP/SERPINE1/FLNA/MFAP5/MMP2/NTM/BASP1/TFPI2/COL1A2/COPA/MMP3/FN1/TNC/FBLN2/POSTN/GAS1/ITGB3/ITGA2/SNAI2/MXRA5/TPM1/PRSS2/TNFRSF11B/CD44/THY1/MYL9/FAS/CCN1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	-0.461856679028205	-2.28017000844004	1.03496485079316e-12	1.72494141798861e-11	7.26291123363624e-12	4549	tags=44%, list=20%, signal=35%	CYC1/NDUFA4/ATP5F1C/ATP6V0E1/UQCR10/SUPV3L1/COX7A2/HTRA2/VDAC2/SLC25A6/NDUFS2/ATP5PF/SURF1/ACAA1/MRPS11/NDUFA7/GPI/BCKDHA/NDUFB3/IDH3B/TIMM50/UQCR11/ATP5PD/MGST3/PMPCA/HSD17B10/NDUFB4/UQCRH/ETFB/NDUFA1/NDUFV2/ATP5MC1/ATP5ME/COX8A/SDHA/POLR2F/NDUFA9/TIMM10/TIMM8B/COX6C/NDUFB1/MDH2/UQCRQ/ECHS1/NDUFB2/COX6A1/ATP5MF/NDUFB8/ACADVL/COX5A/ATP5PO/ATP6V1F/UQCRC1/TCIRG1/ATP5MC2/NDUFC1/MTX2/POR/NDUFAB1/ATP6V0B/NDUFA3/COX7B/COX17/ATP6V0C/MRPL11/COX4I1/MRPS15/NDUFA2/COX6B1/IDH3G/ECH1/ATP5F1E/NDUFS3/MRPS12/TIMM13/ECI1/BAX/MRPL34/COX5B/NDUFS6/NDUFV1/NDUFS7/GPX4/NDUFB7/ATP5F1D/NDUFS8/RHOT2
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	196	0.44541534148822	2.24592609577578	8.47176741352414e-12	8.47176741352414e-11	3.56705996358911e-11	5530	tags=42%, list=24%, signal=32%	CCSER2/PEG3/GUCY1A1/TLR8/TMEM100/ADGRL4/F13A1/SPARCL1/SATB1/CBL/EVI5/NRP1/EPB41L3/CLEC4A/C3AR1/ABCB1/DOCK2/IKZF1/NIN/CMKLR1/AKAP12/MTMR10/STRN/PECAM1/IL7R/IL33/PDCD1LG2/RELN/ADGRA2/MAP3K1/SPON1/ETS1/IL10RA/HSD11B1/USP12/FGF9/LCP1/ADAM17/NAP1L2/CFH/GPNMB/CAB39L/ZNF639/HDAC9/ITGBL1/KIF5C/TNFAIP3/PTCD2/PRDM1/ALDH1A3/ETV1/INHBA/EMP1/ANKH/ADAMDEC1/IL1B/SNAP91/IGF2/GFPT2/PRRX1/ST6GAL1/TNFRSF1B/LAPTM5/CSF2RA/CIDEA/PLVAP/CROT/CXCL10/MMD/ETV5/LY96/FLT4/APOD/GNG11/FCER1G/BTBD3/ALDH1A2/MAP4K1/IL1RL2/LAT2/TSPAN7/MAFB/ID2
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	197	0.440452865024292	2.22513308653259	7.66857910156608e-12	8.47176741352414e-11	3.56705996358911e-11	7509	tags=57%, list=32%, signal=39%	P2RX7/KIF1B/CALCRL/ATP2B1/ABCA1/KCNA3/TLR1/CXCR6/PDE4B/LCP2/IL2RB/C3AR1/CYBB/CMKLR1/MSR1/IL7R/ACVR2A/IL1R1/SGMS2/PTGER4/NLRP3/VIP/IL10RA/LPAR1/FPR1/HIF1A/CXCL9/SLAMF1/GPC3/SLC7A2/PROK2/PIK3R5/NMUR1/MEFV/IFNAR1/HAS2/RAF1/EIF2AK2/SELE/GPR183/TLR3/TACR1/CD69/SLC1A2/ATP2A2/ADGRE1/IL18R1/SLC31A1/C5AR1/INHBA/NFKB1/CD48/IL1B/SELL/BEST1/SLC7A1/CCR7/ATP2C1/RNF144B/IL10/TNFRSF1B/CCL5/TNFSF15/SLC4A4/STAB1/PCDH7/CXCL10/TNFAIP6/RASGRP1/IL6/NAMPT/BTG2/CSF1/KCNJ2/CXCL11/IL18RAP/CCL2/OSMR/SERPINE1/AXL/APLNR/MEP1A/CLEC5A/OLR1/SLC11A2/ICAM1/LAMP3/GNAI3/TNFRSF9/NPFFR2/TLR2/EBI3/CCL22/ITGB3/LTA/KCNMB2/GCH1/CSF3R/AQP9/LYN/CCL17/PTGER2/RGS1/CSF3/SLC31A2/SEMA4D/PDPN/EDN1/ACVR1B/CD14/DCBLD2/CXCL6/ITGA5
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	195	0.438218255452841	2.20969251743809	3.63501033749378e-11	3.02917528124481e-10	1.27544222368203e-10	7234	tags=57%, list=31%, signal=40%	CCR2/CCR1/PTPRC/CCR5/ST8SIA4/TLR1/SOCS5/F2R/CD28/LCP2/IL2RB/FYB1/CD3G/PRKCB/TRAT1/CD96/ITK/ACVR2A/JAK2/GPR65/FASLG/HLA-DOA/ETS1/NLRP3/CD8A/KLRD1/EIF4G3/IL16/CD4/HIF1A/HLA-DQA1/EIF3A/MAP3K7/CXCL9/CD86/CD2/IRF4/CRTAM/CD40LG/IGSF6/IL2RA/SRGN/TLR3/HLA-DRA/STAT4/CD3E/ITGAL/HDAC9/CD1D/CD8B/ABCE1/GZMA/PRF1/HCLS1/INHBA/TLR6/IL1B/GALNT1/SIT1/DEGS1/CD247/IFNGR1/IL10/STAT1/CCL5/CCL13/TGFB2/HLA-DMB/CARTPT/STAB1/DYRK3/UBE2D1/EGFR/CCL11/IL6/NCR1/CCL4/MAP4K1/FGR/WAS/IFNG/CSF1/IL18RAP/CD80/BCAT1/CCL2/FCGR2B/FLNA/CD3D/ICAM1/LY86/GZMB/CCND2/IL7/TLR2/CCL22/RPL3L/WARS1/ITGB2/APBB1/CD79A/LYN/IRF8/THY1/CCL19/CXCL13/FAS/NCK1/IL27RA/CTSS/UBE2N/EIF3J
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	148	-0.460292636182577	-2.18663435470751	2.85174953497571e-09	2.03696395355408e-08	8.57669033075402e-09	4199	tags=45%, list=18%, signal=37%	HPRT1/VPS37D/FEN1/RAD51/GTF2A2/POLE4/ERCC1/SURF1/RAE1/NME4/ELL/POLR1C/AK1/ZWINT/SUPT5H/DUT/POLR3GL/NELFCD/POLR2G/POLR1D/RFC2/RFC4/NME1/RPA3/POLR2F/RBX1/GTF2F1/LIG1/GTF3C5/MRPL40/DDB2/CCNO/ALYREF/EDF1/ERCC2/VPS37B/COX17/AAAS/POLR1H/TARBP2/BCAP31/SNAPC4/NELFB/TAF1C/TAF10/POLD1/NELFE/POLD4/ZNF707/POLR2E/POLR2I/APRT/MPG/ITPA/SAC3D1/VPS28/POLA2/DGUOK/GUK1/POLL/GPX4/POLR2J/POLR2H/NT5C/ADRM1/NME3
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	199	-0.397332446481704	-1.95753607428638	7.32468999374121e-08	4.57793124608826e-07	1.92754999835295e-07	5950	tags=43%, list=26%, signal=32%	ERH/ILF2/TYMS/PSMA4/HNRNPA2B1/SRSF3/IMPDH2/VDAC1/CLNS1A/PHB2/RACK1/TXNL4A/SRSF7/EIF4A1/TARDBP/EIF2S2/MCM5/EIF3D/RPS3/PSMA6/HPRT1/RPS5/KARS1/PSMA2/HDDC2/RPLP0/COPS5/CYC1/CCT3/CCT7/RPL34/UBE2L3/MRPL9/HDGF/PA2G4/HSPE1/RPL14/MCM7/PSMB2/H2AZ1/PSMA1/CDC20/SNRPD1/SRM/DUT/PSMD8/NOP16/CDC45/RPS2/PSMC4/AIMP2/RFC4/NME1/SRSF2/LSM2/SNRPG/PCBP1/SSBP1/PPM1G/COX5A/FBL/IFRD1/PSMD3/SNRPD2/SNRPA1/RRP9/NDUFAB1/RANBP1/HNRNPD/RPL18/TUFM/POLD2/PSMA7/PSMB3/EIF3B/PPIA/TRIM28/RPS10/NHP2/RUVBL2/EXOSC7/MRPL23/RNPS1/PRPF31/SNRPA/LSM7
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	100	0.465226296166614	2.13116157554614	2.78965619056876e-07	1.54980899476042e-06	6.52551155688599e-07	4328	tags=39%, list=19%, signal=32%	NCOA4/SLC26A2/GUCY1A1/ABCC4/LIFR/SELENOP/RPS6KA3/APPBP2/PIAS1/ARID5B/MERTK/PDLIM5/UBE2J1/ZMIZ1/AKAP12/ITGAV/ZBTB10/LMAN1/ELOVL5/BMPR1B/SEC24D/IQGAP2/PLPP1/ADAMTS1/PTPN21/DNAJB9/SLC38A2/SGK1/CDC14B/FADS1/ELK4/ALDH1A3/SPCS3/ANKH/ABHD2/ELL2/FKBP5/MAF/STEAP4
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	198	0.364040428848	1.8459108918381	9.60194652932621e-07	4.80097326466311e-06	2.02146242722657e-06	6785	tags=47%, list=29%, signal=33%	USP8/CTSO/PIK3CA/DOCK4/ZEB1/F8/SH2B3/PIK3CG/GNB4/DOCK10/BRPF3/GNG2/KIF2A/LCP2/VCPIP1/LIPA/LAMP2/PRCP/CR1/HPCAL4/AKAP10/PLEK/ZFPM2/DOCK9/GMFB/CD36/JAK2/RBSN/USP16/PRDM4/CFH/PIK3R5/FCN1/LRP1/CPQ/CD40LG/RAF1/GZMK/C1S/DPP4/FYN/CPM/GZMA/TNFAIP3/ME1/CDH13/COL4A2/S100A12/LAP3/PPP2CB/CALM1/CBLB/DGKG/CCL5/C1QC/GNGT2/CLU/RASGRP1/IL6/FCER1G/ADAM9/USP15/WAS/TIMP2/PDP1/C1R/USP14/SERPING1/SERPINE1/SPOCK2/DYRK2/L3MBTL4/OLR1/GZMB/TFPI2/GNAI3/PHEX/F10/ITGAM/FN1/PLA2G7/SCG3/C3/CA2/CTSL/C1QA/PRSS3/IRF2/PLA2G4A/RNF4/CTSC/KLK1/LYN
