ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0016064	immunoglobulin mediated immune response	52/914	181/15041	0.287292817679558	4.7277585018799	12.8336353575931	6.94062246023859e-22	3.24265881342347e-18	2.6498565961353e-18	CD226/TLR8/PTPRC/CD28/IL2RB/CR1/CSF2RB/C7/FCER1A/CD40LG/IGHV3-33/IGHV2-26/IGHV3-74/IGHV4-4/IGHV3-13/IGHV3-30/IGHV3-38/FCGR3B/IGHV3-15/IGHV3-73/IGHV3-49/IGHV3-72/IGHV4-34/IGHV2-5/IGHV4-59/IGHV3-20/IGHV3-48/IGHV3-53/IGHV3-35/IGHV3-21/IGHV4-31/C6/IGHV3-11/IGHV4-28/IGHV1-18/IGHV4-39/IGHV1-3/IGHV3-7/IGHV6-1/IGHV1-24/IGHV4-61/IGHV1-58/IGHV3-23/IGHV5-51/IGHV1-69D/IGHV2-70/IGHV2-70D/IGHV3-66/IGHV3-64/IGHV3-64D/IGHV7-4-1/IGHV1-69	52
GO:0019724	B cell mediated immunity	52/914	184/15041	0.282608695652174	4.65067548282751	12.6732681023004	1.58806978665313e-21	3.70973102162172e-18	3.03154164010048e-18	CD226/TLR8/PTPRC/CD28/IL2RB/CR1/CSF2RB/C7/FCER1A/CD40LG/IGHV3-33/IGHV2-26/IGHV3-74/IGHV4-4/IGHV3-13/IGHV3-30/IGHV3-38/FCGR3B/IGHV3-15/IGHV3-73/IGHV3-49/IGHV3-72/IGHV4-34/IGHV2-5/IGHV4-59/IGHV3-20/IGHV3-48/IGHV3-53/IGHV3-35/IGHV3-21/IGHV4-31/C6/IGHV3-11/IGHV4-28/IGHV1-18/IGHV4-39/IGHV1-3/IGHV3-7/IGHV6-1/IGHV1-24/IGHV4-61/IGHV1-58/IGHV3-23/IGHV5-51/IGHV1-69D/IGHV2-70/IGHV2-70D/IGHV3-66/IGHV3-64/IGHV3-64D/IGHV7-4-1/IGHV1-69	52
GO:0007204	positive regulation of cytosolic calcium ion concentration	43/914	146/15041	0.294520547945206	4.84669973921645	11.8800017755921	9.18848704028748e-19	1.4309537150741e-15	1.16935587702185e-15	P2RX7/SLC8A1/CCR2/EDNRB/PIK3CG/BCL2/CCR1/CCR5/CACNA2D1/PTGFR/CXCR6/F2R/FPR3/PTGER3/CX3CR1/CYSLTR1/CALCR/RYR2/C3AR1/NOS1/P2RY1/ESR1/CMKLR1/CCR8/CCR4/CD36/HTR2A/ADCYAP1R1/SLC8A3/CD38/AVPR1A/CXCR2/PROK2/AGTR1/FPR2/XCR1/GHRL/TACR1/ADCYAP1/GALR1/LPAR3/CCR7/PLA2G1B	43
GO:0002443	leukocyte mediated immunity	79/914	444/15041	0.177927927927928	2.92802403059515	10.489243492446	2.48217435299296e-18	2.89917964429578e-15	2.36917009955407e-15	P2RX7/KIT/CCR2/CD226/PIK3CG/TLR8/PTPRC/SLC18A2/CD84/CD28/CX3CR1/IL2RB/CLC/CR1/SCIMP/IL7R/CSF2RB/CD96/SPN/NCKAP1L/IL1R1/SH2D1A/C7/CD8A/CTSG/SLAMF1/FCAR/FCER1A/CD40LG/CD1E/IGHV3-33/IGHV2-26/IGHV3-74/TIGIT/IGHV4-4/IGHV3-13/IGHV3-30/CD1C/IGHV3-38/FCGR3B/NR4A3/IGHV3-15/IGHV3-73/IGHV3-49/IGHV3-72/IGHV4-34/IGHV2-5/DNASE1L3/IGHV4-59/LEP/IGHV3-20/IGHV3-48/IGHV3-53/IGHV3-35/IGHV3-21/IGHV4-31/C6/IGHV3-11/IGHV4-28/IGHV1-18/IGHV4-39/IL6/IGHV1-3/IGHV3-7/IGHV6-1/IGHV1-24/IGHV4-61/IGHV1-58/IGHV3-23/IGHV5-51/IGHV1-69D/IGHV2-70/IGHV2-70D/IGHV3-66/PLA2G1B/IGHV3-64/IGHV3-64D/IGHV7-4-1/IGHV1-69	79
GO:0002449	lymphocyte mediated immunity	68/914	351/15041	0.193732193732194	3.1881027635951	10.5507277916911	6.58743496249452e-18	6.15529922895488e-15	5.0300266545195e-15	P2RX7/CCR2/CD226/TLR8/PTPRC/CD28/IL2RB/CLC/CR1/IL7R/CSF2RB/CD96/SPN/NCKAP1L/IL1R1/SH2D1A/C7/CD8A/SLAMF1/FCER1A/CD40LG/CD1E/IGHV3-33/IGHV2-26/IGHV3-74/TIGIT/IGHV4-4/IGHV3-13/IGHV3-30/CD1C/IGHV3-38/FCGR3B/IGHV3-15/IGHV3-73/IGHV3-49/IGHV3-72/IGHV4-34/IGHV2-5/IGHV4-59/LEP/IGHV3-20/IGHV3-48/IGHV3-53/IGHV3-35/IGHV3-21/IGHV4-31/C6/IGHV3-11/IGHV4-28/IGHV1-18/IGHV4-39/IL6/IGHV1-3/IGHV3-7/IGHV6-1/IGHV1-24/IGHV4-61/IGHV1-58/IGHV3-23/IGHV5-51/IGHV1-69D/IGHV2-70/IGHV2-70D/IGHV3-66/IGHV3-64/IGHV3-64D/IGHV7-4-1/IGHV1-69	68
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	69/914	368/15041	0.1875	3.0855443107221	10.3028153308868	2.27716868320954e-17	1.7731553479925e-14	1.44899838842123e-14	RORA/P2RX7/CCR2/CD226/TLR8/PTPRC/CD28/IL2RB/CLC/CR1/IL7R/IL33/CSF2RB/SPN/NCKAP1L/IL1R1/C7/TNFSF18/CD8A/SLAMF1/IRF4/FCER1A/CD40LG/IL1RL1/CD1E/IGHV3-33/IGHV2-26/IGHV3-74/IGHV4-4/IGHV3-13/IGHV3-30/CD1C/IGHV3-38/FCGR3B/IGHV3-15/IGHV3-73/IGHV3-49/IGHV3-72/IGHV4-34/IGHV2-5/IGHV4-59/IGHV3-20/IGHV3-48/IGHV3-53/IGHV3-35/IGHV3-21/IGHV4-31/C6/IGHV3-11/IGHV4-28/IGHV1-18/IGHV4-39/IL6/IGHV1-3/IGHV3-7/IGHV6-1/IGHV1-24/IGHV4-61/IGHV1-58/IGHV3-23/IGHV5-51/IGHV1-69D/IGHV2-70/IGHV2-70D/IGHV3-66/IGHV3-64/IGHV3-64D/IGHV7-4-1/IGHV1-69	69
GO:0042391	regulation of membrane potential	68/914	418/15041	0.162679425837321	2.67709107660737	8.84501538130313	6.27065691337462e-14	4.18521558561232e-11	3.42010114658793e-11	RGS7BP/P2RX7/LRRK2/SLC8A1/ABCC9/BCL2/PID1/KCNA3/CACNA2D1/SCN2B/SCN7A/DMD/ANK2/KCNA2/SCN4B/AKAP6/FHL1/RYR2/NOS1/NLGN1/KCND3/PLN/RELN/CD36/NLGN4X/SLC8A3/NRXN1/NRCAM/SCN3A/GRIN2A/KCNA1/DCN/KCNA6/GLRA3/NTRK2/KCTD16/KCNK2/CHRNA6/GRIK3/GHRL/KCNJ5/TACR1/GRIA1/HCN1/CTNNA3/GABRB3/KCNJ3/KCNS2/GABRG2/KCNH7/KCNIP1/RIMS1/SLC6A4/KCNB1/CHRNB3/MYOC/ATP1A2/SLC4A4/GLRA1/CHRNB2/KCNB2/SLC8A2/KCNK3/GABRA4/CASR/CFTR/SLC26A3/GJD2	68
GO:0019722	calcium-mediated signaling	45/914	227/15041	0.198237885462555	3.26224949151235	8.73553083657211	1.26160414730853e-12	7.36776822028181e-10	6.02083979248425e-10	ITPR2/ITPR1/P2RX7/NEGR1/LRRK2/SLC8A1/CCR2/EDNRB/SGCD/CCR1/TMEM100/PTPRC/CCR5/DMD/P2RY12/ANK2/CXCR6/AKAP6/CX3CR1/CALCR/RYR2/C3AR1/NOS1/CMKLR1/PLEK/CCR8/TRAT1/PLN/CCR4/PDGFRA/AVPR1A/IGF1/CXCR2/GRIN2A/AGTR1/FPR2/XCR1/GRIK3/SELE/GRIA1/NR5A2/CCR7/ATP1A2/SLC8A2/BHLHA15	45
GO:0006935	chemotaxis	66/914	427/15041	0.154566744730679	2.54358687909644	8.23061917624296	1.69155147399388e-12	7.90292848649939e-10	6.45816546965873e-10	ANGPT1/ITGA9/KIT/SLIT2/HGF/JAM3/CCR2/EDNRB/SEMA5A/CYP7B1/PIK3CG/CCR1/CCR5/P2RY12/CXCR6/PDE4B/PLXNA4/FGF7/FPR3/CX3CR1/CYSLTR1/SEMA3D/SLIT3/C3AR1/DOCK2/CMKLR1/FGF10/CCR8/CSF1R/SLAMF8/CCR4/FGF2/SPN/NCKAP1L/PDGFRA/RIPOR2/THBS1/TNFSF18/FLRT2/CTSG/CXCR2/CXCL12/CXCL9/THBS4/SLAMF1/PROK2/ROBO2/AGTR1/FPR2/SEMA3E/XCR1/GPNMB/SEMA3C/DPEP1/GREM1/S100A12/CCR7/SUCNR1/CCL8/EPHA7/CCL13/SCG2/DSCAM/IL6/CASR/PLA2G1B	66
GO:0042330	taxis	66/914	427/15041	0.154566744730679	2.54358687909644	8.23061917624296	1.69155147399388e-12	7.90292848649939e-10	6.45816546965873e-10	ANGPT1/ITGA9/KIT/SLIT2/HGF/JAM3/CCR2/EDNRB/SEMA5A/CYP7B1/PIK3CG/CCR1/CCR5/P2RY12/CXCR6/PDE4B/PLXNA4/FGF7/FPR3/CX3CR1/CYSLTR1/SEMA3D/SLIT3/C3AR1/DOCK2/CMKLR1/FGF10/CCR8/CSF1R/SLAMF8/CCR4/FGF2/SPN/NCKAP1L/PDGFRA/RIPOR2/THBS1/TNFSF18/FLRT2/CTSG/CXCR2/CXCL12/CXCL9/THBS4/SLAMF1/PROK2/ROBO2/AGTR1/FPR2/SEMA3E/XCR1/GPNMB/SEMA3C/DPEP1/GREM1/S100A12/CCR7/SUCNR1/CCL8/EPHA7/CCL13/SCG2/DSCAM/IL6/CASR/PLA2G1B	66
