category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	57/435	273/7327	0.208791208791209	3.51681192370848	10.6468175035611	1.1348689814025e-17	3.32516611550933e-15	2.73563154464392e-15	P2RX7/GHR/LEPR/CALCRL/EDNRB/GLP2R/P2RY13/P2RY14/PTGFR/F2R/FPR3/PTGER3/CYSLTR1/CALCR/HTR1F/C3AR1/P2RY1/LPAR4/HTR2A/P2RY10/ADCYAP1R1/SPX/VIP/AVPR1A/CTSG/F2RL2/GRIN2A/GRPR/AGTR1/FPR2/CNR1/GLRA3/CHRM2/MTNR1A/CHRNA6/GRIK3/OPRM1/GHRL/HTR7/TACR1/GRIA1/GABRB3/GABRG2/PENK/ADCYAP1/VIPR2/PRLHR/GALR1/LPAR3/NPY5R/CHRNB3/LEP/GLRA1/CHRNB2/GABRA4/BRS3/GPHA2	57
Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	25/435	93/7327	0.268817204301075	4.52787047336547	8.60142297930855	7.73562334044064e-11	1.13326881937455e-08	9.32346181558372e-09	ITPR2/ITPR1/PLCB1/CPA3/RYR2/PRKCB/CD38/ATP1A2/SLC4A4/PNLIP/CPB1/CELA2B/CELA2A/CPA1/PLA2G2D/CPA2/PLA2G1B/CFTR/PNLIPRP1/AMY2A/CEL/PLA2G2A/SLC26A3/CELA3A/CELA3B	25
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	39/435	244/7327	0.159836065573771	2.69222724703222	6.75383469867352	9.16759011538099e-09	8.95367967935544e-07	7.36623907516578e-07	GHR/LEPR/CCR2/LIFR/CCR1/CCR5/CXCR6/CX3CR1/IL2RB/IL5RA/TNFSF8/IL7R/IL33/CCR8/CSF1R/CCR4/CSF2RB/IL1R1/FASLG/TNFSF18/GDF6/CXCR2/GDF10/CXCL12/CXCL9/BMPR1B/XCR1/CD40LG/IL2RA/IL1RL1/BMP3/INHBA/BMP5/CNTFR/CCR7/CCL8/LEP/CCL13/IL6	39
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	29/435	151/7327	0.19205298013245	3.23487858719647	6.97118558172491	1.25418559893231e-08	9.18690951217917e-07	7.55811847777629e-07	ITGA4/NEGR1/ITGA9/JAM3/CD226/ITGA8/PTPRC/NRXN3/CD28/CNTN1/NLGN1/NCAM2/PDCD1LG2/SPN/NLGN4X/SLITRK3/HLA-DOA/NRXN1/CD8A/NRCAM/HLA-DQA1/CD40LG/SELE/ICOS/VCAN/SELP/TIGIT/CADM3/ICAM3	29
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	22/435	94/7327	0.234042553191489	3.94213744191734	7.21228869505747	1.80797462545325e-08	1.0594731305156e-06	8.71634082586934e-07	SLC8A1/CPA3/COL14A1/COL21A1/SLC8A3/COL4A4/COL4A6/COL25A1/ACE2/COL6A3/COL19A1/MEP1B/ATP1A2/SLC8A2/CPB1/CELA2B/CELA2A/CPA1/CPA2/MEP1A/CELA3A/CELA3B	22
Environmental Information Processing	Signaling molecules and interaction	hsa04082	Neuroactive ligand signaling	30/435	164/7327	0.182926829268293	3.0811606391926	6.77150967365368	2.2668342215866e-08	1.10697071154146e-06	9.10710590777775e-07	PLCB1/P2RY13/SLC18A2/P2RY12/P2RY14/GNG2/HTR1F/P2RY1/PRKCB/HTR2A/SLC5A7/GRIN2A/GLRA3/CHRM2/CHRNA6/GRIK3/OPRM1/HTR7/TACR1/GRIA1/SLC1A2/GABRB3/GABRG2/PENK/SLC6A4/CHAT/GLRA1/CHRNB2/GABRA4/SLC17A6	30
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	44/435	321/7327	0.137071651090343	2.30879077595159	6.02411323241976	1.13919762142353e-07	4.7683557582442e-06	3.92295120760885e-06	ANGPT1/ITGA4/ITGA9/KIT/HGF/GHR/TEK/LAMA2/PIK3CG/BCL2/ITGA8/F2R/GNG2/FGF7/IL2RB/TNXB/FGF10/IL7R/CSF1R/FGF2/RELN/LPAR4/FASLG/PDGFRA/TNN/THBS1/COL4A4/COL4A6/IGF1/FLT3/FGF9/THBS4/CHRM2/NTRK2/IL2RA/ERBB4/TNR/THBS2/COL6A3/LPAR3/IGF2/PCK1/IL6/G6PC2	44
Environmental Information Processing	Signal transduction	hsa04020	Calcium signaling pathway	35/435	227/7327	0.154185022026432	2.59704288824751	6.14052897050861	1.38048522381484e-07	5.05602713222184e-06	4.15961995070524e-06	ITPR2/ITPR1/P2RX7/PLCB1/HGF/SLC8A1/PDE1A/EDNRB/PTGFR/F2R/MYLK/FGF7/PTGER3/CYSLTR1/RYR2/NOS1/PRKCB/FGF10/PLN/FGF2/HTR2A/PDGFRA/SLC8A3/CD38/AVPR1A/GRIN2A/FGF9/GRPR/AGTR1/CHRM2/NTRK2/ERBB4/HTR7/TACR1/SLC8A2	35
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	20/435	89/7327	0.224719101123596	3.78509621593698	6.64096770709157	1.67036624233752e-07	5.43797010005436e-06	4.47384642684551e-06	ITGA4/KIT/IL5RA/CR1/CD3G/IL7R/CSF1R/IL1R1/CD36/HLA-DOA/GP5/CD38/CD8A/FLT3/HLA-DQA1/IL2RA/CD1E/CD1C/IL6/MS4A1	20
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	19/435	84/7327	0.226190476190476	3.80987958401752	6.50689143138693	3.06092307336176e-07	8.96850460494995e-06	7.37843561894571e-06	ITGA4/ITGA9/LAMA2/ITGA8/FREM1/TNXB/RELN/CD36/TNN/THBS1/GP5/SV2C/COL4A4/COL4A6/THBS4/TNR/THBS2/COL6A3/SV2B	19
Environmental Information Processing	Signaling molecules and interaction	hsa04517	IgSF CAM signaling	39/435	288/7327	0.135416666666667	2.28091475095785	5.57142693597274	8.58058829587337e-07	2.28555670062809e-05	1.88033944474163e-05	ITGA4/MPDZ/SLIT2/JAM3/CD226/CD84/LRFN5/ANK2/KCNA2/MYLK/CD28/PLXNA4/CNTN1/SLIT3/NLGN1/NCAM2/DCC/PRKCB/CD96/SH2D1A/CD209/PPFIA2/NLGN4X/SLITRK3/NRCAM/CLMP/KCNA1/SLAMF1/ROBO2/KCNA6/TIGIT/CADM3/ICAM3/PAK3/RIMS1/MYH11/PMP2/UNC5D/PAK5	39
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	17/435	93/7327	0.182795698924731	3.07895192188852	5.06876456174164	2.69707349628944e-05	0.000658535445344005	0.000541780553202001	CCR2/CCR1/CCR5/CX3CR1/IL2RB/CCR8/CSF1R/CCR4/CXCR2/CXCL12/CXCL9/XCR1/IL2RA/CCR7/CCL8/CCL13/IL6	17
Environmental Information Processing	Signaling molecules and interaction	hsa04518	Integrin signaling	22/435	149/7327	0.147651006711409	2.48698603718275	4.60684657593202	6.07027394174956e-05	0.00136814635764048	0.00112558116004911	ITGA4/ITGA9/HGF/ARHGEF6/LAMA2/FERMT2/ITGA8/FREM1/FBN1/TNXB/RELN/PDGFRA/TNN/THBS1/COL4A4/COL4A6/IGF1/THBS4/TNR/THBS2/COL6A3/ICAM3	22
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	28/435	217/7327	0.129032258064516	2.17337782721542	4.40796761478954	7.61282139652138e-05	0.00159325476370055	0.00131077902240857	ITGA4/ITGA9/SYNE1/LAMA2/SGCD/ITGA8/SYNPO2/DMD/DAAM2/ANK2/FBN1/FHL1/NID2/THBS1/COL4A4/COL4A6/DCN/THBS4/FBN2/FMN2/VCAN/THBS2/COL6A3/TMOD1/AMPD1/MYH11/ATP1A2/MYH7	28
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	10/435	44/7327	0.227272727272727	3.82810867293626	4.7268598758956	0.000195837350927607	0.00382535625478593	0.00314714058683664	HGF/CR1/CD36/THBS1/THBS4/CD40LG/SELE/SELP/THBS2/IL6	10
Organismal Systems	Environmental adaptation	hsa04713	Circadian entrainment	15/435	90/7327	0.166666666666667	2.80727969348659	4.33383915080157	0.000234870053591296	0.00404805445307352	0.00333035555866296	GUCY1A2/ITPR1/PLCB1/GUCY1A1/GNG2/RYR2/NOS1/PRKCB/ADCYAP1R1/GRIN2A/MTNR1A/KCNJ5/GRIA1/KCNJ3/ADCYAP1	15
Human Diseases	Cardiovascular disease	hsa05410	Hypertrophic cardiomyopathy	15/435	90/7327	0.166666666666667	2.80727969348659	4.33383915080157	0.000234870053591296	0.00404805445307352	0.00333035555866296	ITGA4/ITGA9/SLC8A1/LAMA2/SGCD/ITGA8/CACNA2D1/DMD/RYR2/NOS1/SLC8A3/IGF1/SLC8A2/IL6/MYH7	15
Human Diseases	Substance dependence	hsa05033	Nicotine addiction	8/435	31/7327	0.258064516129032	4.34675565443085	4.6910265540451	0.000339459045530038	0.0055256389077945	0.00454597201323852	GRIN2A/CHRNA6/GRIA1/GABRB3/GABRG2/CHRNB2/GABRA4/SLC17A6	8
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	15/435	94/7327	0.159574468085106	2.68782098312546	4.13748590478614	0.000383101851894294	0.00590783382131727	0.00486040576641515	ITGA4/ITGA9/SLC8A1/LAMA2/SGCD/ITGA8/CACNA2D1/DMD/RYR2/NOS1/PLN/SLC8A3/IGF1/SLC8A2/MYH7	15
Organismal Systems	Digestive system	hsa04975	Fat digestion and absorption	9/435	40/7327	0.225	3.7898275862069	4.44465879049842	0.000442391530086893	0.00648103591577298	0.00533198212578413	CD36/PNLIP/MTTP/PLA2G2D/PLA2G1B/PNLIPRP1/CLPS/CEL/PLA2G2A	9
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	13/435	80/7327	0.1625	2.73709770114943	3.92460144699935	0.000776686725012594	0.0108366290680329	0.00891535137984381	ITGA4/ITGA9/SLC8A1/LAMA2/SGCD/ITGA8/CACNA2D1/DMD/RYR2/NOS1/SLC8A3/CTNNA3/SLC8A2	13
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	23/435	195/7327	0.117948717948718	1.98669024462128	3.50830969860554	0.00118025810671768	0.0157188920576491	0.012932014662122	ITGA4/ITGA9/HGF/ARHGAP5/LAMA2/BCL2/ITGA8/MYLK/TNXB/PRKCB/RELN/PDGFRA/TNN/THBS1/COL4A4/COL4A6/IGF1/THBS4/TNR/THBS2/COL6A3/PAK3/PAK5	23
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	8/435	42/7327	0.19047619047619	3.20831964969896	3.60559759378484	0.00285875302722042	0.0350886193231828	0.0288675905335328	ITGA4/CD28/HLA-DOA/CXCL12/HLA-DQA1/CD40LG/ICOS/IL6	8
Environmental Information Processing	Signal transduction	hsa04014	Ras signaling pathway	24/435	221/7327	0.108597285067873	1.82917771883289	3.14439147384551	0.00287415311862248	0.0350886193231828	0.0288675905335328	ANGPT1/KIT/HGF/TEK/GNG2/FGF7/PRKCB/FGF10/CSF1R/FGF2/FASLG/PDGFRA/IGF1/GRIN2A/FLT3/FGF9/NTRK2/HTR7/PAK3/IGF2/PAK5/PLA2G2D/PLA2G1B/PLA2G2A	24
Environmental Information Processing	Signaling molecules and interaction	hsa04081	Hormone signaling	20/435	175/7327	0.114285714285714	1.92499178981938	3.11134808322059	0.00350767611499018	0.0411099640676849	0.0338213823298001	PLCB1/GHR/LEPR/GNG2/CALCR/NOS1/ESR1/VIP/AVPR1A/IGF1/BMPR1B/AGTR1/OPRM1/GHRL/PENK/VIPR2/PRLHR/IGF2/LEP/ADIPOQ	20
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	22/435	202/7327	0.108910891089109	1.83445999772391	3.02130259690298	0.00408883554101303	0.0460780312891084	0.0379086372021047	PDE3A/PDE4B/F2R/PTGER3/HTR1F/RYR2/PLN/ADCYAP1R1/VIP/GRIN2A/CHRM2/KCNK2/GHRL/GRIA1/CNGA3/ADCYAP1/VIPR2/GPR119/SUCNR1/ATP1A2/CFTR/GPHA2	22
