ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006935	chemotaxis	38/458	427/15041	0.0889929742388759	2.92258368018981	7.14246065547064	3.16785635475208e-09	4.53722062658665e-06	3.95766189807366e-06	ANGPT1/CXCL11/HGF/FPR3/KIT/CCR1/C3AR1/CXCL10/CXCL9/CCR2/SEMA3C/GPNMB/CCR8/SLAMF8/CCR5/FPR2/CXCR2/CXCR6/MET/CCL28/FPR1/ACKR4/TNFRSF11A/TNFSF18/ANOS1/PLA2G7/FLRT2/CXCL5/FGF7/FLRT3/GREM1/CCR4/XCR1/CXCL8/S100A14/CCL18/CXCL6/CASR	38
GO:0042330	taxis	38/458	427/15041	0.0889929742388759	2.92258368018981	7.14246065547064	3.16785635475208e-09	4.53722062658665e-06	3.95766189807366e-06	ANGPT1/CXCL11/HGF/FPR3/KIT/CCR1/C3AR1/CXCL10/CXCL9/CCR2/SEMA3C/GPNMB/CCR8/SLAMF8/CCR5/FPR2/CXCR2/CXCR6/MET/CCL28/FPR1/ACKR4/TNFRSF11A/TNFSF18/ANOS1/PLA2G7/FLRT2/CXCL5/FGF7/FLRT3/GREM1/CCR4/XCR1/CXCL8/S100A14/CCL18/CXCL6/CASR	38
GO:0019730	antimicrobial humoral response	20/458	134/15041	0.149253731343284	4.90158378413609	8.03954425585282	4.06185050304088e-09	4.53722062658665e-06	3.95766189807366e-06	CXCL11/CXCL10/CXCL9/CCL28/LYZ/CXCL5/RNASE7/MMP7/VIP/REG1A/DMBT1/REG3A/JCHAIN/CXCL8/REG3G/LGALS4/PRSS2/CCL18/CXCL6/REG1B	20
GO:0006805	xenobiotic metabolic process	18/458	109/15041	0.165137614678899	5.42322022354874	8.21345798998457	4.71372814479046e-09	4.53722062658665e-06	3.95766189807366e-06	UGT1A1/UGT2A3/SLC28A3/CYP2S1/CYP2B6/SULT1B1/UGT1A6/UGT1A10/FMO1/NOS1/CYP2C18/SLC28A2/UGT2B7/CYP3A4/GSTA2/NR1I2/AADAC/UGT2B15	18
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	17/458	98/15041	0.173469387755102	5.69684074503164	8.2667193478732	5.84542724373441e-09	4.53722062658665e-06	3.95766189807366e-06	CXCL11/CXCL10/CXCL9/CCL28/CXCL5/RNASE7/MMP7/VIP/REG1A/DMBT1/REG3A/CXCL8/REG3G/LGALS4/CCL18/CXCL6/REG1B	17
GO:0006959	humoral immune response	26/458	230/15041	0.11304347826087	3.71241693563699	7.34617709321376	8.63402447517968e-09	5.58477483136206e-06	4.87140749336454e-06	NOTCH2/CXCL11/CXCL10/CXCL9/CCR2/C1QB/CCL28/VSIG4/LYZ/CXCL5/RNASE7/PTPRC/MMP7/VIP/REG1A/DMBT1/REG3A/CR1/JCHAIN/CXCL8/REG3G/LGALS4/PRSS2/CCL18/CXCL6/REG1B	26
GO:0007204	positive regulation of cytosolic calcium ion concentration	20/458	146/15041	0.136986301369863	4.49871388407011	7.52831567989994	1.83239321114587e-08	1.01593115035102e-05	8.86161889781222e-06	PRKG1/P2RX7/F2R/FPR3/CCR1/C3AR1/CCR2/CCR8/CCR5/FPR2/CXCR2/CXCR6/CCL28/FPR1/P2RY1/ACKR4/LPAR3/NOS1/CCR4/XCR1	20
GO:0090025	regulation of monocyte chemotaxis	9/458	27/15041	0.333333333333333	10.9468704512373	9.16755147663866	5.98763176395475e-08	2.90474985948855e-05	2.53371365169454e-05	CCR1/CXCL10/CCR2/SLAMF8/FPR2/TNFSF18/PLA2G7/GREM1/S100A14	9
GO:0060326	cell chemotaxis	28/458	292/15041	0.0958904109589041	3.14909971884908	6.57203586026824	8.43372601805349e-08	3.6368100751184e-05	3.17226466363275e-05	CXCL11/HGF/KIT/CCR1/C3AR1/CXCL10/CXCL9/CCR2/CCR8/SLAMF8/CCR5/FPR2/CXCR2/CXCR6/MET/CCL28/ACKR4/TNFRSF11A/TNFSF18/PLA2G7/CXCL5/GREM1/CCR4/XCR1/CXCL8/S100A14/CCL18/CXCL6	28
GO:0070098	chemokine-mediated signaling pathway	14/458	82/15041	0.170731707317073	5.60693364575567	7.41311643434314	1.60001660173577e-07	6.20966443133651e-05	5.41647725387603e-05	CXCL11/CCR1/CXCL10/CXCL9/CCR2/CCR8/CCR5/CXCR2/CXCR6/ACKR4/CCR4/XCR1/CCL18/CXCL6	14
