category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	17/252	93/7327	0.182795698924731	5.31485748421232	7.9029490753231	1.27831259398141e-08	2.05550978437135e-06	1.83634589398101e-06	CXCL11/CCR1/CXCL10/CXCL9/CCR2/CCR8/CCR5/CXCR2/CCL28/ACKR4/IL2RA/CXCL5/CCR4/XCR1/CXCL8/CCL18/CXCL6	17
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	28/252	244/7327	0.114754098360656	3.33652094717669	7.00529577459558	1.51698139067997e-08	2.05550978437135e-06	1.83634589398101e-06	TNFSF13B/CXCL11/TNFSF15/BMPR1B/CCR1/CXCL10/CXCL9/CCR2/CCR8/IL1RAP/CCR5/CXCR2/CXCR6/CCL28/ACKR4/TNFRSF11A/IL2RA/TNFSF18/TNFRSF11B/INHBA/CXCL5/IL7R/CCR4/IL31RA/XCR1/CXCL8/CCL18/CXCL6	28
Metabolism	Metabolism of cofactors and vitamins	hsa00830	Retinol metabolism	12/252	49/7327	0.244897959183673	7.12050534499514	8.11240831251862	6.27438991433409e-08	5.66786555594846e-06	5.06354273788366e-06	UGT1A1/UGT2A3/ALDH1A3/CYP2S1/CYP2B6/UGT1A6/UGT1A10/CYP2C18/UGT2B7/CYP3A4/ALDH1A2/UGT2B15	12
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	15/252	94/7327	0.159574468085106	4.63969098277609	6.7025445982811	6.00685970918867e-07	4.06964745297532e-05	3.63573087661419e-05	CPA3/KCNE3/KCNK5/COL5A2/ACE2/COL8A1/SLC1A1/COL6A3/COL12A1/CPB1/COL10A1/CPA1/PRSS2/CPA2/CTRB2	15
Organismal Systems	Digestive system	hsa04976	Bile secretion	12/252	69/7327	0.173913043478261	5.05659075224293	6.3892188629014	3.24824961790036e-06	0.000176055129290199	0.000157283665708859	UGT1A1/SLC4A4/UGT2A3/CA2/AQP9/SLC5A1/UGT1A6/UGT1A10/UGT2B7/CYP3A4/CFTR/UGT2B15	12
Metabolism	Xenobiotics biodegradation and metabolism	hsa00982	Drug metabolism - cytochrome P450	10/252	54/7327	0.185185185185185	5.38433274544386	6.10258867496783	1.22010017188151e-05	0.000514495447842423	0.000459638582263575	UGT1A1/UGT2A3/CYP2B6/UGT1A6/UGT1A10/FMO1/UGT2B7/CYP3A4/GSTA2/UGT2B15	10
Metabolism	Carbohydrate metabolism	hsa00040	Pentose and glucuronate interconversions	7/252	25/7327	0.28	8.14111111111111	6.74971422899241	1.48020732021076e-05	0.000514495447842423	0.000459638582263575	UGT1A1/UGT2A3/UGT1A6/UGT1A10/UGT2B7/AKR1B10/UGT2B15	7
Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	13/252	93/7327	0.139784946236559	4.06430278204472	5.61247478658988	1.54179328480234e-05	0.000514495447842423	0.000459638582263575	RAB27B/CPA3/SLC4A4/CA2/CPB1/PNLIP/CPA1/CFTR/PRSS2/CLCA1/CPA2/PLA2G10/CTRB2	13
Metabolism	Xenobiotics biodegradation and metabolism	hsa00980	Metabolism of xenobiotics by cytochrome P450	10/252	56/7327	0.178571428571429	5.19203514739229	5.94281706662569	1.70865646884938e-05	0.000514495447842423	0.000459638582263575	UGT1A1/UGT2A3/CYP2S1/CYP2B6/UGT1A6/UGT1A10/UGT2B7/CYP3A4/GSTA2/UGT2B15	10
Human Diseases	Cancer: overview	hsa05204	Chemical carcinogenesis - DNA adducts	9/252	47/7327	0.191489361702128	5.56762917933131	5.92849671363741	2.53085410353371e-05	0.000685861462057636	0.000612733098750267	UGT1A1/UGT2A3/UGT1A6/UGT1A10/CYP2C18/UGT2B7/CYP3A4/GSTA2/UGT2B15	9
Metabolism	Carbohydrate metabolism	hsa00053	Ascorbate and aldarate metabolism	6/252	21/7327	0.285714285714286	8.30725623582766	6.32841068948157	5.47673778114041e-05	0.00134926903517186	0.00120540640159071	UGT1A1/UGT2A3/UGT1A6/UGT1A10/UGT2B7/UGT2B15	6
Metabolism	Xenobiotics biodegradation and metabolism	hsa00983	Drug metabolism - other enzymes	10/252	65/7327	0.153846153846154	4.47313797313797	5.30788002461982	6.54175877158062e-05	0.00147734718924862	0.00131982852409083	DPYD/UGT1A1/UGT2A3/UGT1A6/UGT1A10/XDH/UGT2B7/CYP3A4/GSTA2/UGT2B15	10
Metabolism	Lipid metabolism	hsa00140	Steroid hormone biosynthesis	8/252	42/7327	0.19047619047619	5.53817082388511	5.56623082419617	7.49242941904147e-05	0.00156188336350788	0.00139535122783768	UGT1A1/UGT2A3/HSD17B2/UGT1A6/UGT1A10/UGT2B7/CYP3A4/UGT2B15	8
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	24/252	321/7327	0.0747663551401869	2.17386144488948	4.05886674828045	0.00026131520472892	0.00505831574868123	0.00451898474343245	KITLG/ANGPT1/F2R/HGF/KIT/LAMA2/FGFR2/PIK3AP1/PDGFC/MET/TGFA/LAMA3/IL2RA/THBS2/FGF7/ITGB6/COL6A3/LPAR3/IL7R/LAMC2/EREG/CREB3L3/LAMB3/SPP1	24
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	16/252	180/7327	0.0888888888888889	2.58447971781305	4.06192173634273	0.000445251009033168	0.00804420156319923	0.00718650751421955	CXCL11/CCR1/CXCL10/CXCL9/CCR2/CCR8/CCR5/CXCR2/CXCR6/CCL28/CXCL5/CCR4/XCR1/CXCL8/CCL18/CXCL6	16
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	10/252	84/7327	0.119047619047619	3.46135676492819	4.28179108499658	0.000568713521352951	0.0092463116130017	0.00826044541072205	LAMA2/FRAS1/LAMA3/THBS2/FREM2/ITGB6/COL6A3/LAMC2/LAMB3/SPP1	10
Environmental Information Processing	Signaling molecules and interaction	hsa04518	Integrin signaling	14/252	149/7327	0.0939597315436242	2.73191648023863	4.03077779547441	0.000580026927752874	0.0092463116130017	0.00826044541072205	HGF/LAMA2/FRAS1/PDGFC/FBN1/MET/LAMA3/THBS2/FREM2/ITGB6/COL6A3/LAMC2/LAMB3/SPP1	14
Metabolism	Metabolism of cofactors and vitamins	hsa00860	Porphyrin metabolism	6/252	35/7327	0.171428571428571	4.9843537414966	4.45901657719475	0.00109339367866649	0.0155703228424702	0.0139101738347957	UGT1A1/UGT2A3/UGT1A6/UGT1A10/UGT2B7/UGT2B15	6
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	20/252	273/7327	0.0732600732600733	2.13006570149427	3.59118513902592	0.00110274491773856	0.0155703228424702	0.0139101738347957	F2RL2/P2RX7/F2R/FPR3/C3AR1/ADORA3/LYPD6/FPR2/FPR1/P2RY1/HTR2B/MTNR1A/GRIN2A/GABRP/LPAR3/VIP/CHRNA6/HTR1D/PRSS2/GHSR	20
Human Diseases	Endocrine and metabolic disease	hsa04950	Maturity onset diabetes of the young	5/252	24/7327	0.208333333333333	6.05737433862434	4.68328488278092	0.00114910131678747	0.0155703228424702	0.0139101738347957	HNF4G/NR5A2/HNF1B/SLC2A2/ONECUT1	5
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	8/252	65/7327	0.123076923076923	3.57851037851038	3.94065074213118	0.00161985420811107	0.0209038328761	0.0186750109205788	FPR3/C3AR1/FCGR3A/FPR2/C1QB/FPR1/FCAR/FCGR3B	8
Organismal Systems	Digestive system	hsa04973	Carbohydrate digestion and absorption	6/252	39/7327	0.153846153846154	4.47313797313797	4.10412579048588	0.00195924713406365	0.0241343624241476	0.0215610928629014	MGAM2/HKDC1/MGAM/SLC5A1/SLC2A2/GNAT3	6
Human Diseases	Cancer: overview	hsa05207	Chemical carcinogenesis - receptor activation	14/252	171/7327	0.0818713450292398	2.38044184535413	3.44708117190328	0.00221321316831869	0.0260774247223637	0.0232969807191441	NOTCH2/KLF5/UGT1A1/UGT2A3/FGF7/KPNA7/CYP2B6/UGT1A6/UGT1A10/UGT2B7/CREB3L3/CYP3A4/GSTA2/UGT2B15	14
Organismal Systems	Immune system	hsa04620	Toll-like receptor signaling pathway	9/252	89/7327	0.101123595505618	2.94020866773676	3.47539890402455	0.00336199736480452	0.0379625535775844	0.0339148856975895	TLR3/TLR8/TLR1/CXCL11/TLR7/CXCL10/CXCL9/CXCL8/SPP1	9
Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	4/252	20/7327	0.2	5.81507936507937	4.06929710492613	0.00428422960720657	0.0464410489421192	0.0414893814592636	CPA3/ANPEP/ACE2/KLK1	4
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	8/252	77/7327	0.103896103896104	3.02082044939188	3.36414412047237	0.00474268296173622	0.0494333493319429	0.0441626348663696	F2RL2/F2R/F13A1/C3AR1/C1QB/VSIG4/CR1/F11	8
