ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0050804	modulation of chemical synaptic transmission	61/403	482/15041	0.12655601659751	4.72339713559095	13.7858223027195	1.30289831695889e-24	2.60346458778476e-21	2.27505063822266e-21	LRRTM2/CLSTN2/ADCY1/SERPINE2/GNAO1/DLGAP3/CYP46A1/KCNB1/UNC13A/ARC/RGS4/DCC/PHF24/TNR/MAPT/CACNA1A/NLGN4X/NRXN1/SLC8A3/NPAS4/SLC4A8/LRRC4/MPP2/BSN/CELF4/GRM1/ADIPOQ/GRIA3/SLC7A10/RELN/GRM7/GRIK5/NTRK2/GLRA3/EFNB3/ADRA1A/NPY5R/SYP/PENK/SHISA7/FRRS1L/CACNG5/HCN1/CACNA2D2/CBLN4/NXPH4/RIMS4/TACR1/SYT5/CHRNB2/SYT4/SORCS3/INA/SLC4A10/CBLN1/CAMK2B/SLC6A4/VGF/CNR2/IGF1/SLC8A2	61
GO:0099177	regulation of trans-synaptic signaling	61/403	483/15041	0.126293995859213	4.71361784545515	13.7643430397103	1.45689120749008e-24	2.60346458778476e-21	2.27505063822266e-21	LRRTM2/CLSTN2/ADCY1/SERPINE2/GNAO1/DLGAP3/CYP46A1/KCNB1/UNC13A/ARC/RGS4/DCC/PHF24/TNR/MAPT/CACNA1A/NLGN4X/NRXN1/SLC8A3/NPAS4/SLC4A8/LRRC4/MPP2/BSN/CELF4/GRM1/ADIPOQ/GRIA3/SLC7A10/RELN/GRM7/GRIK5/NTRK2/GLRA3/EFNB3/ADRA1A/NPY5R/SYP/PENK/SHISA7/FRRS1L/CACNG5/HCN1/CACNA2D2/CBLN4/NXPH4/RIMS4/TACR1/SYT5/CHRNB2/SYT4/SORCS3/INA/SLC4A10/CBLN1/CAMK2B/SLC6A4/VGF/CNR2/IGF1/SLC8A2	61
GO:0042391	regulation of membrane potential	50/403	418/15041	0.119617224880383	4.46442352214848	11.9189074997029	3.4446181556028e-19	4.1036884293748e-16	3.58602879567491e-16	ANK2/KCNJ8/KCNN2/AKAP6/ATP1A3/KCNB1/RGS4/SCN3A/KCNH3/ATP1B2/MAPT/CD36/KCNA5/NLGN4X/NRXN1/SLC8A3/NPAS4/SLC4A8/KCNA1/KCNA6/MPP2/CELF4/GRM1/GRIA3/KCNA2/RELN/SCN3B/SCN4A/KCNA3/GRIK5/NTRK2/GLRA3/CACNA1G/NRCAM/ADRA1A/KCNC1/HCN1/KCNH6/RIMS4/CACNA1I/KCNK3/TACR1/CHRNB2/SEZ6/CBLN1/KCNC2/GABRG2/SLC6A4/CNR2/SLC8A2	50
GO:0001508	action potential	28/403	159/15041	0.176100628930818	6.57252992493406	11.7207631843685	1.75435237849788e-15	1.56751385018785e-12	1.369779870264e-12	ANK2/KCNJ8/KCNN2/AKAP6/KCNB1/SCN3A/CD36/KCNA5/KCNA1/KCNA6/KCNA2/SCN3B/SCN4A/KCNA3/NTRK2/CACNA1G/NRCAM/ADRA1A/KCNC1/HCN1/KCNH6/CACNA1I/KCNK3/TACR1/CHRNB2/KCNC2/CNR2/SLC8A2	28
GO:0050806	positive regulation of synaptic transmission	22/403	158/15041	0.139240506329114	5.19681502654145	8.79910906085067	2.35283772084954e-10	1.44162160431343e-07	1.25976829735162e-07	LRRTM2/CLSTN2/ADCY1/SERPINE2/CYP46A1/ARC/TNR/NRXN1/SLC8A3/SLC4A8/MPP2/GRIA3/SLC7A10/RELN/NTRK2/ADRA1A/SHISA7/CACNG5/TACR1/SORCS3/CAMK2B/SLC8A2	22
GO:0007218	neuropeptide signaling pathway	16/403	79/15041	0.20253164556962	7.55900367496938	9.69822296525098	2.42018176437621e-10	1.44162160431343e-07	1.25976829735162e-07	SSTR2/PNOC/TENM1/SSTR3/CPE/GALR1/NPY1R/SORCS1/NPY5R/PENK/NXPH4/SCG5/SORCS3/BRS3/PCSK1N/SSTR5	16
GO:0007416	synapse assembly	28/403	266/15041	0.105263157894737	3.92869269949066	7.99625155071318	6.59429302715438e-10	3.36685761129282e-07	2.94214547542362e-07	KCNJ8/CYFIP2/LRRTM2/LRRC4B/CLSTN2/LINGO4/MAPT/NLGN4X/NRXN1/ADGRB3/NPAS4/LRRC4/BSN/CASKIN1/LRRN3/RELN/NTRK2/ADD2/NRCAM/SLC12A5/MUSK/CBLN4/DSCAM/SLITRK2/CHRNB2/CBLN1/GABRG2/LINGO2	28
GO:0048167	regulation of synaptic plasticity	24/403	204/15041	0.117647058823529	4.39089184060721	8.09080142812863	1.21204166308461e-09	5.41479612983049e-07	4.73174686101583e-07	LRRTM2/ADCY1/SERPINE2/CYP46A1/KCNB1/ARC/TNR/MAPT/SLC8A3/NPAS4/MPP2/GRIA3/RELN/NTRK2/SYP/PENK/SHISA7/SYT4/SORCS3/SLC4A10/CBLN1/CAMK2B/VGF/SLC8A2	24
GO:0071805	potassium ion transmembrane transport	22/403	174/15041	0.126436781609195	4.71894697812384	8.18688160346837	1.53571129194708e-09	6.09848017490987e-07	5.32918760609006e-07	ANK2/KCNJ8/KCNN2/AKAP6/ATP1A3/KCNB1/RGS4/KCNH3/ATP1B2/KCNA5/KCNA1/KCNA6/KCNA2/KCNA3/KCNC1/SLC12A5/HCN1/KCNH6/KCNK3/KCNJ6/DPP6/KCNC2	22
GO:0060078	regulation of postsynaptic membrane potential	19/403	133/15041	0.142857142857143	5.33179723502304	8.3256819812385	2.60241057062457e-09	9.3010153794122e-07	8.12773911899273e-07	RGS4/NLGN4X/NRXN1/SLC8A3/NPAS4/MPP2/CELF4/GRM1/GRIA3/KCNA2/RELN/GRIK5/GLRA3/HCN1/CHRNB2/SEZ6/CBLN1/GABRG2/SLC8A2	19
