ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	199	0.572798362090973	2.94660745984875	3.92364142003547e-26	1.96182071001774e-24	7.0212530674319e-25	5804	tags=58%, list=25%, signal=44%	CBX3/HDGF/SSBP1/SNRPG/PPIA/EXOSC7/AIMP2/LDHA/TARDBP/PSMA7/BUB3/PSMA4/CDC20/PSMC4/CDC45/RRP9/VDAC1/SNRPA1/SNRPA/COPS5/PSMB2/SNRPD1/PSMD14/PSMD1/SRSF3/HSPE1/PSMB3/RANBP1/EIF3B/NCBP2/CDK2/KARS1/SRPK1/ILF2/PSMA1/SRSF2/MRPL23/MRPL9/HNRNPD/PPM1G/RFC4/GNL3/CCT3/CSTF2/CLNS1A/SRSF1/CCT5/HNRNPA2B1/RUVBL2/ORC2/PGK1/COX5A/SSB/HDAC2/NDUFAB1/UBE2L3/PCNA/SNRPD2/MCM4/HPRT1/GSPT1/SRSF7/RNPS1/H2AZ1/RRM1/PA2G4/PABPC1/NOLC1/SF3B3/MCM7/TUFM/PRPS2/EIF2S2/PSMD8/HNRNPA3/MAD2L1/KPNA2/FBL/CCNA2/SMARCC1/NOP16/PSMD3/PSMC6/PSMA6/TRIM28/DHX15/CYC1/DDX18/NME1/MCM6/SERBP1/IMPDH2/APEX1/EIF2S1/PSMD7/CNBP/MCM5/TCP1/RPS10/EIF3D/XPO1/HNRNPC/CTPS1/PRPF31/RPL14/HNRNPU/TYMS/ERH/POLE3/TFDP1/LSM7/FAM120A/CCT7/AP3S1/HSPD1
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	199	0.550103373327032	2.82985918049109	5.39510542994031e-23	1.34877635748508e-21	4.82719959520975e-22	4410	tags=54%, list=19%, signal=44%	JPT1/UBE2T/CKS1B/TK1/CDK1/PLK1/MELK/CKS2/POLD3/KIF4A/ORC6/DCTPP1/SPC24/KIF18B/TBRG4/ASF1B/HELLS/CDC20/MKI67/CDCA8/BIRC5/H2AX/CCNB2/HMGA1/KIF2C/GINS1/E2F8/EED/CHEK1/EZH2/DLGAP5/BARD1/MYBL2/AURKB/RRM2/TOP2A/RANBP1/CCNE1/DEPDC1/DIAPH3/CHEK2/SPAG5/AK2/TUBG1/MXD3/SRSF2/RAD51AP1/POLA2/POP7/HNRNPD/ZW10/ESPL1/KIF22/SNRPB/CDCA3/PTTG1/TACC3/AURKA/SRSF1/BUB1B/ORC2/DDX39A/DONSON/POLE4/TUBB/CENPM/PCNA/CIT/MCM4/PHF5A/HMMR/DSCC1/GSPT1/H2AZ1/PA2G4/POLD1/RACGAP1/NOLC1/RPA3/TCF19/MCM7/MCM3/MAD2L1/TRIP13/KPNA2/CNOT9/PRIM2/SHMT1/CDKN3/RBBP7/LBR/CENPE/LMNB1/NUDT21/TFRC/CDC25A/NASP/NME1/MCM6/DCLRE1B/EIF2S1/WDR90/SSRP1/MCM5/BRCA2/IPO7/GINS4
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	0.677234876302896	3.12451612165739	5.59189565667413e-22	9.31982609445688e-21	3.33551670748983e-21	5768	tags=77%, list=25%, signal=58%	PARP12/NMI/LY6E/PLSCR1/IFI35/IFI27/OASL/PSMB8/RTP4/MOV10/TRIM21/IFIT3/OAS1/LGALS3BP/ISG15/GBP2/HELZ2/IFIT2/IFITM3/PSMB9/PSME1/PSME2/MX1/IFI44/IL4R/PSMA3/BATF2/RIPK2/BST2/IRF7/TAP1/CCRL2/UBE2L6/CXCL11/IRF1/TRIM5/DDX60/CMPK2/OGFR/IFIH1/MVB12A/SAMD9L/CASP8/IFI44L/IFITM1/RSAD2/PARP14/CD47/HLA-C/CXCL10/B2M/EIF2AK2/DHX58/UBA7/LPAR6/SP110/SAMD9/SLC25A28/USP18/PARP9/IFITM2/GMPR/PNPT1/CASP1/EPSTI1/NUB1/TRIM14/IRF9/LAP3/PROCR/ADAR/TRIM26/IL7/IRF2/IL15
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	197	0.540169619303759	2.76820170953461	2.29273977676284e-21	2.86592472095354e-20	1.02569937381495e-20	5894	tags=56%, list=25%, signal=42%	JPT1/CKS1B/CHMP1A/CDK1/PML/UBE2C/PLK1/TTK/DTYMK/CKS2/KIF4A/ORC6/NEK2/KIF11/BUB3/CCNF/TPX2/CDC20/MKI67/STIL/CDC45/EXO1/BIRC5/H2AX/CCNB2/KIF15/KIF23/HMGA1/CENPA/KIF2C/CENPF/RAD54L/SNRPD1/CHEK1/EZH2/BARD1/MYBL2/AURKB/TOP2A/E2F1/CDC6/KNL1/TROAP/SRSF2/SMAD3/POLQ/POLA2/BCL3/HNRNPD/EFNA5/TRAIP/ESPL1/KIF22/BUB1/PTTG1/TACC3/GINS2/AURKA/SRSF1/UCK2/DDX39A/PBK/CHAF1A/NDC80/HMMR/GSPT1/H2AZ1/E2F4/RACGAP1/NOLC1/SQLE/MCM3/MAD2L1/KPNA2/PRIM2/CCNA2/SMARCC1/CDKN3/CCND1/LBR/CENPE/LMNB1/DKC1/INCENP/CDC25A/NCL/NASP/MCM6/KIF20B/SLC12A2/MCM5/BRCA2/KIF5B/XPO1/TOP1/H2BC12/UBE2S/E2F2/RASAL2/HNRNPU/SAP30/NUP98/E2F3/MAP3K20/TFDP1/PLK4/MEIS1/NSD2/KATNA1/TLE3
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	198	0.487660060191763	2.50120357114253	1.25833518390132e-15	1.25833518390132e-14	4.50351539501524e-15	5768	tags=52%, list=25%, signal=39%	MVP/PARP12/VAMP8/NMI/LY6E/PLSCR1/IFI35/IFI27/MYD88/PML/OASL/PSMB8/RTP4/PSMB10/TRIM21/IFIT3/LGALS3BP/IL15RA/ISG15/SRI/CASP7/HELZ2/IFIT2/SECTM1/MX2/IFITM3/PSMB9/PSME1/NUP93/OAS3/PSME2/ZNFX1/STAT1/TNFSF10/PSMB2/MX1/IFI44/CASP4/IL4R/PSMA3/BATF2/OAS2/RIPK2/BST2/IRF7/PNP/TAP1/TAPBP/UBE2L6/CXCL11/IRF1/DDX60/CMPK2/GBP6/OGFR/IFIH1/SAMD9L/CASP8/PFKP/CASP3/IFI44L/IFNAR2/ZBP1/RSAD2/PARP14/CFB/APOL6/CXCL10/TNFAIP2/IFIT1/B2M/EIF2AK2/DHX58/PLA2G4A/SP110/HLA-B/SLC25A28/USP18/XAF1/RNF213/UPP1/IFITM2/PNPT1/CASP1/EPSTI1/FAS/PELI1/TRIM14/IRF9/LAP3/VAMP5/TOR1B/ADAR/CDKN1A/ARL4A/TRIM26/HLA-A/CCL7/IL7/SPPL2A/IRF2/IL15
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	199	0.462381600940187	2.37859806311872	1.22119234441739e-13	1.01766028701449e-12	3.64215260615712e-13	5101	tags=45%, list=22%, signal=35%	DHCR24/PPIA/PLK1/PSMD13/PPA1/PRDX1/NFKBIB/LDHA/PFKL/SLC1A5/CCNF/PSMA4/PSMC4/RRP9/EBP/COPS5/RIT1/PSMG1/IDH1/HK2/PSMD14/PSMA3/LDLR/SYTL2/RRM2/SLC2A1/HSPE1/CYB5B/PNP/RPN1/TUBG1/SORD/PSMC2/ERO1A/RAB1A/ELOVL6/PDAP1/BUB1/AK4/FKBP2/AURKA/ALDOA/PGK1/CCT6A/DDX39A/TOMM40/ACTR3/PITPNB/ENO1/GAPDH/EGLN3/MCM4/HPRT1/TES/CD9/GMPS/G6PD/TUBA4A/GTF2H1/STIP1/DHCR7/EIF2S2/SQLE/HMBS/BHLHE40/YKT6/CALR/TPI1/PSME3/HMGCS1/CACYBP/TFRC/PSMC6/CDC25A/PHGDH/ARPC5L/SKAP2/P4HA1/DAPP1/UCHL5/ACSL3/UNG/IMMT/TMEM97/SQSTM1/SERPINH1/MAP2K3/DHFR/CTSC
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	195	0.463570046966741	2.37558210761602	2.92697049372141e-13	2.09069320980101e-12	7.48248096139307e-13	4190	tags=42%, list=18%, signal=35%	GALE/GFUS/TXN/TALDO1/SLC16A3/SOX9/BPNT1/CDK1/PPIA/TPBG/CASP6/LDHA/CAPN5/SDC1/NSDHL/PSMC4/MET/ELF3/EXT1/B4GALT4/CENPA/TGFA/ALDH7A1/IDH1/HK2/SDHC/CHST6/SRD5A3/GPC4/KIF20A/AGRN/KDELR3/DEPDC1/RPE/BIK/SOD1/NOL3/SLC25A13/QSOX1/ECD/B3GNT3/ERO1A/PGM2/DSC2/B4GALT2/AK4/AURKA/ALDOA/PGK1/PYGB/ENO1/SLC25A10/SLC35A3/ADORA2B/EGLN3/PFKP/RARS1/IER3/HMMR/AKR1A1/G6PD/GALK1/GPC1/POLR3K/EGFR/EFNA3/MIOX/PKM/PGLS/TPI1/GMPPA/FAM162A/PPFIA4/ANG/PKP2/GYS1/NASP/PMM2/CLN6/CHST4/P4HA1/GALK2
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	0.413359390376417	2.12390330276138	5.9812951169648e-10	3.738309448103e-09	1.33792127616318e-09	7713	tags=60%, list=33%, signal=40%	LDHA/MRPS12/ACAA1/TIMM17A/MGST3/NDUFB3/CASP7/NDUFA4/RETSAT/NDUFB4/VDAC1/VDAC2/PDP1/ATP5MC3/IDH1/SDHC/BAX/ATP5F1C/TIMM8B/NDUFS2/POR/UQCRC1/ECH1/MTX2/FH/COX6B1/ALAS1/MRPL15/ETFA/MRPL11/COX5A/FDX1/BDH2/NDUFAB1/GLUD1/ECHS1/TCIRG1/COX5B/ATP5MF/NDUFS3/ATP5PD/COX4I1/HCCS/NDUFS8/SDHB/MRPS22/COX7B/ECI1/COX15/DECR1/UQCRC2/PDHX/COX17/RHOT2/NQO2/IDH3G/CYC1/UQCRH/NDUFB5/ATP5PO/COX7A2/ATP6V1F/TIMM10/MRPS15/GPX4/TOMM22/SUCLG1/ATP6V1E1/PHYH/IMMT/IDH2/COX6C/SDHD/UQCR10/NDUFS6/ATP1B1/TIMM50/ATP6V0E1/OAT/SDHA/COX6A1/PDHA1/ATP5PF/SUPV3L1/POLR2F/NDUFA2/NDUFA1/NDUFS4/NDUFV1/MRPS30/TIMM13/ATP5ME/NDUFA6/ATP6V1H/COX8A/ATP5F1E/COX7A2L/GRPEL1/CYB5A/GOT2/MDH1/CYCS/NDUFB1/MDH2/NDUFA3/VDAC3/CPT1A/NDUFB2/NDUFA8/ATP6V0B/UQCRFS1/ATP6V0C/GPI/HTRA2/ATP6V1D/MRPL35/NDUFB8/DLST/ETFB/ATP5F1D
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	57	0.592964448331636	2.45849421049833	7.34985391362837e-09	4.08325217423798e-08	1.46137446235886e-08	6643	tags=68%, list=29%, signal=49%	CBX3/PLK1/AIMP2/DCTPP1/TBRG4/RRP9/SLC29A2/HK2/HSPE1/NIP7/SLC19A1/SORD/EXOSC5/PPRC1/GNL3/WDR74/IMP4/MCM4/PA2G4/MAP3K6/NOLC1/TFB2M/NOP16/DDX18/MCM5/PRMT3/MPHOSPH10/UNG/TMEM97/PES1/FARSA/RRP12/PUS1/PLK4/HSPD1/MRTO4/SUPV3L1/WDR43/BYSL
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	199	0.391521524498732	2.01407741559864	3.18248607536207e-08	1.44658457971003e-07	5.17725007475169e-08	5663	tags=43%, list=24%, signal=33%	SDC4/PHLDA2/HES1/TRIP10/TNIP2/PLAUR/TGIF1/SAT1/IFNGR2/LAMB3/NFKB2/FUT4/IL15RA/RELA/IL18/RELB/PMEPA1/IFIT2/B4GALT5/NFKBIE/LDLR/MXD1/EFNA1/RIPK2/TAP1/CCRL2/CXCL11/IRF1/F2RL1/SMAD3/TUBB2A/EHD1/BCL3/PTPRE/TNIP1/CEBPB/IFIH1/ZC3H12A/IER2/IER3/CLCF1/NFE2L2/CCL20/DUSP4/TNFSF9/FOSL1/MAFF/PLAU/IER5/LITAF/CXCL10/KYNU/BHLHE40/BIRC3/JAG1/CXCL3/TNFAIP2/CCND1/F3/SPHK1/SERPINB8/KLF4/MCL1/NINJ1/TRIB1/IL1A/KLF6/ETS2/IL23A/FOSL2/PANX1/TANK/EDN1/SQSTM1/MAP2K3/AREG/BIRC2/LIF/PPP1R15A/CFLAR/HBEGF/G0S2/CDKN1A/CSF2/RNF19B
