ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0008544	epidermis development	30/373	320/15041	0.09375	3.78041219839142	8.01693571954419	4.12106924630803e-10	1.48894231869109e-06	1.37209916063919e-06	FOXQ1/PKP3/SFN/OVOL1/LAMB3/EVPL/KRT7/ETV4/KRT86/EPHA2/GRHL2/MET/PLA2G10/COL17A1/NTF4/CDH3/LAMC2/FGFR2/FA2H/CRABP2/KRT15/COL7A1/PKP1/FGF20/SOX21/KRT17/SHH/DKK1/POU2F3/KRT81	30
GO:0043588	skin development	25/373	260/15041	0.0961538461538462	3.87734584450402	7.46310779031693	7.43863549112258e-09	1.34378950147129e-05	1.23833705570635e-05	FOXQ1/PKP3/ITGB4/SFN/DHCR24/OVOL1/EVPL/KRT7/ETV4/KRT86/EPHA2/GRHL2/MET/PLA2G10/CDH3/FGFR2/ITGB6/FA2H/PKP1/SOX21/KRT17/SHH/DKK1/POU2F3/KRT81	25
GO:0044771	meiotic cell cycle phase transition	6/373	15/15041	0.4	16.1297587131367	9.34864832014117	9.25470564086417e-07	0.00111457504934808	0.00102710996287907	PKMYT1/OVOL1/TTK/CDC20/CDC25C/CCNB2	6
GO:0045109	intermediate filament organization	9/373	46/15041	0.195652173913043	7.88955589229514	7.46259361025734	1.57693940365948e-06	0.00142437051635542	0.00131259456151972	KRT7/KRT86/KRT19/EPPK1/KRT15/PKP1/KRT17/SHH/KRT81	9
GO:0045104	intermediate filament cytoskeleton organization	10/373	66/15041	0.151515151515152	6.10975708830937	6.63409506275717	4.77747277831412e-06	0.00330790520857078	0.00304832088065301	EVPL/KRT7/KRT86/KRT19/EPPK1/KRT15/PKP1/KRT17/SHH/KRT81	10
GO:0045103	intermediate filament-based process	10/373	67/15041	0.149253731343284	6.01856668400624	6.56509582569806	5.4933382926722e-06	0.00330790520857078	0.00304832088065301	EVPL/KRT7/KRT86/KRT19/EPPK1/KRT15/PKP1/KRT17/SHH/KRT81	10
GO:0042303	molting cycle	12/373	104/15041	0.115384615384615	4.65281501340483	5.9608136057201	1.00656421748595e-05	0.0045458956472209	0.00418916134198427	FOXQ1/PKP3/PPP1R13L/PLA2G10/CDH3/FGFR2/FA2H/EPS8L3/SOX21/KRT17/SHH/DKK1	12
GO:0042633	hair cycle	12/373	104/15041	0.115384615384615	4.65281501340483	5.9608136057201	1.00656421748595e-05	0.0045458956472209	0.00418916134198427	FOXQ1/PKP3/PPP1R13L/PLA2G10/CDH3/FGFR2/FA2H/EPS8L3/SOX21/KRT17/SHH/DKK1	12
GO:0031424	keratinization	7/373	37/15041	0.189189189189189	7.62893993188899	6.43775287327627	2.95380026969921e-05	0.0118578670826925	0.0109273336293083	SFN/EVPL/KRT7/KRT86/CDH3/KRT17/KRT81	7
GO:0007498	mesoderm development	12/373	121/15041	0.0991735537190083	3.99911373052977	5.28194764448451	4.67239632720653e-05	0.0166475567146764	0.0153411574835088	ITGB4/OVOL1/EPHA2/SECTM1/EYA2/FGFR2/TRIM15/FOXH1/LHX1/HMGA2/SHH/DKK1	12
GO:0098773	skin epidermis development	12/373	122/15041	0.0983606557377049	3.96633410978772	5.2459362361542	5.06845070194964e-05	0.0166475567146764	0.0153411574835088	FOXQ1/PKP3/SFN/MET/PLA2G10/CDH3/FGFR2/FA2H/SOX21/KRT17/SHH/DKK1	12
GO:0030216	keratinocyte differentiation	12/373	126/15041	0.0952380952380952	3.84041874122303	5.10562480222061	6.95736293841616e-05	0.0209474602470813	0.0193036306791318	SFN/EVPL/KRT7/ETV4/KRT86/EPHA2/GRHL2/CDH3/PKP1/KRT17/POU2F3/KRT81	12
GO:0009913	epidermal cell differentiation	15/373	192/15041	0.078125	3.15034349865952	4.78192471376273	9.01897351785152e-05	0.0250328400158791	0.0230684146343542	SFN/OVOL1/EVPL/KRT7/ETV4/KRT86/EPHA2/GRHL2/CDH3/FA2H/PKP1/FGF20/KRT17/POU2F3/KRT81	15
GO:0007088	regulation of mitotic nuclear division	11/373	111/15041	0.0990990990990991	3.99611139289423	5.05222199168758	9.69996568564372e-05	0.0250328400158791	0.0230684146343542	PKMYT1/UBE2C/PLK1/TTK/NEK2/CDC20/MKI67/BIRC5/CDC25C/TGFA/DLGAP5	11
GO:0033089	positive regulation of T cell differentiation in thymus	4/373	11/15041	0.363636363636364	14.6634170119425	7.22884743453297	0.000106973553465261	0.0254461621527837	0.0234493017580535	ADAM8/VNN1/IL2RG/SHH	4
GO:0048333	mesodermal cell differentiation	6/373	32/15041	0.1875	7.56082439678284	5.92448231732945	0.000117260488933891	0.0254461621527837	0.0234493017580535	ITGB4/EYA2/FGFR2/TRIM15/HMGA2/DKK1	6
GO:0019730	antimicrobial humoral response	12/373	134/15041	0.0895522388059701	3.61114001040375	4.84150423784356	0.000126104674101179	0.0254461621527837	0.0234493017580535	LGALS3/EVPL/CCL28/WFDC10B/CXCL11/WFDC2/MMP7/WFDC3/PI3/LGALS4/LYZ/CCL20	12
GO:0060428	lung epithelium development	7/373	46/15041	0.152173913043478	6.13632124956289	5.56353395435593	0.000126773019305316	0.0254461621527837	0.0234493017580535	GRHL2/FGFR2/AGR2/HMGA2/SPDEF/WNT2/SHH	7
GO:0140014	mitotic nuclear division	18/373	270/15041	0.0666666666666667	2.68829311885612	4.46393299179234	0.000143479478592571	0.0272837555871031	0.0251426920104323	PKMYT1/CDK1/UBE2C/PLK1/TTK/UHRF1/KIF18B/NEK2/TPX2/CDC20/MKI67/BIRC5/ANLN/CDC25C/TGFA/DLGAP5/MYBL2/KIF14	18
GO:1901993	regulation of meiotic cell cycle phase transition	4/373	12/15041	0.333333333333333	13.4414655942806	6.87527394168349	0.000157327675012458	0.0284212444910005	0.0261909176876002	PKMYT1/OVOL1/TTK/CDC25C	4
