contrast	pathway_id
high_vs_low	HALLMARK_INFLAMMATORY_RESPONSE
high_vs_low	HALLMARK_INTERFERON_GAMMA_RESPONSE
high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
high_vs_low	HALLMARK_OXIDATIVE_PHOSPHORYLATION
high_vs_low	HALLMARK_DNA_REPAIR
high_vs_intermediate	HALLMARK_INFLAMMATORY_RESPONSE
high_vs_intermediate	HALLMARK_INTERFERON_GAMMA_RESPONSE
high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
high_vs_intermediate	HALLMARK_OXIDATIVE_PHOSPHORYLATION
high_vs_intermediate	HALLMARK_DNA_REPAIR
high_vs_intermediate	HALLMARK_UV_RESPONSE_DN
high_vs_intermediate	HALLMARK_KRAS_SIGNALING_UP
