gene_symbol_std	contrast	pathway_id	pathway_label	NES	p_adjust	gene_symbol_raw	gene_symbol_raw_deg	logFC	adj.P.Val	t	gene_symbol	direction	abs_logFC
NME3	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	NME3	NME3	-1.3980868535001	2.39016159364131e-18	-10.7307168149642	NME3	negative_pathway	1.3980868535001
CCNO	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	CCNO	CCNO	-1.1676683591932	4.30573896080863e-06	-5.13875144294337	CCNO	negative_pathway	1.1676683591932
NT5C	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	NT5C	NT5C	-1.0909484938188	5.41140942115877e-16	-9.71351133036991	NT5C	negative_pathway	1.0909484938188
POLR2I	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLR2I	POLR2I	-0.97139949512135	4.24329111640494e-11	-7.58902690978847	POLR2I	negative_pathway	0.97139949512135
SAC3D1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	SAC3D1	SAC3D1	-0.945877292436789	2.47172537549393e-13	-8.57372517770523	SAC3D1	negative_pathway	0.945877292436789
GPX4	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	GPX4	GPX4	-0.867839726871227	3.04596014627635e-15	-9.39566458141699	GPX4	negative_pathway	0.867839726871227
POLR2J	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLR2J	POLR2J	-0.854117207182621	8.84469182437088e-16	-9.61901631499183	POLR2J	negative_pathway	0.854117207182621
GUK1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	GUK1	GUK1	-0.843317910040526	1.42546893416818e-14	-9.10538076954721	GUK1	negative_pathway	0.843317910040526
POLD4	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLD4	POLD4	-0.831830704089045	4.02509406876666e-10	-7.14934019328574	POLD4	negative_pathway	0.831830704089045
POLA2	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLA2	POLA2	-0.816695607046016	5.51276658877063e-14	-8.85084987608902	POLA2	negative_pathway	0.816695607046016
ADRM1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	ADRM1	ADRM1	-0.774733611581689	2.7637735553422e-17	-10.2772609956443	ADRM1	negative_pathway	0.774733611581689
POLR2H	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLR2H	POLR2H	-0.773927538016196	7.13520604129159e-16	-9.65761644940962	POLR2H	negative_pathway	0.773927538016196
APRT	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	APRT	APRT	-0.763129209569661	1.68599100412672e-11	-7.76788069370647	APRT	negative_pathway	0.763129209569661
TAF10	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	TAF10	TAF10	-0.702730982756582	6.72040697846133e-10	-7.04237614422454	TAF10	negative_pathway	0.702730982756582
VPS28	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	VPS28	VPS28	-0.677361581418708	2.13383340217742e-13	-8.60129937642719	VPS28	negative_pathway	0.677361581418708
VPS37B	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	VPS37B	VPS37B	-0.653832834803547	7.24342244948242e-08	-6.06757763701454	VPS37B	negative_pathway	0.653832834803547
POLL	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLL	POLL	-0.649244492000793	5.76573007631561e-15	-9.27881495532859	POLL	negative_pathway	0.649244492000793
ITPA	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	ITPA	ITPA	-0.640551831602323	1.33269550486752e-11	-7.81368554498026	ITPA	negative_pathway	0.640551831602323
POLD1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLD1	POLD1	-0.632865845045056	6.59164296826208e-10	-7.04663697119288	POLD1	negative_pathway	0.632865845045056
TAF1C	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	TAF1C	TAF1C	-0.624011141145862	8.93850316639956e-10	-6.98520892587996	TAF1C	negative_pathway	0.624011141145862
DGUOK	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	DGUOK	DGUOK	-0.61165188702632	4.61073178723426e-14	-8.88314837752883	DGUOK	negative_pathway	0.61165188702632
MPG	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	MPG	MPG	-0.611371526625299	1.49571530188e-11	-7.78961496847901	MPG	negative_pathway	0.611371526625299
NME1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	NME1	NME1	-0.60934017323924	3.64515363833029e-05	-4.60049707873706	NME1	negative_pathway	0.60934017323924
COX17	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	COX17	COX17	-0.576546503353826	4.26845760365052e-08	-6.18125061878721	COX17	negative_pathway	0.576546503353826
