gene_symbol_std	contrast	pathway_id	pathway_label	NES	p_adjust	gene_symbol_raw	gene_symbol_raw_deg	logFC	adj.P.Val	t	gene_symbol	direction	abs_logFC
NME3	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	NME3	NME3	-1.22289236308212	2.92515126344494e-09	-7.31884607026775	NME3	negative_pathway	1.22289236308212
BCAM	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	BCAM	BCAM	-0.845647002517946	0.00303669917638329	-3.53480845854375	BCAM	negative_pathway	0.845647002517946
VPS37D	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	VPS37D	VPS37D	-0.81923589584161	0.0020083680726481	-3.68233932515852	VPS37D	negative_pathway	0.81923589584161
POLR2I	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	POLR2I	POLR2I	-0.802754201655147	5.66449088030683e-05	-4.80345713970712	POLR2I	negative_pathway	0.802754201655147
SNAPC4	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	SNAPC4	SNAPC4	-0.758120402299571	1.80873875469753e-08	-6.88891261900362	SNAPC4	negative_pathway	0.758120402299571
CCNO	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	CCNO	CCNO	-0.738066747824927	0.0428770326246329	-2.46106200298177	CCNO	negative_pathway	0.738066747824927
TAF1C	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	TAF1C	TAF1C	-0.676182907533363	1.32152733479815e-06	-5.8212682591181	TAF1C	negative_pathway	0.676182907533363
NT5C	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	NT5C	NT5C	-0.66760422224319	0.00019192089306564	-4.4381275089494	NT5C	negative_pathway	0.66760422224319
SAC3D1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	SAC3D1	SAC3D1	-0.663415335060888	0.000141536003440923	-4.53210631679954	SAC3D1	negative_pathway	0.663415335060888
GPX4	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	GPX4	GPX4	-0.663397992227263	2.27982793967745e-06	-5.68175703783484	GPX4	negative_pathway	0.663397992227263
TAF10	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	TAF10	TAF10	-0.613742639513932	7.83065110811201e-05	-4.70996896479851	TAF10	negative_pathway	0.613742639513932
POLR2J	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	POLR2J	POLR2J	-0.603493869104931	1.59285247160966e-05	-5.16630148269416	POLR2J	negative_pathway	0.603493869104931
POLL	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	POLL	POLL	-0.531322295958292	1.82289268878119e-06	-5.74178136153651	POLL	negative_pathway	0.531322295958292
POLA2	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	POLA2	POLA2	-0.46944294603588	0.00136178630605285	-3.81133794040291	POLA2	negative_pathway	0.46944294603588
TARBP2	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	TARBP2	TARBP2	-0.458856028863385	5.72083258689054e-05	-4.79987934553591	TARBP2	negative_pathway	0.458856028863385
ADRM1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	ADRM1	ADRM1	-0.432940052322206	0.000217648296882471	-4.39650347052291	ADRM1	negative_pathway	0.432940052322206
EDF1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	EDF1	EDF1	-0.426645953511121	0.00209618511518559	-3.66586237345209	EDF1	negative_pathway	0.426645953511121
AAAS	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	AAAS	AAAS	-0.423557886828309	5.23963257188799e-06	-5.46511325701389	AAAS	negative_pathway	0.423557886828309
AK1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	AK1	AK1	-0.39072423188548	0.0314433335088973	-2.60432208986162	AK1	negative_pathway	0.39072423188548
POLR2E	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	POLR2E	POLR2E	-0.379907066299444	0.000177032217517338	-4.46436373781093	POLR2E	negative_pathway	0.379907066299444
VPS28	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	VPS28	VPS28	-0.376490443179647	0.00148655024598758	-3.78158641265563	VPS28	negative_pathway	0.376490443179647
MPG	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	MPG	MPG	-0.364286709055287	0.00382664345138309	-3.45102744429344	MPG	negative_pathway	0.364286709055287
SURF1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	SURF1	SURF1	-0.361063444044835	0.00336878170427283	-3.4954488242454	SURF1	negative_pathway	0.361063444044835
DGUOK	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	DGUOK	DGUOK	-0.352534421995861	0.00127451275119902	-3.83410028214703	DGUOK	negative_pathway	0.352534421995861
GUK1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	GUK1	GUK1	-0.348038548618002	0.0121537560975664	-3.00791747698412	GUK1	negative_pathway	0.348038548618002
POLD1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	POLD1	POLD1	-0.347127457992811	0.0182269136520974	-2.84147896834763	POLD1	negative_pathway	0.347127457992811
LIG1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	LIG1	LIG1	-0.334095021042524	0.011732548321545	-3.02129420027308	LIG1	negative_pathway	0.334095021042524
NELFE	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	NELFE	NELFE	-0.325800324808062	0.00288931931265183	-3.55356667208813	NELFE	negative_pathway	0.325800324808062
COX17	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	COX17	COX17	-0.324377904028444	0.0304296174667225	-2.61929349090603	COX17	negative_pathway	0.324377904028444
MRPL40	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	MRPL40	MRPL40	-0.323834385698006	0.00830203270633247	-3.15825360640055	MRPL40	negative_pathway	0.323834385698006
NME4	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	NME4	NME4	-0.319383103006806	0.0218900991511715	-2.76433043299852	NME4	negative_pathway	0.319383103006806
ZNF707	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	ZNF707	ZNF707	-0.312960040087217	0.0103871235694692	-3.06871925843364	ZNF707	negative_pathway	0.312960040087217
ITPA	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	ITPA	ITPA	-0.310594214791476	0.0161164417194287	-2.89283566108132	ITPA	negative_pathway	0.310594214791476
NELFB	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	NELFB	NELFB	-0.309755400778186	0.00243644460321015	-3.61422204710794	NELFB	negative_pathway	0.309755400778186
USP11	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	USP11	USP11	-0.309297848807097	0.0270054785051512	-2.67124644027484	USP11	negative_pathway	0.309297848807097
GTF3C5	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	GTF3C5	GTF3C5	-0.305786111351392	0.00198880285764876	-3.68541446435155	GTF3C5	negative_pathway	0.305786111351392
