gene_symbol_std	gene_symbol	n_record	n_contrast	n_pathway	pathway_list	contrast_list	max_abs_logFC	signed_logFC	min_adjP	max_abs_t	is_mcd_gene	death_type	tier	score
GPX4	GPX4	4	2	2	HALLMARK_OXIDATIVE_PHOSPHORYLATION; HALLMARK_DNA_REPAIR	high_vs_intermediate; high_vs_low	0.867839726871227	-0.867839726871227	3.04596014627635e-15	9.39566458141699	TRUE	ferroptosis	main	16
FLNA	FLNA	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_intermediate; high_vs_low	0.658146014657287	0.658146014657287	0.0182502016805081	2.72631289579396	TRUE	disulfidptosis	extended	11
SLC31A1	SLC31A1	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	0.384946727231792	0.384946727231792	0.000325099500941031	4.00098817242272	TRUE	cuproptosis	extended	11
ABI1	ABI1	1	1	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low	0.402091328558577	0.402091328558577	0.000102295788242045	4.63388175054952	TRUE	disulfidptosis	main	11
CXCL10	CXCL10	5	2	3	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE; HALLMARK_KRAS_SIGNALING_UP	high_vs_low; high_vs_intermediate	1.8768626364426	1.8768626364426	0.000174446164092345	4.46876645345333	FALSE			10
CMKLR1	CMKLR1	5	2	3	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE; HALLMARK_KRAS_SIGNALING_UP	high_vs_low; high_vs_intermediate	1.04397982013133	1.04397982013133	2.03225980447976e-07	5.84206033932352	FALSE			10
CXCL11	CXCL11	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	2.09946960850318	2.09946960850318	1.83175488087643e-05	5.12806089647649	FALSE			10
TGFBR3	TGFBR3	3	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	1.20208068434987	1.20208068434987	2.0199282758047e-11	7.73496418760363	FALSE			10
FGL2	FGL2	2	2	1	HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	1.58018869218038	1.58018869218038	3.61851581755652e-14	8.92989717541955	FALSE			10
SLIT2	SLIT2	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.50930737985882	1.50930737985882	6.40755938862584e-13	8.39690074668398	FALSE			10
INHBA	INHBA	5	2	3	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_KRAS_SIGNALING_UP	high_vs_low; high_vs_intermediate	1.18431737455077	1.18431737455077	0.000696871619417002	3.7762935875568	FALSE			9
CXCL9	CXCL9	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	1.91778086106502	1.91778086106502	1.59258394474285e-05	4.81417195105225	FALSE			9
IL7R	IL7R	3	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_KRAS_SIGNALING_UP	high_vs_low; high_vs_intermediate	1.47965306152622	1.47965306152622	3.07826623648166e-07	5.75036454961142	FALSE			9
C3AR1	C3AR1	3	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_KRAS_SIGNALING_UP	high_vs_low; high_vs_intermediate	1.1549905966927	1.1549905966927	8.54642693063387e-08	6.03156231489959	FALSE			9
FPR1	FPR1	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	1.10828329812845	1.10828329812845	9.79096550022065e-06	4.93594628093554	FALSE			9
NOTCH2	NOTCH2	3	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	1.10770570238122	1.10770570238122	6.1643696251667e-06	5.29467822911614	FALSE			9
IL2RB	IL2RB	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	1.04186898815099	1.04186898815099	3.33028332587002e-08	6.23466402590422	FALSE			9
FBLN5	FBLN5	3	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	1.02199724923317	1.02199724923317	3.14796800964722e-07	5.74503432234988	FALSE			9
ATP2B1	ATP2B1	3	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	0.760306010829786	0.760306010829786	6.50517323842534e-11	7.50619597477812	FALSE			9
PRSS2	PRSS2	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	2.66385530688818	2.66385530688818	0.036099933187221	2.54215938267885	FALSE			9
VIP	VIP	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.93641176413319	1.93641176413319	3.85708625683296e-06	5.16548815224577	FALSE			9
KCNA3	KCNA3	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.62782861915125	1.62782861915125	7.60907635649338e-10	7.01806147846338	FALSE			9
LAMA2	LAMA2	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.46623575934351	1.46623575934351	7.94708878462964e-11	7.46770478377671	FALSE			9
P2RX7	P2RX7	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.45372133458263	1.45372133458263	3.31657401217962e-14	8.94576784277884	FALSE			9
NME3	NME3	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	1.3980868535001	-1.3980868535001	2.39016159364131e-18	10.7307168149642	FALSE			9
NDUFS7	NDUFS7	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	1.25865046523774	-1.25865046523774	1.22430414388057e-13	8.70487566144962	FALSE			9
CALCRL	CALCRL	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.19361094773142	1.19361094773142	2.54614580224757e-11	7.68887457023948	FALSE			9
ATP5F1D	ATP5F1D	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	1.18432872082868	-1.18432872082868	1.3335994969713e-16	9.98080196518607	FALSE			9
NT5C	NT5C	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	1.0909484938188	-1.0909484938188	5.41140942115877e-16	9.71351133036991	FALSE			9
PEG3	PEG3	1	1	1	HALLMARK_KRAS_SIGNALING_UP	high_vs_intermediate	2.11245344374393	2.11245344374393	3.22428583889658e-13	8.52227479426329	FALSE			9
TNFAIP3	TNFAIP3	5	2	3	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_INTERFERON_GAMMA_RESPONSE; HALLMARK_KRAS_SIGNALING_UP	high_vs_low; high_vs_intermediate	0.634989189536515	0.634989189536515	0.000328854544305771	3.99755327727133	FALSE			8
NFKB1	NFKB1	5	2	3	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	0.306210471285278	0.306210471285278	0.000836876685549972	3.72064389582248	FALSE			8
CXCL6	CXCL6	3	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.39069477668671	1.39069477668671	0.045343866428559	2.43391083915023	FALSE			8
COL5A2	COL5A2	3	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	1.02615502957463	1.02615502957463	0.00286201924178628	3.33706363664614	FALSE			8
HAS2	HAS2	3	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	1.00332552105386	1.00332552105386	7.02402436771785e-05	4.42761948102924	FALSE			8
LCP2	LCP2	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	0.95918213304219	0.95918213304219	2.16482332870242e-08	6.32658801903173	FALSE			8
CAP2	CAP2	3	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	0.687091902535787	0.687091902535787	4.03201146225266e-06	5.15436949446827	FALSE			8
LAMC1	LAMC1	3	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	0.611640878675773	0.611640878675773	4.4242151399117e-06	5.13205498815086	FALSE			8
COX17	COX17	4	2	2	HALLMARK_DNA_REPAIR; HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.576546503353826	-0.576546503353826	4.26845760365052e-08	6.18125061878721	FALSE			8
EIF2AK2	EIF2AK2	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	0.562834294530407	0.562834294530407	5.93882939622399e-06	5.42970629558844	FALSE			8
ACVR2A	ACVR2A	3	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	0.457155010234948	0.457155010234948	7.62616568951055e-07	5.5455160292764	FALSE			8
SLC4A4	SLC4A4	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.92508313043708	1.92508313043708	0.00123065385202698	3.84645125403109	FALSE			8
MEP1A	MEP1A	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.51844600653129	1.51844600653129	0.0222913354165652	2.56847464515211	FALSE			8
MSR1	MSR1	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.44757119176316	1.44757119176316	2.30776274800005e-07	5.8139665316082	FALSE			8
FBN1	FBN1	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.43148547264149	1.43148547264149	2.52314735953953e-08	6.29471331576658	FALSE			8
MYLK	MYLK	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.41488219737576	1.41488219737576	1.97926156814436e-08	6.34541871537188	FALSE			8
ABI3BP	ABI3BP	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.4033089422517	1.4033089422517	4.28235340666835e-09	6.66350401577947	FALSE			8
THBS1	THBS1	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.36354935122598	1.36354935122598	3.46719294620822e-06	5.19109001906214	FALSE			8
SGCD	SGCD	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.34150499559649	1.34150499559649	1.87156409267378e-10	7.29983675942397	FALSE			8
CXCR6	CXCR6	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.30410483517079	1.30410483517079	6.35468835498133e-09	6.5813275712488	FALSE			8
TLR3	TLR3	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.28298174087552	1.28298174087552	4.44272115889342e-06	5.51022374051607	FALSE			8
CYBB	CYBB	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.22695831637843	1.22695831637843	1.96088094909066e-07	5.84995573277484	FALSE			8
CD38	CD38	2	2	1	HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	1.19164665126544	1.19164665126544	4.16954955717331e-06	5.14613402344613	FALSE			8
CCNO	CCNO	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	1.1676683591932	-1.1676683591932	4.30573896080863e-06	5.13875144294337	FALSE			8
ATP6V0C	ATP6V0C	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	1.15158439680301	-1.15158439680301	3.28458613669333e-08	6.23798693854157	FALSE			8
ECM2	ECM2	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.12906998597122	1.12906998597122	1.4360134906094e-10	7.35244801883062	FALSE			8
FGF2	FGF2	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.12218465207622	1.12218465207622	4.30222642418794e-07	5.67474152080986	FALSE			8
CSF2RB	CSF2RB	2	2	1	HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	1.10860646889473	1.10860646889473	4.41118879163778e-07	5.6682630736262	FALSE			8
CALD1	CALD1	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.08899367232866	1.08899367232866	7.10492068049495e-08	6.07179991648126	FALSE			8
TLR1	TLR1	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.03580944841943	1.03580944841943	4.96696291366753e-09	6.63166796068125	FALSE			8
FERMT2	FERMT2	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.03302926775078	1.03302926775078	1.69197388347331e-10	7.31977264082211	FALSE			8
ST8SIA4	ST8SIA4	2	2	1	HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	1.0164179967096	1.0164179967096	2.80508017726856e-09	6.75068700884822	FALSE			8
IL1R1	IL1R1	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.01476773370774	1.01476773370774	7.9119262635828e-07	5.53679494230239	FALSE			8
NID2	NID2	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.01035949818702	1.01035949818702	6.76862444485602e-07	5.57263156206302	FALSE			8
NDUFB7	NDUFB7	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.973494732473365	-0.973494732473365	9.75372755335623e-16	9.59820525730851	FALSE			8
POLR2I	POLR2I	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.97139949512135	-0.97139949512135	4.24329111640494e-11	7.58902690978847	FALSE			8
NDUFS8	NDUFS8	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.970867555987928	-0.970867555987928	8.11090742324876e-18	10.5009892883004	FALSE			8
SAC3D1	SAC3D1	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.945877292436789	-0.945877292436789	2.47172537549393e-13	8.57372517770523	FALSE			8
RHOT2	RHOT2	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.925134575057381	-0.925134575057381	3.83971518953022e-18	10.6408129563924	FALSE			8
POLR2J	POLR2J	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.854117207182621	-0.854117207182621	8.84469182437088e-16	9.61901631499183	FALSE			8
GUK1	GUK1	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.843317910040526	-0.843317910040526	1.42546893416818e-14	9.10538076954721	FALSE			8
NDUFS6	NDUFS6	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.825745526885781	-0.825745526885781	1.64598946495606e-12	8.21683791612212	FALSE			8
ECI1	ECI1	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.82384287719908	-0.82384287719908	1.01323813298973e-11	7.86550774008027	FALSE			8
POLA2	POLA2	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.816695607046016	-0.816695607046016	5.51276658877063e-14	8.85084987608902	FALSE			8
TIMM13	TIMM13	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.777207789893816	-0.777207789893816	2.11266027242572e-11	7.72613512385304	FALSE			8
ADRM1	ADRM1	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.774733611581689	-0.774733611581689	2.7637735553422e-17	10.2772609956443	FALSE			8
POLR2H	POLR2H	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.773927538016196	-0.773927538016196	7.13520604129159e-16	9.65761644940962	FALSE			8
COX5B	COX5B	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.763669955407307	-0.763669955407307	7.03415210954619e-12	7.93576951080043	FALSE			8
APRT	APRT	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.763129209569661	-0.763129209569661	1.68599100412672e-11	7.76788069370647	FALSE			8
MRPL34	MRPL34	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.721941610717299	-0.721941610717299	8.77363044871098e-12	7.89347309045209	FALSE			8
VPS28	VPS28	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.677361581418708	-0.677361581418708	2.13383340217742e-13	8.60129937642719	FALSE			8
POLL	POLL	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.649244492000793	-0.649244492000793	5.76573007631561e-15	9.27881495532859	FALSE			8
ITPA	ITPA	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.640551831602323	-0.640551831602323	1.33269550486752e-11	7.81368554498026	FALSE			8
BAX	BAX	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.630044510638263	-0.630044510638263	9.66079602174179e-12	7.87398106404586	FALSE			8
NDUFV1	NDUFV1	2	2	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.617747911359501	-0.617747911359501	1.32915165088287e-13	8.68840326418754	FALSE			8
DGUOK	DGUOK	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.61165188702632	-0.61165188702632	4.61073178723426e-14	8.88314837752883	FALSE			8
MPG	MPG	2	2	1	HALLMARK_DNA_REPAIR	high_vs_low; high_vs_intermediate	0.611371526625299	-0.611371526625299	1.49571530188e-11	7.78961496847901	FALSE			8
KIF1B	KIF1B	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	0.607468077450928	0.607468077450928	7.01304399701902e-13	8.37889464127763	FALSE			8
