gene_symbol_std	gene_symbol	contrast	pathway_id	pathway_label	NES	p_adjust	logFC	adj.P.Val	t	is_mcd_gene	death_type	tier
GPX4	GPX4	high_vs_intermediate	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-2.28017000844004	1.72494141798861e-11	-0.867839726871227	3.04596014627635e-15	-9.39566458141699	TRUE	ferroptosis	main
GPX4	GPX4	high_vs_low	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-1.38121151240848	0.0262067077911294	-0.663397992227263	2.27982793967745e-06	-5.68175703783484	TRUE	ferroptosis	main
GPX4	GPX4	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	-0.867839726871227	3.04596014627635e-15	-9.39566458141699	TRUE	ferroptosis	main
GPX4	GPX4	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.663397992227263	2.27982793967745e-06	-5.68175703783484	TRUE	ferroptosis	main
FLNA	FLNA	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	0.517619403133871	0.0182502016805081	2.64993336940218	TRUE	disulfidptosis	extended
FLNA	FLNA	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	0.658146014657287	0.0238077489888499	2.72631289579396	TRUE	disulfidptosis	extended
ABI1	ABI1	high_vs_low	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	2.92607686680403	4.58401566144164e-23	0.402091328558577	0.000102295788242045	4.63388175054952	TRUE	disulfidptosis	main
SLC31A1	SLC31A1	high_vs_low	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	2.92607686680403	4.58401566144164e-23	0.377871160444623	0.0127842144895919	2.98787903071577	TRUE	cuproptosis	extended
SLC31A1	SLC31A1	high_vs_intermediate	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	2.22513308653259	8.47176741352414e-11	0.384946727231792	0.000325099500941031	4.00098817242272	TRUE	cuproptosis	extended
NME3	NME3	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-1.22289236308212	2.92515126344494e-09	-7.31884607026775	FALSE		
BCAM	BCAM	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.845647002517946	0.00303669917638329	-3.53480845854375	FALSE		
VPS37D	VPS37D	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.81923589584161	0.0020083680726481	-3.68233932515852	FALSE		
POLR2I	POLR2I	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.802754201655147	5.66449088030683e-05	-4.80345713970712	FALSE		
SNAPC4	SNAPC4	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.758120402299571	1.80873875469753e-08	-6.88891261900362	FALSE		
CCNO	CCNO	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.738066747824927	0.0428770326246329	-2.46106200298177	FALSE		
TAF1C	TAF1C	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.676182907533363	1.32152733479815e-06	-5.8212682591181	FALSE		
NT5C	NT5C	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.66760422224319	0.00019192089306564	-4.4381275089494	FALSE		
SAC3D1	SAC3D1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.663415335060888	0.000141536003440923	-4.53210631679954	FALSE		
PMP22	PMP22	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	0.637455646238877	0.0123714440626531	3.00140283242586	FALSE		
TAF10	TAF10	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.613742639513932	7.83065110811201e-05	-4.70996896479851	FALSE		
POLR2J	POLR2J	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.603493869104931	1.59285247160966e-05	-5.16630148269416	FALSE		
POLL	POLL	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.531322295958292	1.82289268878119e-06	-5.74178136153651	FALSE		
POLA2	POLA2	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.46944294603588	0.00136178630605285	-3.81133794040291	FALSE		
TARBP2	TARBP2	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.458856028863385	5.72083258689054e-05	-4.79987934553591	FALSE		
ADRM1	ADRM1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.432940052322206	0.000217648296882471	-4.39650347052291	FALSE		
EDF1	EDF1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	-0.426645953511121	0.00209618511518559	-3.66586237345209	FALSE		
