gene_symbol_std	gene_symbol	n_record	n_contrast	n_pathway	pathway_list	contrast_list	max_abs_logFC	signed_logFC	min_adjP	max_abs_t	is_mcd_gene	death_type	tier	score	mechanism_group
GPX4	GPX4	4	2	2	HALLMARK_OXIDATIVE_PHOSPHORYLATION; HALLMARK_DNA_REPAIR	high_vs_intermediate; high_vs_low	0.867839726871227	-0.867839726871227	3.04596014627635e-15	9.39566458141699	TRUE	ferroptosis	main	16	Direct MCD-linked
FLNA	FLNA	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_intermediate; high_vs_low	0.658146014657287	0.658146014657287	0.0182502016805081	2.72631289579396	TRUE	disulfidptosis	extended	11	Direct MCD-linked
SLC31A1	SLC31A1	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	0.384946727231792	0.384946727231792	0.000325099500941031	4.00098817242272	TRUE	cuproptosis	extended	11	Direct MCD-linked
ABI1	ABI1	1	1	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low	0.402091328558577	0.402091328558577	0.000102295788242045	4.63388175054952	TRUE	disulfidptosis	main	11	Direct MCD-linked
CXCL10	CXCL10	5	2	3	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE; HALLMARK_KRAS_SIGNALING_UP	high_vs_low; high_vs_intermediate	1.8768626364426	1.8768626364426	0.000174446164092345	4.46876645345333	FALSE			10	Immune/stromal bridge
CMKLR1	CMKLR1	5	2	3	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE; HALLMARK_KRAS_SIGNALING_UP	high_vs_low; high_vs_intermediate	1.04397982013133	1.04397982013133	2.03225980447976e-07	5.84206033932352	FALSE			10	Immune/stromal bridge
CXCL11	CXCL11	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	2.09946960850318	2.09946960850318	1.83175488087643e-05	5.12806089647649	FALSE			10	Immune/stromal bridge
FGL2	FGL2	2	2	1	HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	1.58018869218038	1.58018869218038	3.61851581755652e-14	8.92989717541955	FALSE			10	Immune/stromal bridge
CXCL9	CXCL9	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	1.91778086106502	1.91778086106502	1.59258394474285e-05	4.81417195105225	FALSE			9	Immune/stromal bridge
IL7R	IL7R	3	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_KRAS_SIGNALING_UP	high_vs_low; high_vs_intermediate	1.47965306152622	1.47965306152622	3.07826623648166e-07	5.75036454961142	FALSE			9	Immune/stromal bridge
