gene	target_class	priority
LCP1	signature_gene	HIGH
GBP4	signature_gene	HIGH
MET	signature_gene	HIGH
SNAPC4	signature_gene	HIGH
TGFBI	signature_gene	HIGH
SLC25A11	signature_gene	HIGH
RFC4	signature_gene	HIGH
IDO1	signature_gene	HIGH
NMUR1	signature_gene	HIGH
NDUFA7	signature_gene	HIGH
INHBA	signature_gene	HIGH
IL15RA	signature_gene	HIGH
GPX4	mechanism_gene	MEDIUM
SLC31A1	mechanism_gene	MEDIUM
ABI1	mechanism_gene	MEDIUM
FLNA	mechanism_gene	MEDIUM
CXCL9	mechanism_gene	MEDIUM
CXCL10	mechanism_gene	MEDIUM
CXCL11	mechanism_gene	MEDIUM
FGL2	mechanism_gene	MEDIUM
IL7R	mechanism_gene	MEDIUM
CMKLR1	mechanism_gene	MEDIUM
NOTCH2	mechanism_gene	MEDIUM
TGFBR3	mechanism_gene	MEDIUM
