gene	target_class	priority	batch	run_priority
CXCL10	mechanism_gene	MEDIUM	batch1_priority	HIGH
GBP4	signature_gene	HIGH	batch1_priority	HIGH
GPX4	mechanism_gene	MEDIUM	batch1_priority	HIGH
IDO1	signature_gene	HIGH	batch1_priority	HIGH
IL15RA	signature_gene	HIGH	batch1_priority	HIGH
INHBA	signature_gene	HIGH	batch1_priority	HIGH
MET	signature_gene	HIGH	batch1_priority	HIGH
SLC31A1	mechanism_gene	MEDIUM	batch1_priority	HIGH
TGFBI	signature_gene	HIGH	batch1_priority	HIGH
TGFBR3	mechanism_gene	MEDIUM	batch1_priority	HIGH
LCP1	signature_gene	HIGH	batch2_extended	MEDIUM
NDUFA7	signature_gene	HIGH	batch2_extended	MEDIUM
NMUR1	signature_gene	HIGH	batch2_extended	MEDIUM
RFC4	signature_gene	HIGH	batch2_extended	MEDIUM
SLC25A11	signature_gene	HIGH	batch2_extended	MEDIUM
SNAPC4	signature_gene	HIGH	batch2_extended	MEDIUM
ABI1	mechanism_gene	MEDIUM	batch2_extended	LOW
CMKLR1	mechanism_gene	MEDIUM	batch2_extended	LOW
CXCL11	mechanism_gene	MEDIUM	batch2_extended	LOW
CXCL9	mechanism_gene	MEDIUM	batch2_extended	LOW
FGL2	mechanism_gene	MEDIUM	batch2_extended	LOW
FLNA	mechanism_gene	MEDIUM	batch2_extended	LOW
IL7R	mechanism_gene	MEDIUM	batch2_extended	LOW
NOTCH2	mechanism_gene	MEDIUM	batch2_extended	LOW
