gene	file_type	expected_path	priority	exists	priority_rank
ALL_BATCH1	primary_outcome	01_raw_data/outcome/PanScan_PanC4/pancreatic_cancer_sumstats.tsv	TOP	FALSE	1
CXCL10	primary_exposure	01_raw_data/exposure/eQTLGen/CXCL10_cis_eqtl.tsv	HIGH	FALSE	2
GBP4	primary_exposure	01_raw_data/exposure/eQTLGen/GBP4_cis_eqtl.tsv	HIGH	FALSE	2
GPX4	primary_exposure	01_raw_data/exposure/eQTLGen/GPX4_cis_eqtl.tsv	HIGH	FALSE	2
IDO1	primary_exposure	01_raw_data/exposure/eQTLGen/IDO1_cis_eqtl.tsv	HIGH	FALSE	2
IL15RA	primary_exposure	01_raw_data/exposure/eQTLGen/IL15RA_cis_eqtl.tsv	HIGH	FALSE	2
INHBA	primary_exposure	01_raw_data/exposure/eQTLGen/INHBA_cis_eqtl.tsv	HIGH	FALSE	2
MET	primary_exposure	01_raw_data/exposure/eQTLGen/MET_cis_eqtl.tsv	HIGH	FALSE	2
SLC31A1	primary_exposure	01_raw_data/exposure/eQTLGen/SLC31A1_cis_eqtl.tsv	HIGH	FALSE	2
TGFBI	primary_exposure	01_raw_data/exposure/eQTLGen/TGFBI_cis_eqtl.tsv	HIGH	FALSE	2
TGFBR3	primary_exposure	01_raw_data/exposure/eQTLGen/TGFBR3_cis_eqtl.tsv	HIGH	FALSE	2
CXCL10	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/CXCL10_cis_eqtl.tsv	LOW	FALSE	4
GBP4	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/GBP4_cis_eqtl.tsv	LOW	FALSE	4
GPX4	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/GPX4_cis_eqtl.tsv	LOW	FALSE	4
IDO1	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/IDO1_cis_eqtl.tsv	LOW	FALSE	4
IL15RA	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/IL15RA_cis_eqtl.tsv	LOW	FALSE	4
INHBA	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/INHBA_cis_eqtl.tsv	LOW	FALSE	4
MET	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/MET_cis_eqtl.tsv	LOW	FALSE	4
SLC31A1	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/SLC31A1_cis_eqtl.tsv	LOW	FALSE	4
TGFBI	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/TGFBI_cis_eqtl.tsv	LOW	FALSE	4
TGFBR3	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/TGFBR3_cis_eqtl.tsv	LOW	FALSE	4
