gene	file_type	expected_path	priority	exists
ALL_BATCH1	primary_outcome	01_raw_data/outcome/PanScan_PanC4/pancreatic_cancer_sumstats.tsv	TOP	FALSE
CXCL10	primary_exposure	01_raw_data/exposure/eQTLGen/CXCL10_cis_eqtl.tsv	HIGH	FALSE
GBP4	primary_exposure	01_raw_data/exposure/eQTLGen/GBP4_cis_eqtl.tsv	HIGH	FALSE
GPX4	primary_exposure	01_raw_data/exposure/eQTLGen/GPX4_cis_eqtl.tsv	HIGH	FALSE
IDO1	primary_exposure	01_raw_data/exposure/eQTLGen/IDO1_cis_eqtl.tsv	HIGH	FALSE
IL15RA	primary_exposure	01_raw_data/exposure/eQTLGen/IL15RA_cis_eqtl.tsv	HIGH	FALSE
INHBA	primary_exposure	01_raw_data/exposure/eQTLGen/INHBA_cis_eqtl.tsv	HIGH	FALSE
MET	primary_exposure	01_raw_data/exposure/eQTLGen/MET_cis_eqtl.tsv	HIGH	FALSE
SLC31A1	primary_exposure	01_raw_data/exposure/eQTLGen/SLC31A1_cis_eqtl.tsv	HIGH	FALSE
TGFBI	primary_exposure	01_raw_data/exposure/eQTLGen/TGFBI_cis_eqtl.tsv	HIGH	FALSE
TGFBR3	primary_exposure	01_raw_data/exposure/eQTLGen/TGFBR3_cis_eqtl.tsv	HIGH	FALSE
CXCL10	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/CXCL10_cis_eqtl.tsv	LOW	FALSE
GBP4	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/GBP4_cis_eqtl.tsv	LOW	FALSE
GPX4	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/GPX4_cis_eqtl.tsv	LOW	FALSE
IDO1	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/IDO1_cis_eqtl.tsv	LOW	FALSE
IL15RA	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/IL15RA_cis_eqtl.tsv	LOW	FALSE
INHBA	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/INHBA_cis_eqtl.tsv	LOW	FALSE
MET	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/MET_cis_eqtl.tsv	LOW	FALSE
SLC31A1	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/SLC31A1_cis_eqtl.tsv	LOW	FALSE
TGFBI	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/TGFBI_cis_eqtl.tsv	LOW	FALSE
TGFBR3	supporting_exposure	01_raw_data/exposure/GTEx_pancreas/TGFBR3_cis_eqtl.tsv	LOW	FALSE
