gene	raw_file_exists	raw_n	eaf_joined_n	reconstructable_n	complete_n	written_official_exposure	official_exposure_file	reason
CXCL10	TRUE	1142	0	0	0	FALSE	05_MR/01_raw_data/exposure/eQTLGen/CXCL10_cis_eqtl.tsv	no_complete_rows_after_eaf_join_and_beta_se_reconstruction
GBP4	TRUE	1058	0	0	0	FALSE	05_MR/01_raw_data/exposure/eQTLGen/GBP4_cis_eqtl.tsv	no_complete_rows_after_eaf_join_and_beta_se_reconstruction
GPX4	TRUE	813	0	0	0	FALSE	05_MR/01_raw_data/exposure/eQTLGen/GPX4_cis_eqtl.tsv	no_complete_rows_after_eaf_join_and_beta_se_reconstruction
IDO1	TRUE	1299	0	0	0	FALSE	05_MR/01_raw_data/exposure/eQTLGen/IDO1_cis_eqtl.tsv	no_complete_rows_after_eaf_join_and_beta_se_reconstruction
IL15RA	TRUE	376	0	0	0	FALSE	05_MR/01_raw_data/exposure/eQTLGen/IL15RA_cis_eqtl.tsv	no_complete_rows_after_eaf_join_and_beta_se_reconstruction
INHBA	FALSE		0	0	0	FALSE	05_MR/01_raw_data/exposure/eQTLGen/INHBA_cis_eqtl.tsv	raw_gene_table_missing
MET	FALSE		0	0	0	FALSE	05_MR/01_raw_data/exposure/eQTLGen/MET_cis_eqtl.tsv	raw_gene_table_missing
SLC31A1	TRUE	750	0	0	0	FALSE	05_MR/01_raw_data/exposure/eQTLGen/SLC31A1_cis_eqtl.tsv	no_complete_rows_after_eaf_join_and_beta_se_reconstruction
TGFBI	TRUE	1531	0	0	0	FALSE	05_MR/01_raw_data/exposure/eQTLGen/TGFBI_cis_eqtl.tsv	no_complete_rows_after_eaf_join_and_beta_se_reconstruction
TGFBR3	TRUE	352	0	0	0	FALSE	05_MR/01_raw_data/exposure/eQTLGen/TGFBR3_cis_eqtl.tsv	no_complete_rows_after_eaf_join_and_beta_se_reconstruction
