study_accession	trait_id	trait_label	title	first_author	pubmed_id	reported_trait	keyword_score
"GCST000679"	"EFO_0000685"	"EFO_0000685"	NA	NA	NA	NA	0
"GCST000879"	"EFO_0000384"	"EFO_0000384"	NA	NA	NA	NA	0
"GCST000964"	"EFO_0000729"	"EFO_0000729"	NA	NA	NA	NA	0
"GCST001728"	"EFO_0000729"	"EFO_0000729"	NA	NA	NA	NA	0
"GCST001729"	"EFO_0000384"	"EFO_0000384"	NA	NA	NA	NA	0
"GCST002245"	"EFO_0000249"	"EFO_0000249"	NA	NA	NA	NA	0
"GCST002318"	"EFO_0000685"	"EFO_0000685"	NA	NA	NA	NA	0
"GCST002548"	"EFO_0000729"	"EFO_0000729"	NA	NA	NA	NA	0
"GCST003044"	"EFO_0000384"	"EFO_0000384"	NA	NA	NA	NA	0
"GCST003045"	"EFO_0000729"	"EFO_0000729"	NA	NA	NA	NA	0
"GCST003143"	"EFO_0009797"	"EFO_0009797"	NA	NA	NA	NA	0
"GCST003378"	"EFO_0000289"	"EFO_0000289"	NA	NA	NA	NA	0
"GCST003724"	"EFO_0000289"	"EFO_0000289"	NA	NA	NA	NA	0
"GCST003839"	"EFO_0005271"	"EFO_0005271"	NA	NA	NA	NA	0
"GCST004132"	"EFO_0000384"	"EFO_0000384"	NA	NA	NA	NA	0
"GCST004133"	"EFO_0000729"	"EFO_0000729"	NA	NA	NA	NA	0
"GCST004296"	"EFO_0000275"	"EFO_0000275"	NA	NA	NA	NA	0
"GCST004618"	"EFO_0005090"	"EFO_0005090"	NA	NA	NA	NA	0
"GCST004621"	"EFO_0005192"	"EFO_0005192"	NA	NA	NA	NA	0
"GCST004624"	"EFO_0005090"	"EFO_0005090"	NA	NA	NA	NA	0
"GCST004692"	"EFO_0000253"	"EFO_0000253"	NA	NA	NA	NA	0
"GCST004883"	"EFO_0000621"	"EFO_0000621"	NA	NA	NA	NA	0
"GCST004884"	"EFO_0000621"	"EFO_0000621"	NA	NA	NA	NA	0
"GCST004885"	"EFO_0000621"	"EFO_0000621"	NA	NA	NA	NA	0
"GCST004988"	"EFO_0000305"	"EFO_0000305"	NA	NA	NA	NA	0
"GCST005194"	"EFO_0000378"	"EFO_0000378"	NA	NA	NA	NA	0
"GCST005195"	"EFO_0000378"	"EFO_0000378"	NA	NA	NA	NA	0
"GCST005212"	"EFO_0000270"	"EFO_0000270"	NA	NA	NA	NA	0
"GCST005522"	"EFO_0000614"	"EFO_0000614"	NA	NA	NA	NA	0
"GCST005569"	"EFO_0000685"	"EFO_0000685"	NA	NA	NA	NA	0
"GCST005647"	"EFO_0000253"	"EFO_0000253"	NA	NA	NA	NA	0
"GCST005838"	"EFO_0000712"	"EFO_0000712"	NA	NA	NA	NA	0
"GCST006061"	"EFO_0000275"	"EFO_0000275"	NA	NA	NA	NA	0
"GCST006229"	"EFO_0000537"	"EFO_0000537"	NA	NA	NA	NA	0
"GCST006414"	"EFO_0000275"	"EFO_0000275"	NA	NA	NA	NA	0
"GCST006685"	"EFO_0005271"	"EFO_0005271"	NA	NA	NA	NA	0
"GCST006686"	"EFO_0005271"	"EFO_0005271"	NA	NA	NA	NA	0
"GCST006804"	"EFO_0005192"	"EFO_0005192"	NA	NA	NA	NA	0
"GCST006862"	"EFO_0000270"	"EFO_0000270"	NA	NA	NA	NA	0
"GCST006906"	"EFO_0000712"	"EFO_0000712"	NA	NA	NA	NA	0
"GCST006941"	"EFO_0009594"	"EFO_0009594"	NA	NA	NA	NA	0
"GCST006945"	"EFO_0009595"	"EFO_0009595"	NA	NA	NA	NA	0
"GCST006947"	"EFO_0009588"	"EFO_0009588"	NA	NA	NA	NA	0
"GCST006951"	"EFO_0009599"	"EFO_0009599"	NA	NA	NA	NA	0
"GCST007236"	"EFO_0000305"	"EFO_0000305"	NA	NA	NA	NA	0
"GCST007344"	"EFO_0005208"	"EFO_0005208"	NA	NA	NA	NA	0
"GCST007430"	"EFO_0009718"	"EFO_0009718"	NA	NA	NA	NA	0
"GCST008030"	"EFO_0005208"	"EFO_0005208"	NA	NA	NA	NA	0
"GCST008036"	"EFO_0000537"	"EFO_0000537"	NA	NA	NA	NA	0
"GCST008427"	"EFO_0005090"	"EFO_0005090"	NA	NA	NA	NA	0
"GCST008637"	"EFO_0010105"	"EFO_0010105"	NA	NA	NA	NA	0
"GCST008638"	"EFO_0010107"	"EFO_0010107"	NA	NA	NA	NA	0
"GCST009722"	"EFO_0000516"	"EFO_0000516"	NA	NA	NA	NA	0
"GCST011750"	"EFO_0000289"	"EFO_0000289"	NA	NA	NA	NA	0
"GCST90000515"	"EFO_0000280"	"EFO_0000280"	NA	NA	NA	NA	0
"GCST90012013"	"EFO_0010600"	"EFO_0010600"	NA	NA	NA	NA	0
"GCST90012031"	"EFO_0005243"	"EFO_0005243"	NA	NA	NA	NA	0
"GCST90012035"	"EFO_0010610"	"EFO_0010610"	NA	NA	NA	NA	0
"GCST90012053"	"EFO_0010611"	"EFO_0010611"	NA	NA	NA	NA	0
"GCST90012056"	"EFO_0010591"	"EFO_0010591"	NA	NA	NA	NA	0
"GCST90012065"	"EFO_0010607"	"EFO_0010607"	NA	NA	NA	NA	0
"GCST90012079"	"EFO_0010597"	"EFO_0010597"	NA	NA	NA	NA	0
"GCST90012081"	"EFO_0010598"	"EFO_0010598"	NA	NA	NA	NA	0
"GCST90012088"	"EFO_0005677"	"EFO_0005677"	NA	NA	NA	NA	0
"GCST90012174"	"EFO_0000275"	"EFO_0000275"	NA	NA	NA	NA	0
"GCST90012175"	"EFO_0000275"	"EFO_0000275"	NA	NA	NA	NA	0
"GCST90012177"	"EFO_0000311"	"EFO_0000311"	NA	NA	NA	NA	0
"GCST90012178"	"EFO_0000318"	"EFO_0000318"	NA	NA	NA	NA	0
"GCST90012179"	"EFO_0005056"	"EFO_0005056"	NA	NA	NA	NA	0
"GCST90012180"	"EFO_0000400"	"EFO_0000400"	NA	NA	NA	NA	0
"GCST90012182"	"EFO_0000537"	"EFO_0000537"	NA	NA	NA	NA	0
"GCST90012186"	"EFO_0000712"	"EFO_0000712"	NA	NA	NA	NA	0
"GCST90012189"	"EFO_0005110"	"EFO_0005110"	NA	NA	NA	NA	0
"GCST90012190"	"EFO_0005110"	"EFO_0005110"	NA	NA	NA	NA	0
"GCST90012192"	"EFO_0005110"	"EFO_0005110"	NA	NA	NA	NA	0
"GCST90012193"	"EFO_0005110"	"EFO_0005110"	NA	NA	NA	NA	0
"GCST90012194"	"EFO_0005110"	"EFO_0005110"	NA	NA	NA	NA	0
"GCST90013420"	"EFO_0009902"	"EFO_0009902"	NA	NA	NA	NA	0
"GCST90013421"	"EFO_0009902"	"EFO_0009902"	NA	NA	NA	NA	0
"GCST90014268"	"EFO_0001059"	"EFO_0001059"	NA	NA	NA	NA	0
"GCST90014325"	"EFO_0000270"	"EFO_0000270"	NA	NA	NA	NA	0
"GCST90016674"	"EFO_0010056"	"EFO_0010056"	NA	NA	NA	NA	0
"GCST90020026"	"EFO_0005093"	"EFO_0005093"	NA	NA	NA	NA	0
"GCST90020047"	"EFO_0005543"	"EFO_0005543"	NA	NA	NA	NA	0
