study_accession	title	reported_trait	trait_label	pubmed_id	keyword_score	queried_snp_n	returned_assoc_rows	unique_returned_snps	usable_outcome_rows
"GCST000679"	NA	NA	"EFO_0000685"	NA	0	23	2	1	2
"GCST000879"	NA	NA	"EFO_0000384"	NA	0	23	0	0	0
"GCST000964"	NA	NA	"EFO_0000729"	NA	0	23	0	0	0
"GCST001728"	NA	NA	"EFO_0000729"	NA	0	23	0	0	0
"GCST001729"	NA	NA	"EFO_0000384"	NA	0	23	0	0	0
"GCST002245"	NA	NA	"EFO_0000249"	NA	0	23	0	0	0
"GCST002318"	NA	NA	"EFO_0000685"	NA	0	23	0	0	0
"GCST002548"	NA	NA	"EFO_0000729"	NA	0	23	0	0	0
"GCST003044"	NA	NA	"EFO_0000384"	NA	0	23	0	0	0
"GCST003045"	NA	NA	"EFO_0000729"	NA	0	23	0	0	0
"GCST003143"	NA	NA	"EFO_0009797"	NA	0	23	0	0	0
"GCST003378"	NA	NA	"EFO_0000289"	NA	0	23	0	0	0
"GCST003724"	NA	NA	"EFO_0000289"	NA	0	23	0	0	0
"GCST003839"	NA	NA	"EFO_0005271"	NA	0	23	0	0	0
"GCST004132"	NA	NA	"EFO_0000384"	NA	0	23	0	0	0
"GCST004133"	NA	NA	"EFO_0000729"	NA	0	23	0	0	0
"GCST004296"	NA	NA	"EFO_0000275"	NA	0	23	0	0	0
"GCST004618"	NA	NA	"EFO_0005090"	NA	0	23	0	0	0
"GCST004621"	NA	NA	"EFO_0005192"	NA	0	23	0	0	0
"GCST004624"	NA	NA	"EFO_0005090"	NA	0	23	0	0	0
