trait	uri	shortForm	trait_label_guess	trait_id_guess
"pancreatitis"	"http://www.ebi.ac.uk/efo/EFO_0000278"	"EFO_0000278"	"pancreatitis"	"EFO_0000278"
"thiopurine immunosuppressant-induced pancreatitis"	"http://www.ebi.ac.uk/efo/EFO_0006315"	"EFO_0006315"	"thiopurine immunosuppressant-induced pancreatitis"	"EFO_0006315"
"pancreatic carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0002618"	"EFO_0002618"	"pancreatic carcinoma"	"EFO_0002618"
"autoimmune pancreatitis type 1"	"http://www.ebi.ac.uk/efo/EFO_1000780"	"EFO_1000780"	"autoimmune pancreatitis type 1"	"EFO_1000780"
"Asparaginase-induced acute pancreatitis"	"http://www.ebi.ac.uk/efo/EFO_1001507"	"EFO_1001507"	"Asparaginase-induced acute pancreatitis"	"EFO_1001507"
"pancreatic neuroendocrine tumor"	"http://www.ebi.ac.uk/efo/EFO_1000045"	"EFO_1000045"	"pancreatic neuroendocrine tumor"	"EFO_1000045"
"alcoholic pancreatitis"	"http://www.ebi.ac.uk/efo/EFO_1002013"	"EFO_1002013"	"alcoholic pancreatitis"	"EFO_1002013"
"pancreas volume"	"http://purl.obolibrary.org/obo/OBA_2050006"	"OBA_2050006"	"pancreas volume"	"OBA_2050006"
"pancreatic fat pad amount"	"http://purl.obolibrary.org/obo/OBA_2050196"	"OBA_2050196"	"pancreatic fat pad amount"	"OBA_2050196"
"acute pancreatitis"	"http://www.ebi.ac.uk/efo/EFO_1000652"	"EFO_1000652"	"acute pancreatitis"	"EFO_1000652"
"chronic pancreatitis"	"http://www.ebi.ac.uk/efo/EFO_0000342"	"EFO_0000342"	"chronic pancreatitis"	"EFO_0000342"
"pancreatic ductal adenocarcinoma"	"http://purl.obolibrary.org/obo/MONDO_0005184"	"MONDO_0005184"	"pancreatic ductal adenocarcinoma"	"MONDO_0005184"
"Pancreatic pseudocyst"	"http://purl.obolibrary.org/obo/HP_0005206"	"HP_0005206"	"Pancreatic pseudocyst"	"HP_0005206"
"pancreas disease"	"http://www.ebi.ac.uk/efo/EFO_0009605"	"EFO_0009605"	"pancreas disease"	"EFO_0009605"
"pancreatic hormone measurement"	"http://www.ebi.ac.uk/efo/EFO_0020621"	"EFO_0020621"	"pancreatic hormone measurement"	"EFO_0020621"
"non-alcoholic pancreatitis"	"http://www.ebi.ac.uk/efo/EFO_0021524"	"EFO_0021524"	"non-alcoholic pancreatitis"	"EFO_0021524"
"pancreatic neoplasm"	"http://www.ebi.ac.uk/efo/EFO_0003860"	"EFO_0003860"	"pancreatic neoplasm"	"EFO_0003860"
"Malignant Pancreatic Neoplasm"	"http://www.ebi.ac.uk/efo/EFO_1000359"	"EFO_1000359"	"Malignant Pancreatic Neoplasm"	"EFO_1000359"
"Pancreatic cysts"	"http://purl.obolibrary.org/obo/HP_0001737"	"HP_0001737"	"Pancreatic cysts"	"HP_0001737"
"motor neuron and pancreas homeobox protein 1 measurement"	"http://www.ebi.ac.uk/efo/EFO_0802755"	"EFO_0802755"	"motor neuron and pancreas homeobox protein 1 measurement"	"EFO_0802755"
"pancreatic secretory trypsin inhibitor protein measurement"	"http://www.ebi.ac.uk/efo/EFO_0020956"	"EFO_0020956"	"pancreatic secretory trypsin inhibitor protein measurement"	"EFO_0020956"
"inactive pancreatic lipase-related protein 1 measurement"	"http://www.ebi.ac.uk/efo/EFO_0801693"	"EFO_0801693"	"inactive pancreatic lipase-related protein 1 measurement"	"EFO_0801693"
"ribonuclease pancreatic measurement"	"http://www.ebi.ac.uk/efo/EFO_0802019"	"EFO_0802019"	"ribonuclease pancreatic measurement"	"EFO_0802019"
"level of pancreatic lipase-related protein 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042950"	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"OBA_2042950"
"level of pancreatic triacylglycerol lipase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042948"	"OBA_2042948"	"level of pancreatic triacylglycerol lipase in blood serum"	"OBA_2042948"
"level of ribonuclease pancreatic in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043280"	"OBA_2043280"	"level of ribonuclease pancreatic in blood serum"	"OBA_2043280"
"pancreatic intraductal papillary-mucinous neoplasm"	"http://purl.obolibrary.org/obo/MONDO_0004286"	"MONDO_0004286"	"pancreatic intraductal papillary-mucinous neoplasm"	"MONDO_0004286"
"level of motor neuron and pancreas homeobox protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042393"	"OBA_2042393"	"level of motor neuron and pancreas homeobox protein 1 in blood serum"	"OBA_2042393"
"level of pancreatic prohormone in blood"	"http://purl.obolibrary.org/obo/OBA_2051098"	"OBA_2051098"	"level of pancreatic prohormone in blood"	"OBA_2051098"
"level of pancreatic secretory granule membrane major glycoprotein GP2 in blood"	"http://purl.obolibrary.org/obo/OBA_2051450"	"OBA_2051450"	"level of pancreatic secretory granule membrane major glycoprotein GP2 in blood"	"OBA_2051450"
"malignant exocrine pancreas neoplasm"	"http://purl.obolibrary.org/obo/MONDO_0002116"	"MONDO_0002116"	"malignant exocrine pancreas neoplasm"	"MONDO_0002116"
