trait	uri	shortForm	trait_label_guess	trait_id_guess
"celiac disease"	"http://www.ebi.ac.uk/efo/EFO_0001060"	"EFO_0001060"	"celiac disease"	"EFO_0001060"
"endometriosis"	"http://www.ebi.ac.uk/efo/EFO_0001065"	"EFO_0001065"	"endometriosis"	"EFO_0001065"
"malaria"	"http://www.ebi.ac.uk/efo/EFO_0001068"	"EFO_0001068"	"malaria"	"EFO_0001068"
"lung carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0001071"	"EFO_0001071"	"lung carcinoma"	"EFO_0001071"
"MHPG measurement"	"http://www.ebi.ac.uk/efo/EFO_0005133"	"EFO_0005133"	"MHPG measurement"	"EFO_0005133"
"thyroxine amount"	"http://purl.obolibrary.org/obo/OBA_1001010"	"OBA_1001010"	"thyroxine amount"	"OBA_1001010"
"antioxidant measurement"	"http://www.ebi.ac.uk/efo/EFO_0005119"	"EFO_0005119"	"antioxidant measurement"	"EFO_0005119"
"arm span"	"http://www.ebi.ac.uk/efo/EFO_0005108"	"EFO_0005108"	"arm span"	"EFO_0005108"
"CCL5 measurement"	"http://www.ebi.ac.uk/efo/EFO_0005117"	"EFO_0005117"	"CCL5 measurement"	"EFO_0005117"
"energy expenditure"	"http://www.ebi.ac.uk/efo/EFO_0005109"	"EFO_0005109"	"energy expenditure"	"EFO_0005109"
"fatty acid amount"	"http://purl.obolibrary.org/obo/OBA_VT0010046"	"OBA_VT0010046"	"fatty acid amount"	"OBA_VT0010046"
"folic acid amount"	"http://purl.obolibrary.org/obo/OBA_1001015"	"OBA_1001015"	"folic acid amount"	"OBA_1001015"
"gestational age"	"http://www.ebi.ac.uk/efo/EFO_0005112"	"EFO_0005112"	"gestational age"	"EFO_0005112"
"head circumference"	"http://purl.obolibrary.org/obo/OBA_VT0000047"	"OBA_VT0000047"	"head circumference"	"OBA_VT0000047"
"IGFBP-1 measurement"	"http://www.ebi.ac.uk/efo/EFO_0005118"	"EFO_0005118"	"IGFBP-1 measurement"	"EFO_0005118"
"metabolic rate measurement"	"http://www.ebi.ac.uk/efo/EFO_0005115"	"EFO_0005115"	"metabolic rate measurement"	"EFO_0005115"
"urinary metabolite measurement"	"http://www.ebi.ac.uk/efo/EFO_0005116"	"EFO_0005116"	"urinary metabolite measurement"	"EFO_0005116"
