initialSampleSize	gxe	gxg	snpCount	imputed	pooled	accessionId	fullPvalueSet	userRequested	diseaseTrait.trait	replicationSampleSize	publicationInfo.pubmedId	publicationInfo.publicationDate	publicationInfo.publication	publicationInfo.title	qualifier	cohort	studyDesignComment	trait_id	trait_label	study_accession	title	first_author	pubmed_id	reported_trait	initial_sample	replication_sample	searchable_text	score_strong	score_support	score_pmid	score_europe	score_total	metadata_complete
"9,040 European ancestry cases, 12,496 European ancestry controls"	"FALSE"	"FALSE"	"11381182"	"TRUE"	"FALSE"	"GCST005434"	"FALSE"	"FALSE"	"Pancreatic cancer"	" up to 2,737 cases, up to 4,752 controls"	"29422604"	"2018-02-08"	"Nat Commun"	"Genome-wide meta-analysis identifies five new susceptibility loci for pancreatic cancer."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST005434"	"Genome-wide meta-analysis identifies five new susceptibility loci for pancreatic cancer."	"Klein AP"	"29422604"	"Pancreatic cancer"	"9,040 European ancestry cases, 12,496 European ancestry controls"	NA	"Genome-wide meta-analysis identifies five new susceptibility loci for pancreatic cancer. | Pancreatic cancer | pancreatic carcinoma | Klein AP | 9,040 European ancestry cases, 12,496 European ancestry controls | "	8	2	8	1	19	TRUE
"9,040 European ancestry cases, 12,496 European ancestry controls"	"FALSE"	"FALSE"	NA	"FALSE"	"FALSE"	"GCST007235"	"FALSE"	"FALSE"	"Pancreatic ductal adenocarcinoma"	"NA"	"30541042"	"2018-12-12"	"J Natl Cancer Inst"	"Agnostic Pathway/Gene Set Analysis of Genome-Wide Association Data Identifies Associations for Pancreatic Cancer."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST007235"	"Agnostic Pathway/Gene Set Analysis of Genome-Wide Association Data Identifies Associations for Pancreatic Cancer."	"Walsh N"	"30541042"	"Pancreatic ductal adenocarcinoma"	"9,040 European ancestry cases, 12,496 European ancestry controls"	NA	"Agnostic Pathway/Gene Set Analysis of Genome-Wide Association Data Identifies Associations for Pancreatic Cancer. | Pancreatic ductal adenocarcinoma | pancreatic carcinoma | Walsh N | 9,040 European ancestry cases, 12,496 European ancestry controls | "	12	2	0	1	15	TRUE
"7,937  European ancestry cases, 11,774 European ancestry controls"	"TRUE"	"FALSE"	"6769447"	"TRUE"	"FALSE"	"GCST012178"	"FALSE"	"FALSE"	"Pancreatic ductal adenocarcinoma x smoking interaction"	"NA"	"33574088"	"2021-02-11"	"Cancer Res"	"Smoking modifies pancreatic cancer risk loci on 2q21.3."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST012178"	"Smoking modifies pancreatic cancer risk loci on 2q21.3."	"Mocci E"	"33574088"	"Pancreatic ductal adenocarcinoma x smoking interaction"	"7,937  European ancestry cases, 11,774 European ancestry controls"	NA	"Smoking modifies pancreatic cancer risk loci on 2q21.3. | Pancreatic ductal adenocarcinoma x smoking interaction | pancreatic carcinoma | Mocci E | 7,937  European ancestry cases, 11,774 European ancestry controls | "	12	2	0	1	15	TRUE
"821 European ancestry younger cases, 2,312 European ancestry older cases"	"FALSE"	"FALSE"	"630600"	"FALSE"	"FALSE"	"GCST012978"	"FALSE"	"FALSE"	"Pancreatic ductal adenocarcinoma (age of onset)(over 60 vs under 60)"	"2,385 European ancestry younger cases, 7,741 European ancestry older cases"	"32270874"	"2020-04-09"	"Int J Cancer"	"Genome-wide association study identifies an early onset pancreatic cancer risk locus."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST012978"	"Genome-wide association study identifies an early onset pancreatic cancer risk locus."	"Campa D"	"32270874"	"Pancreatic ductal adenocarcinoma (age of onset)(over 60 vs under 60)"	"821 European ancestry younger cases, 2,312 European ancestry older cases"	NA	"Genome-wide association study identifies an early onset pancreatic cancer risk locus. | Pancreatic ductal adenocarcinoma (age of onset)(over 60 vs under 60) | pancreatic carcinoma | Campa D | 821 European ancestry younger cases, 2,312 European ancestry older cases | "	12	2	0	1	15	TRUE
"821 European ancestry cases, 3,227 European ancestry controls"	"FALSE"	"FALSE"	"630600"	"FALSE"	"FALSE"	"GCST012979"	"FALSE"	"FALSE"	"Early onset pancreatic ductal adenocarcinoma"	"2,031 European ancestry cases, 7,741 European ancestry controls"	"32270874"	"2020-04-09"	"Int J Cancer"	"Genome-wide association study identifies an early onset pancreatic cancer risk locus."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST012979"	"Genome-wide association study identifies an early onset pancreatic cancer risk locus."	"Campa D"	"32270874"	"Early onset pancreatic ductal adenocarcinoma"	"821 European ancestry cases, 3,227 European ancestry controls"	NA	"Genome-wide association study identifies an early onset pancreatic cancer risk locus. | Early onset pancreatic ductal adenocarcinoma | pancreatic carcinoma | Campa D | 821 European ancestry cases, 3,227 European ancestry controls | "	12	2	0	1	15	TRUE
"518 Han Chinese ancestry cases"	"FALSE"	"FALSE"	NA	"FALSE"	"FALSE"	"GCST011817"	"FALSE"	"FALSE"	"Pancreatic ductal adenocarcinoma"	"552 Han Chinese ancestry cases "	"33975060"	"2021-05-07"	"Eur J Cancer"	"A genetic variant conferred high expression of CAV2 promotes pancreatic cancer progression and associates with poor prognosis."	NA	NA	"Exome array"	"EFO_0002618"	"pancreatic carcinoma"	"GCST011817"	"A genetic variant conferred high expression of CAV2 promotes pancreatic cancer progression and associates with poor prognosis."	"Zhu Y"	"33975060"	"Pancreatic ductal adenocarcinoma"	"518 Han Chinese ancestry cases"	NA	"A genetic variant conferred high expression of CAV2 promotes pancreatic cancer progression and associates with poor prognosis. | Pancreatic ductal adenocarcinoma | pancreatic carcinoma | Zhu Y | 518 Han Chinese ancestry cases | "	12	2	0	0	14	TRUE
"1,771 European ancestry cases, 1,805 European ancestry controls"	"FALSE"	"FALSE"	"558542"	"FALSE"	"FALSE"	"GCST000456"	"FALSE"	"FALSE"	"Pancreatic cancer"	"2,120 European ancestry cases, 2,127 European ancestry controls"	"19648918"	"2009-08-02"	"Nat Genet"	"Genome-wide association study identifies variants in the ABO locus associated with susceptibility to pancreatic cancer."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST000456"	"Genome-wide association study identifies variants in the ABO locus associated with susceptibility to pancreatic cancer."	"Amundadottir L"	"19648918"	"Pancreatic cancer"	"1,771 European ancestry cases, 1,805 European ancestry controls"	NA	"Genome-wide association study identifies variants in the ABO locus associated with susceptibility to pancreatic cancer. | Pancreatic cancer | pancreatic carcinoma | Amundadottir L | 1,771 European ancestry cases, 1,805 European ancestry controls | "	8	2	0	1	11	TRUE
"3,851 European, Chinese and other ancestry cases, 3,934 European, Chinese and other ancestry controls"	"FALSE"	"FALSE"	"551766"	"FALSE"	"FALSE"	"GCST000574"	"FALSE"	"FALSE"	"Pancreatic cancer"	"NA"	"20101243"	"2010-01-24"	"Nat Genet"	"A genome-wide association study identifies pancreatic cancer susceptibility loci on chromosomes 13q22.1, 1q32.1 and 5p15.33."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST000574"	"A genome-wide association study identifies pancreatic cancer susceptibility loci on chromosomes 13q22.1, 1q32.1 and 5p15.33."	"Petersen GM"	"20101243"	"Pancreatic cancer"	"3,851 European, Chinese and other ancestry cases, 3,934 European, Chinese and other ancestry controls"	NA	"A genome-wide association study identifies pancreatic cancer susceptibility loci on chromosomes 13q22.1, 1q32.1 and 5p15.33. | Pancreatic cancer | pancreatic carcinoma | Petersen GM | 3,851 European, Chinese and other ancestry cases, 3,934 European, Chinese and other ancestry controls | "	8	2	0	1	11	TRUE
"97 European ancestry cases, 93 European ancestry controls"	"FALSE"	"FALSE"	"900000"	"FALSE"	"TRUE"	"GCST000686"	"FALSE"	"FALSE"	"Pancreatic cancer"	"63 European ancestry cases, 79 European ancestry controls"	"20484958"	"2010-05-17"	"Pancreatology"	"Pooling-based genome-wide association study implicates gamma-glutamyltransferase 1 (GGT1) gene in pancreatic carcinogenesis."	">"	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST000686"	"Pooling-based genome-wide association study implicates gamma-glutamyltransferase 1 (GGT1) gene in pancreatic carcinogenesis."	"Diergaarde B"	"20484958"	"Pancreatic cancer"	"97 European ancestry cases, 93 European ancestry controls"	NA	"Pooling-based genome-wide association study implicates gamma-glutamyltransferase 1 (GGT1) gene in pancreatic carcinogenesis. | Pancreatic cancer | pancreatic carcinoma | Diergaarde B | 97 European ancestry cases, 93 European ancestry controls | "	8	2	0	1	11	TRUE
"252 European ancestry cases"	"FALSE"	"FALSE"	"301250"	"FALSE"	"FALSE"	"GCST001556"	"FALSE"	"FALSE"	"Pancreatic cancer"	"798 European ancestry cases, 21 African American cases, 10 East Asian ancestry cases, 4 Asian Indian ancestry cases"	"22665904"	"2012-06-04"	"Clin Cancer Res"	"A replication study and genome-wide scan of single-nucleotide polymorphisms associated with pancreatic cancer risk and overall survival."	NA	NA	NA	"EFO_0002618"	"pancreatic carcinoma"	"GCST001556"	"A replication study and genome-wide scan of single-nucleotide polymorphisms associated with pancreatic cancer risk and overall survival."	"Willis JA"	"22665904"	"Pancreatic cancer"	"252 European ancestry cases"	NA	"A replication study and genome-wide scan of single-nucleotide polymorphisms associated with pancreatic cancer risk and overall survival. | Pancreatic cancer | pancreatic carcinoma | Willis JA | 252 European ancestry cases | "	8	2	0	1	11	TRUE
