study_accession	title	reported_trait	trait_label	pubmed_id	score_total	metadata_complete	queried_snp_n	returned_assoc_rows	unique_returned_snps	usable_outcome_rows	overlap_ratio	final_rank
"GCST005434"	"Genome-wide meta-analysis identifies five new susceptibility loci for pancreatic cancer."	"Pancreatic cancer"	"pancreatic carcinoma"	"29422604"	19	TRUE	23	0	0	0	0	19000
"GCST007235"	"Agnostic Pathway/Gene Set Analysis of Genome-Wide Association Data Identifies Associations for Pancreatic Cancer."	"Pancreatic ductal adenocarcinoma"	"pancreatic carcinoma"	"30541042"	15	TRUE	23	0	0	0	0	15000
"GCST012178"	"Smoking modifies pancreatic cancer risk loci on 2q21.3."	"Pancreatic ductal adenocarcinoma x smoking interaction"	"pancreatic carcinoma"	"33574088"	15	TRUE	23	0	0	0	0	15000
"GCST012978"	"Genome-wide association study identifies an early onset pancreatic cancer risk locus."	"Pancreatic ductal adenocarcinoma (age of onset)(over 60 vs under 60)"	"pancreatic carcinoma"	"32270874"	15	TRUE	23	0	0	0	0	15000
"GCST012979"	"Genome-wide association study identifies an early onset pancreatic cancer risk locus."	"Early onset pancreatic ductal adenocarcinoma"	"pancreatic carcinoma"	"32270874"	15	TRUE	23	0	0	0	0	15000
"GCST011817"	"A genetic variant conferred high expression of CAV2 promotes pancreatic cancer progression and associates with poor prognosis."	"Pancreatic ductal adenocarcinoma"	"pancreatic carcinoma"	"33975060"	14	TRUE	23	0	0	0	0	14000
"GCST000456"	"Genome-wide association study identifies variants in the ABO locus associated with susceptibility to pancreatic cancer."	"Pancreatic cancer"	"pancreatic carcinoma"	"19648918"	11	TRUE	23	0	0	0	0	11000
"GCST000574"	"A genome-wide association study identifies pancreatic cancer susceptibility loci on chromosomes 13q22.1, 1q32.1 and 5p15.33."	"Pancreatic cancer"	"pancreatic carcinoma"	"20101243"	11	TRUE	23	0	0	0	0	11000
"GCST000686"	"Pooling-based genome-wide association study implicates gamma-glutamyltransferase 1 (GGT1) gene in pancreatic carcinogenesis."	"Pancreatic cancer"	"pancreatic carcinoma"	"20484958"	11	TRUE	23	0	0	0	0	11000
"GCST001556"	"A replication study and genome-wide scan of single-nucleotide polymorphisms associated with pancreatic cancer risk and overall survival."	"Pancreatic cancer"	"pancreatic carcinoma"	"22665904"	11	TRUE	23	0	0	0	0	11000
"GCST001749"	"Genome-wide association study of survival in patients with pancreatic adenocarcinoma."	"Pancreatic cancer"	"pancreatic carcinoma"	"23180869"	11	TRUE	23	0	0	0	0	11000
"GCST002553"	"Genome-wide association study identifies multiple susceptibility loci for pancreatic cancer."	"Pancreatic cancer"	"pancreatic carcinoma"	"25086665"	11	TRUE	23	0	0	0	0	11000
"GCST003758"	"Three new pancreatic cancer susceptibility signals identified on chromosomes 1q32.1, 5p15.33 and 8q24.21."	"Pancreatic cancer"	"pancreatic carcinoma"	"27579533"	11	TRUE	23	0	0	0	0	11000
"GCST004485"	"Genetic polymorphisms associated with pancreatic cancer survival: a genome-wide association study."	"Survival in pancreatic cancer"	"pancreatic carcinoma"	"28470677"	11	TRUE	23	0	0	0	0	11000
"GCST90011815"	"Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts."	"Pancreatic cancer"	"pancreatic carcinoma"	"32887889"	11	TRUE	23	0	0	0	0	11000
"GCST90011857"	"A multilayered post-GWAS assessment on genetic susceptibility to pancreatic cancer."	"Pancreatic cancer"	"pancreatic carcinoma"	"33517887"	11	TRUE	23	0	0	0	0	11000
"GCST90011858"	"A multilayered post-GWAS assessment on genetic susceptibility to pancreatic cancer."	"Pancreatic cancer"	"pancreatic carcinoma"	"33517887"	11	TRUE	23	0	0	0	0	11000
"GCST90018893"	"A cross-population atlas of genetic associations for 220 human phenotypes."	"Pancreatic cancer"	"pancreatic carcinoma"	"34594039"	11	TRUE	23	0	0	0	0	11000
"GCST90041814"	"A generalized linear mixed model association tool for biobank-scale data. "	"Pancreatic cancer (PheCode 157)"	"pancreatic carcinoma"	"34737426"	11	TRUE	23	0	0	0	0	11000
"GCST90100588"	"Identification of Recessively Inherited Genetic Variants Potentially Linked to Pancreatic Cancer Risk."	"Pancreatic cancer"	"pancreatic carcinoma"	"34926279"	11	TRUE	23	0	0	0	0	11000
"GCST90308761"	"Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis."	"Pancreatic cancer"	"pancreatic carcinoma"	"37340002"	11	TRUE	23	0	0	0	0	11000
"GCST90432146"	"A cross-disorder study to identify causal relationships, shared genetic variants, and genes across 21 digestive disorders."	"Cancer code, self-reported: pancreatic cancer (UKB data field 20001_1026)"	"pancreatic carcinoma"	"37965154"	11	TRUE	23	0	0	0	0	11000
"GCST90475570"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Pancreatic cancer (PheCode 157)"	"pancreatic carcinoma"	"39024449"	11	TRUE	23	0	0	0	0	11000
"GCST90479786"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Pancreatic cancer (PheCode 157)"	"pancreatic carcinoma"	"39024449"	11	TRUE	23	0	0	0	0	11000
"GCST90503274"	"The contribution of coding variants to the heritability of multiple cancer types using UK Biobank whole-exome sequencing data."	"Pancreatic cancer (Gene-based burden)"	"pancreatic carcinoma"	"40073867"	11	TRUE	23	0	0	0	0	11000
"GCST90554823"	"Genome-wide analysis to assess if heavy alcohol consumption modifies the association between SNPs and pancreatic cancer risk."	"Pancreatic cancer x heavy alcohol consumption interaction (1df)"	"pancreatic carcinoma"	"38869494"	11	TRUE	23	0	0	0	0	11000
"GCST90651051"	"Pan-cancer and cross-population genome-wide association studies dissect shared genetic backgrounds underlying carcinogenesis."	"Pancreatic cancer"	"pancreatic carcinoma"	"37340002"	11	TRUE	23	0	0	0	0	11000
"GCST000745"	"Genome-wide association study of pancreatic cancer in Japanese population."	"Pancreatic cancer"	"pancreatic carcinoma"	"20686608"	10	TRUE	23	0	0	0	0	10000
"GCST001350"	"Genome-wide association study identifies five loci associated with susceptibility to pancreatic cancer in Chinese populations."	"Pancreatic cancer"	"pancreatic carcinoma"	"22158540"	10	TRUE	23	0	0	0	0	10000
"GCST002991"	"Common variation at 2p13.3, 3q29, 7p13 and 17q25.1 associated with susceptibility to pancreatic cancer."	"Pancreatic cancer"	"pancreatic carcinoma"	"26098869"	10	TRUE	23	0	0	0	0	10000
