id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	gene	OR	OR_lci95	OR_uci95
"CXCL10"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_CXCL10"	"Wald ratio"	1	-0.340768912217193	0.707926228396738	0.630259111685242	"CXCL10"	0.711223244220244	0.177585282640183	2.84842581321382
"GBP4"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_GBP4"	"Inverse variance weighted"	2	0.50717619584417	0.371031812778473	0.171645828232221	"GBP4"	1.66059537191155	0.802481756795368	3.43631112590794
"GPX4"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_GPX4"	"Inverse variance weighted"	3	-0.0838310551250218	0.113693285318988	0.460913216635818	"GPX4"	0.91958660241585	0.735893483413102	1.14913304493555
"GPX4"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_GPX4"	"Weighted median"	3	-0.0864106105664554	0.113480444990746	0.446383461821586	"GPX4"	0.917217534676177	0.734303915133741	1.14569456675744
"GPX4"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_GPX4"	"MR Egger"	3	-0.155173286504426	0.342716906238236	0.729335789955225	"GPX4"	0.856266785148736	0.43740382639548	1.67623775354456
"IDO1"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_IDO1"	"Inverse variance weighted"	2	0.0474231299394469	0.308680455187611	0.877900072080323	"IDO1"	1.04856559472246	0.572587015921063	1.9202143532141
"IL15RA"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_IL15RA"	"Inverse variance weighted"	2	0.154785685665671	0.209817599357759	0.460687378788834	"IL15RA"	1.16740774208019	0.773788414474709	1.76125774278222
"SLC31A1"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_SLC31A1"	"Inverse variance weighted"	3	-0.0714081893224872	0.210819970707843	0.734823356967585	"SLC31A1"	0.931081756917767	0.615934081387126	1.40747730035124
"SLC31A1"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_SLC31A1"	"Weighted median"	3	-0.0925561807355837	0.21932065703683	0.67301548771195	"SLC31A1"	0.911597995279876	0.593080778895169	1.40117659275074
"SLC31A1"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_SLC31A1"	"MR Egger"	3	-0.377041472993151	0.501691305897679	0.589707166410328	"SLC31A1"	0.685887627493268	0.256569310999364	1.83358576953699
"TGFBI"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_TGFBI"	"Inverse variance weighted"	2	-0.149544831586824	0.159589922167779	0.34872930980022	"TGFBI"	0.861099832682425	0.629807489172383	1.17733265258576
"TGFBR3"	"bbj-a-140"	"Pancreatic cancer || id:bbj-a-140"	"eQTLGen_TGFBR3"	"Inverse variance weighted"	2	-0.703738085428101	0.608163404451636	0.247209871289046	"TGFBR3"	0.494732490647894	0.150207387242775	1.62948202345781
