gsm_archive	sample_name	target_dir	unpack_success	unpack_message
"GSM4710689_PDAC_TISSUE_1.tar.gz"	"GSM4710689_PDAC_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710689_PDAC_TISSUE_1"	TRUE	"untar_success"
"GSM4710690_PDAC_TISSUE_2.tar.gz"	"GSM4710690_PDAC_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710690_PDAC_TISSUE_2"	TRUE	"untar_success"
"GSM4710691_PDAC_TISSUE_3.tar.gz"	"GSM4710691_PDAC_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710691_PDAC_TISSUE_3"	TRUE	"untar_success"
"GSM4710692_PDAC_TISSUE_4.tar.gz"	"GSM4710692_PDAC_TISSUE_4"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710692_PDAC_TISSUE_4"	TRUE	"untar_success"
"GSM4710693_PDAC_TISSUE_5.tar.gz"	"GSM4710693_PDAC_TISSUE_5"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710693_PDAC_TISSUE_5"	TRUE	"untar_success"
"GSM4710694_PDAC_TISSUE_6.tar.gz"	"GSM4710694_PDAC_TISSUE_6"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710694_PDAC_TISSUE_6"	TRUE	"untar_success"
"GSM4710695_PDAC_TISSUE_7.tar.gz"	"GSM4710695_PDAC_TISSUE_7"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710695_PDAC_TISSUE_7"	TRUE	"untar_success"
"GSM4710696_PDAC_TISSUE_8.tar.gz"	"GSM4710696_PDAC_TISSUE_8"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710696_PDAC_TISSUE_8"	TRUE	"untar_success"
"GSM4710697_PDAC_TISSUE_9.tar.gz"	"GSM4710697_PDAC_TISSUE_9"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710697_PDAC_TISSUE_9"	TRUE	"untar_success"
"GSM4710698_PDAC_TISSUE_10.tar.gz"	"GSM4710698_PDAC_TISSUE_10"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710698_PDAC_TISSUE_10"	TRUE	"untar_success"
