sample_name	has_matrix	has_barcodes	has_features	has_metadata	has_direct_object	import_ready	sample_scope	include_for_main_tissue_analysis
"GSM4710689_PDAC_TISSUE_1"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710690_PDAC_TISSUE_2"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710691_PDAC_TISSUE_3"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710692_PDAC_TISSUE_4"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710693_PDAC_TISSUE_5"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710694_PDAC_TISSUE_6"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710695_PDAC_TISSUE_7"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710696_PDAC_TISSUE_8"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710697_PDAC_TISSUE_9"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710698_PDAC_TISSUE_10"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710699_PDAC_TISSUE_11A"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710700_PDAC_TISSUE_11B"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710701_PDAC_TISSUE_12"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710702_PDAC_TISSUE_13"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710703_PDAC_TISSUE_14"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"tumor_tissue"	"YES"
"GSM4710704_PDAC_TISSUE_15"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"tumor_tissue"	"YES"
"GSM4710705_PDAC_TISSUE_16"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"tumor_tissue"	"YES"
"GSM4710706_AdjNorm_TISSUE_1"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"adjacent_normal_tissue"	"NO"
"GSM4710707_AdjNorm_TISSUE_2"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"adjacent_normal_tissue"	"NO"
"GSM4710708_AdjNorm_TISSUE_3"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"adjacent_normal_tissue"	"NO"
"GSM4710709_PDAC_PBMC_1"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710710_PDAC_PBMC_2"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710711_PDAC_PBMC_3"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710712_PDAC_PBMC_4"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710713_PDAC_PBMC_5"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710714_PDAC_PBMC_6"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710715_PDAC_PBMC_7"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710716_PDAC_PBMC_8"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710717_PDAC_PBMC_9"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710718_PDAC_PBMC_10A"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710719_PDAC_PBMC_10B"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710720_PDAC_PBMC_11"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710721_PDAC_PBMC_12"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710722_PDAC_PBMC_13"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710723_PDAC_PBMC_14"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710724_PDAC_PBMC_15"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710725_PDAC_PBMC_16"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"pdac_pbmc"	"NO"
"GSM4710726_Healthy_PBMC_1"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"healthy_pbmc"	"NO"
