gsm_archive	gsm_id	sample_label	sample_scope	include_for_main_tissue_analysis
"GSM4710689_PDAC_TISSUE_1.tar.gz"	"GSM4710689"	"GSM4710689_PDAC_TISSUE_1"	"tumor_tissue"	"YES"
"GSM4710690_PDAC_TISSUE_2.tar.gz"	"GSM4710690"	"GSM4710690_PDAC_TISSUE_2"	"tumor_tissue"	"YES"
"GSM4710691_PDAC_TISSUE_3.tar.gz"	"GSM4710691"	"GSM4710691_PDAC_TISSUE_3"	"tumor_tissue"	"YES"
"GSM4710692_PDAC_TISSUE_4.tar.gz"	"GSM4710692"	"GSM4710692_PDAC_TISSUE_4"	"tumor_tissue"	"YES"
"GSM4710693_PDAC_TISSUE_5.tar.gz"	"GSM4710693"	"GSM4710693_PDAC_TISSUE_5"	"tumor_tissue"	"YES"
"GSM4710694_PDAC_TISSUE_6.tar.gz"	"GSM4710694"	"GSM4710694_PDAC_TISSUE_6"	"tumor_tissue"	"YES"
"GSM4710695_PDAC_TISSUE_7.tar.gz"	"GSM4710695"	"GSM4710695_PDAC_TISSUE_7"	"tumor_tissue"	"YES"
"GSM4710696_PDAC_TISSUE_8.tar.gz"	"GSM4710696"	"GSM4710696_PDAC_TISSUE_8"	"tumor_tissue"	"YES"
"GSM4710697_PDAC_TISSUE_9.tar.gz"	"GSM4710697"	"GSM4710697_PDAC_TISSUE_9"	"tumor_tissue"	"YES"
"GSM4710698_PDAC_TISSUE_10.tar.gz"	"GSM4710698"	"GSM4710698_PDAC_TISSUE_10"	"tumor_tissue"	"YES"
"GSM4710699_PDAC_TISSUE_11A.tar.gz"	"GSM4710699"	"GSM4710699_PDAC_TISSUE_11A"	"tumor_tissue"	"YES"
"GSM4710700_PDAC_TISSUE_11B.tar.gz"	"GSM4710700"	"GSM4710700_PDAC_TISSUE_11B"	"tumor_tissue"	"YES"
"GSM4710701_PDAC_TISSUE_12.tar.gz"	"GSM4710701"	"GSM4710701_PDAC_TISSUE_12"	"tumor_tissue"	"YES"
"GSM4710702_PDAC_TISSUE_13.tar.gz"	"GSM4710702"	"GSM4710702_PDAC_TISSUE_13"	"tumor_tissue"	"YES"
"GSM4710703_PDAC_TISSUE_14.tar.gz"	"GSM4710703"	"GSM4710703_PDAC_TISSUE_14"	"tumor_tissue"	"YES"
"GSM4710704_PDAC_TISSUE_15.tar.gz"	"GSM4710704"	"GSM4710704_PDAC_TISSUE_15"	"tumor_tissue"	"YES"
"GSM4710705_PDAC_TISSUE_16.tar.gz"	"GSM4710705"	"GSM4710705_PDAC_TISSUE_16"	"tumor_tissue"	"YES"
"GSM4710706_AdjNorm_TISSUE_1.tar.gz"	"GSM4710706"	"GSM4710706_AdjNorm_TISSUE_1"	"adjacent_normal_tissue"	"NO"
"GSM4710707_AdjNorm_TISSUE_2.tar.gz"	"GSM4710707"	"GSM4710707_AdjNorm_TISSUE_2"	"adjacent_normal_tissue"	"NO"
"GSM4710708_AdjNorm_TISSUE_3.tar.gz"	"GSM4710708"	"GSM4710708_AdjNorm_TISSUE_3"	"adjacent_normal_tissue"	"NO"
"GSM4710709_PDAC_PBMC_1.tar.gz"	"GSM4710709"	"GSM4710709_PDAC_PBMC_1"	"pdac_pbmc"	"NO"
"GSM4710710_PDAC_PBMC_2.tar.gz"	"GSM4710710"	"GSM4710710_PDAC_PBMC_2"	"pdac_pbmc"	"NO"
"GSM4710711_PDAC_PBMC_3.tar.gz"	"GSM4710711"	"GSM4710711_PDAC_PBMC_3"	"pdac_pbmc"	"NO"
