sample_name	original_import_method	final_import_method	final_matrix_dir	final_matrix_file	stage54_final_include
"GSM4710689_PDAC_TISSUE_1"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710689_PDAC_TISSUE_1/PDAC_TISSUE_1/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710689_PDAC_TISSUE_1/PDAC_TISSUE_1/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710690_PDAC_TISSUE_2"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710690_PDAC_TISSUE_2/PDAC_TISSUE_2/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710690_PDAC_TISSUE_2/PDAC_TISSUE_2/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710691_PDAC_TISSUE_3"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710691_PDAC_TISSUE_3/PDAC_TISSUE_3/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710691_PDAC_TISSUE_3/PDAC_TISSUE_3/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710692_PDAC_TISSUE_4"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710692_PDAC_TISSUE_4/PDAC_TISSUE_4/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710692_PDAC_TISSUE_4/PDAC_TISSUE_4/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710693_PDAC_TISSUE_5"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710693_PDAC_TISSUE_5/PDAC_TISSUE_5/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710693_PDAC_TISSUE_5/PDAC_TISSUE_5/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710694_PDAC_TISSUE_6"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710694_PDAC_TISSUE_6/PDAC_TISSUE_6/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710694_PDAC_TISSUE_6/PDAC_TISSUE_6/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710695_PDAC_TISSUE_7"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710695_PDAC_TISSUE_7/PDAC_TISSUE_7/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710695_PDAC_TISSUE_7/PDAC_TISSUE_7/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710696_PDAC_TISSUE_8"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710696_PDAC_TISSUE_8/PDAC_TISSUE_8/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710696_PDAC_TISSUE_8/PDAC_TISSUE_8/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710697_PDAC_TISSUE_9"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710697_PDAC_TISSUE_9/PDAC_TISSUE_9/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710697_PDAC_TISSUE_9/PDAC_TISSUE_9/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710698_PDAC_TISSUE_10"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710698_PDAC_TISSUE_10/PDAC_TISSUE_10/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710698_PDAC_TISSUE_10/PDAC_TISSUE_10/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710699_PDAC_TISSUE_11A"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710699_PDAC_TISSUE_11A/PDAC_TISSUE_11A/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710699_PDAC_TISSUE_11A/PDAC_TISSUE_11A/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710700_PDAC_TISSUE_11B"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710700_PDAC_TISSUE_11B/PDAC_TISSUE_11B/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710700_PDAC_TISSUE_11B/PDAC_TISSUE_11B/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
"GSM4710701_PDAC_TISSUE_12"	"Read10X"	"Read10X"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710701_PDAC_TISSUE_12/PDAC_TISSUE_12/filtered_feature_bc_matrix"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710701_PDAC_TISSUE_12/PDAC_TISSUE_12/filtered_feature_bc_matrix/matrix.mtx.gz"	"YES"
