gene	panel
"EPCAM"	"epithelial_malignant"
"KRT19"	"epithelial_malignant"
"KRT18"	"epithelial_malignant"
"KRT8"	"epithelial_malignant"
"MUC1"	"epithelial_malignant"
"KRT17"	"epithelial_malignant"
"CEACAM6"	"epithelial_malignant"
"MSLN"	"epithelial_malignant"
"KRT7"	"epithelial_malignant"
"LST1"	"myeloid"
"C1QA"	"myeloid"
"C1QB"	"myeloid"
"C1QC"	"myeloid"
"APOE"	"myeloid"
"FCER1A"	"myeloid"
"HLA-DRA"	"myeloid"
"TYMP"	"myeloid"
"CTSB"	"myeloid"
"CD3D"	"t_nk"
"CD3E"	"t_nk"
"TRBC1"	"t_nk"
"NKG7"	"t_nk"
"GNLY"	"t_nk"
"GZMB"	"t_nk"
"IL7R"	"t_nk"
"MS4A1"	"b_plasma"
"CD79A"	"b_plasma"
"CD79B"	"b_plasma"
"MZB1"	"b_plasma"
"SDC1"	"b_plasma"
"IGKC"	"b_plasma"
"JCHAIN"	"b_plasma"
"IGJ"	"b_plasma"
"COL1A1"	"fibroblast_caf"
"COL1A2"	"fibroblast_caf"
"COL3A1"	"fibroblast_caf"
"DCN"	"fibroblast_caf"
"LUM"	"fibroblast_caf"
"TAGLN"	"fibroblast_caf"
"COL6A3"	"fibroblast_caf"
"SPARC"	"fibroblast_caf"
"RGS5"	"fibroblast_caf"
"PECAM1"	"endothelial"
"VWF"	"endothelial"
"KDR"	"endothelial"
"EMCN"	"endothelial"
"RAMP2"	"endothelial"
"PLVAP"	"endothelial"
"PRSS1"	"acinar_like"
"PRSS3"	"acinar_like"
"CPA1"	"acinar_like"
"CPB1"	"acinar_like"
"REG1A"	"acinar_like"
"REG1B"	"acinar_like"
"MKI67"	"cycling"
"TOP2A"	"cycling"
"UBE2C"	"cycling"
"TYMS"	"cycling"
"CENPF"	"cycling"
