sample_name	full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_object
"GSM4710689_PDAC_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710689_PDAC_TISSUE_1/PDAC_TISSUE_1/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	9295	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710689_PDAC_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710689_PDAC_TISSUE_1/PDAC_TISSUE_1/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710689_PDAC_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710689_PDAC_TISSUE_1/PDAC_TISSUE_1/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	17745044	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710690_PDAC_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710690_PDAC_TISSUE_2/PDAC_TISSUE_2/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	10125	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710690_PDAC_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710690_PDAC_TISSUE_2/PDAC_TISSUE_2/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710690_PDAC_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710690_PDAC_TISSUE_2/PDAC_TISSUE_2/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	15611590	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710691_PDAC_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710691_PDAC_TISSUE_3/PDAC_TISSUE_3/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	14167	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710691_PDAC_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710691_PDAC_TISSUE_3/PDAC_TISSUE_3/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710691_PDAC_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710691_PDAC_TISSUE_3/PDAC_TISSUE_3/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	26967562	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710692_PDAC_TISSUE_4"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710692_PDAC_TISSUE_4/PDAC_TISSUE_4/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	13663	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710692_PDAC_TISSUE_4"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710692_PDAC_TISSUE_4/PDAC_TISSUE_4/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710692_PDAC_TISSUE_4"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710692_PDAC_TISSUE_4/PDAC_TISSUE_4/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	19548040	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710693_PDAC_TISSUE_5"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710693_PDAC_TISSUE_5/PDAC_TISSUE_5/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	10488	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710693_PDAC_TISSUE_5"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710693_PDAC_TISSUE_5/PDAC_TISSUE_5/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710693_PDAC_TISSUE_5"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710693_PDAC_TISSUE_5/PDAC_TISSUE_5/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	17108805	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710694_PDAC_TISSUE_6"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710694_PDAC_TISSUE_6/PDAC_TISSUE_6/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	13006	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710694_PDAC_TISSUE_6"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710694_PDAC_TISSUE_6/PDAC_TISSUE_6/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710694_PDAC_TISSUE_6"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710694_PDAC_TISSUE_6/PDAC_TISSUE_6/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	26357946	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710695_PDAC_TISSUE_7"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710695_PDAC_TISSUE_7/PDAC_TISSUE_7/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	40966	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710695_PDAC_TISSUE_7"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710695_PDAC_TISSUE_7/PDAC_TISSUE_7/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710695_PDAC_TISSUE_7"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710695_PDAC_TISSUE_7/PDAC_TISSUE_7/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	74395905	"YES"	"NO"	"NO"	"NO"	"NO"
