sample_name	n_cells_post_qc	median_nFeature_RNA_post_qc	median_nCount_RNA_post_qc	median_percent_mt_post_qc
"GSM4710689_PDAC_TISSUE_1"	1025	2407	7956	6.91823899371069
"GSM4710690_PDAC_TISSUE_2"	1734	2100.5	5508	2.21796600729583
"GSM4710691_PDAC_TISSUE_3"	1938	1955.5	6554.5	6.16947684997048
"GSM4710692_PDAC_TISSUE_4"	1847	1720	5166	7.50363372093023
"GSM4710693_PDAC_TISSUE_5"	1277	2360	8584	6.21468926553672
"GSM4710694_PDAC_TISSUE_6"	1989	1961	6542	3.75447889079296
"GSM4710695_PDAC_TISSUE_7"	7177	2327	8207	6.21366279069768
"GSM4710696_PDAC_TISSUE_8"	4301	1957	6535	6.59498207885305
"GSM4710697_PDAC_TISSUE_9"	4003	998	2414	2.1549512570549
"GSM4710698_PDAC_TISSUE_10"	1209	1937	4987	5.56267154620311
"GSM4710699_PDAC_TISSUE_11A"	2881	549	900	9.18367346938776
"GSM4710700_PDAC_TISSUE_11B"	1642	645	1216.5	8.19118706942393
"GSM4710701_PDAC_TISSUE_12"	1375	2485	8199	5.8252427184466
"GSM4710702_PDAC_TISSUE_13"	4856	2350.5	7880	3.94627472091363
"GSM4710703_PDAC_TISSUE_14"	659	1858	6398	5.01898253606682
"GSM4710704_PDAC_TISSUE_15"	2667	3192	10788	7.12339431685481
"GSM4710705_PDAC_TISSUE_16"	927	3063	9779	6.58521352174253
