rank	gene
1	"C1QB"
2	"C1QC"
3	"APOE"
4	"PRSS1"
5	"FN1"
6	"TAGLN"
7	"C1QA"
8	"IGFBP7"
9	"GNLY"
10	"IGJ"
11	"COL6A3"
12	"TOP2A"
13	"CEACAM6"
14	"LCN2"
15	"COL6A2"
16	"SPARC"
17	"MKI67"
18	"TIMP3"
19	"SPARCL1"
20	"MMP7"
21	"CALD1"
22	"CCL20"
23	"GPNMB"
24	"SERPINF1"
25	"CCDC80"
26	"MSR1"
27	"UBE2C"
28	"TYMS"
29	"A2M"
30	"GZMB"
31	"AGR2"
32	"ASPM"
33	"TFF2"
34	"RETN"
35	"CENPF"
36	"HLA-DQA1"
37	"FCER1A"
38	"HLA-DPA1"
39	"TPM2"
40	"CCL3"
41	"HLA-DRA"
42	"MZB1"
43	"RARRES1"
44	"NUSAP1"
45	"CD1C"
46	"HLA-DRB1"
47	"NUPR1"
48	"MMP2"
49	"HLA-DPB1"
50	"TSPAN8"
51	"MT1E"
52	"SERPINE1"
53	"KIAA0101"
54	"GZMA"
55	"LAMB3"
56	"MT2A"
57	"CXCL1"
58	"HLA-DQB1"
59	"F3"
60	"FABP5"
61	"FBN1"
62	"STMN1"
63	"HTRA1"
64	"CTSL"
65	"FCN1"
66	"PLAT"
67	"PLA2G7"
68	"KRT7"
69	"THBS1"
70	"C1S"
71	"CLEC10A"
72	"CDK1"
73	"LGALS4"
74	"GPX2"
75	"FTL"
76	"EREG"
77	"SPON2"
78	"CTSK"
79	"FBP1"
80	"IFI27"
81	"IGFBP2"
82	"CPE"
83	"C3"
84	"CYP1B1"
85	"TGM2"
86	"MS4A6A"
87	"MMP9"
88	"CLDN4"
89	"TPX2"
90	"CCL4"
91	"CXCL3"
92	"CLU"
93	"CXCL2"
94	"CTSB"
95	"RRM2"
96	"NNMT"
97	"ID1"
98	"PLD4"
99	"GZMH"
100	"CNN3"
101	"CAV1"
102	"PTTG1"
103	"LGALS2"
104	"MUC1"
105	"DERL3"
106	"PRSS3"
107	"KLRC1"
108	"LYZ"
109	"OLR1"
110	"FCGR2B"
111	"CD163"
112	"CYR61"
113	"CD74"
114	"CA2"
115	"PLAU"
116	"HMMR"
117	"SDC2"
118	"CD79A"
119	"IGFBP4"
120	"FPR3"
121	"SLCO2B1"
122	"PTRF"
123	"BIRC5"
124	"TACSTD2"
125	"MS4A7"
126	"IRF8"
127	"ID3"
128	"MS4A4A"
129	"CLEC11A"
130	"IL3RA"
131	"KLRB1"
132	"CCNB2"
133	"SOX4"
134	"CD36"
135	"PALLD"
136	"CTSD"
137	"CLIC3"
138	"IGLL5"
139	"HES1"
140	"MCAM"
141	"SERPING1"
142	"CCND1"
143	"SPIB"
144	"HLA-DMB"
145	"DAB2"
146	"TMEM158"
147	"CASC5"
148	"CSTB"
149	"ITGA1"
150	"C2"
151	"PLOD2"
152	"COL1A1"
153	"APOC1"
154	"CTHRC1"
155	"MT1G"
156	"IGFBP3"
157	"TFF1"
158	"S100A9"
159	"PTGDS"
160	"S100A8"
161	"COL5A2"
162	"SPINK1"
163	"AEBP1"
164	"TFF3"
165	"CTGF"
166	"INHBA"
167	"KRT19"
168	"S100A12"
169	"MYL9"
170	"C11orf96"
171	"CXCL5"
172	"WFDC2"
173	"SDS"
174	"COL4A1"
175	"FBLN1"
176	"COL4A2"
177	"PIGR"
178	"PSCA"
179	"COL6A1"
180	"ADIRF"
181	"SLPI"
182	"MT1X"
183	"RNASE1"
184	"S100P"
185	"RARRES2"
186	"S100B"
187	"KRT8"
188	"ACP5"
189	"AL928768.3"
190	"PCOLCE"
191	"C15orf48"
192	"GZMK"
193	"HOPX"
194	"C1R"
195	"KRT18"
196	"ANTXR1"
197	"PPP1R14A"
198	"TM4SF1"
199	"MFAP5"
200	"PRSS23"
201	"CCNB1"
202	"CDKN3"
203	"CXCL17"
204	"LGMN"
205	"LIPA"
206	"TIMP1"
207	"PDZK1IP1"
208	"LAMC2"
209	"TCF4"
210	"DEFB1"
211	"IL1RN"
212	"SEPP1"
213	"NKG7"
214	"HIST1H4C"
215	"FGFBP2"
216	"OTOA"
217	"PHLDA2"
218	"FSTL1"
219	"IFI6"
220	"IL4I1"
221	"CLDN10"
222	"SOD3"
223	"TNFRSF18"
224	"CYP27A1"
225	"AKAP12"
226	"MT1M"
227	"KRT16"
228	"F13A1"
229	"PRF1"
230	"XCL2"
231	"ISG15"
232	"PI3"
233	"CD14"
234	"IFIT3"
235	"HPGDS"
236	"TPM1"
237	"ITGA2"
238	"TNFRSF12A"
239	"RGCC"
240	"FCGR3A"
241	"S100A14"
242	"IGSF6"
243	"MS4A1"
244	"MAP1B"
245	"GTSE1"
246	"SFN"
247	"CDKN1C"
248	"HPGD"
249	"TMC5"
250	"IFIT1"
251	"GNG11"
252	"RBP1"
253	"MXRA5"
254	"PLTP"
255	"OLFML2B"
256	"AREG"
257	"RAMP1"
258	"DLGAP5"
259	"GEM"
260	"EDIL3"
261	"GCNT3"
262	"GATA2"
263	"KLRC2"
264	"C19orf59"
265	"MRC1L1"
266	"CST6"
267	"MALL"
268	"PMEPA1"
269	"ANGPTL4"
270	"SOX9"
271	"C10orf10"
272	"S100A16"
273	"SPC25"
274	"CD68"
275	"LTBP1"
276	"MDK"
277	"C8orf4"
278	"MAFB"
279	"CENPE"
280	"CLSPN"
281	"PKIB"
282	"CRYAB"
283	"GGT5"
284	"AURKB"
285	"HES4"
286	"SERPINE2"
287	"KPNA2"
288	"FHL2"
289	"ITGB8"
290	"ENPP2"
291	"MGST1"
292	"HIST1H1C"
293	"PRKCDBP"
294	"IFI30"
295	"GM2A"
296	"PRSS22"
297	"ATP1B1"
298	"EMP1"
299	"BICC1"
300	"C1orf54"
301	"CENPA"
302	"NUF2"
303	"NCAPG"
304	"TGFB1I1"
305	"NQO1"
306	"TMEM45A"
307	"CD8B"
308	"FCGR1A"
309	"SLC1A3"
310	"PHLDA1"
311	"PDLIM4"
312	"PLK1"
313	"HLA-DOA"
314	"KIFC1"
315	"TPSAB1"
316	"ACTA2"
317	"CXCL14"
318	"DPCR1"
319	"G0S2"
320	"MT1H"
321	"TCN1"
322	"MMP1"
323	"GDF15"
324	"TM4SF4"
325	"PLIN2"
326	"IL1B"
327	"TNFRSF4"
328	"IL8"
329	"TINAGL1"
330	"KRT17"
331	"MXRA8"
332	"ANXA10"
333	"GPRC5A"
334	"TNFRSF17"
335	"DKK3"
336	"CPVL"
337	"PDGFRB"
338	"COL15A1"
339	"MYLK"
340	"IGFBP6"
341	"VCAN"
342	"COX7A1"
343	"C19orf33"
344	"PCSK1N"
345	"EMILIN1"
346	"LILRA4"
347	"GCHFR"
348	"TK1"
349	"FBLN2"
350	"CES1"
351	"DUOX2"
352	"TGFBI"
353	"AKR1C3"
354	"RGS16"
355	"IFIT2"
356	"PODXL"
357	"HMGB2"
358	"MUC13"
359	"FSTL3"
360	"SCD"
361	"CLDN7"
362	"CFD"
363	"PRC1"
364	"CEP55"
365	"CYBB"
366	"LAMP5"
367	"SLC40A1"
368	"ANXA3"
369	"SFTA2"
370	"S100A6"
371	"ANKRD36C"
372	"LAMA4"
373	"FILIP1L"
374	"PMP22"
375	"CD83"
376	"MIA"
377	"ALDH1A1"
378	"SLC7A11"
379	"VCAM1"
380	"SCT"
381	"ECM1"
382	"HSPG2"
383	"CDCA3"
384	"LAMA3"
385	"CAMK2N1"
386	"STAB1"
387	"HMOX1"
388	"SGK1"
389	"CAV2"
390	"PLD3"
391	"KLRD1"
392	"ITGA6"
393	"SLC2A1"
394	"FAM111B"
395	"CCNA2"
396	"CTSZ"
397	"IFI44L"
398	"DUSP5"
399	"MRC2"
400	"CD8A"
401	"FBXO32"
402	"LDLR"
403	"CRIP2"
404	"LAD1"
405	"AXL"
406	"TNF"
407	"MYBL2"
408	"SERPINH1"
409	"TFPI"
410	"ENG"
411	"CD93"
412	"FOXQ1"
413	"VSIG2"
414	"BASP1"
415	"LMCD1"
416	"HJURP"
417	"DDR2"
418	"DCBLD2"
419	"CADM1"
420	"FOXP3"
421	"HBEGF"
422	"TNFAIP6"
423	"MARCKSL1"
424	"RRAD"
425	"IL1R1"
426	"KIF11"
427	"KCNQ1OT1"
428	"TUBB"
429	"C1orf186"
430	"MAD2L1"
431	"LRRC26"
432	"TROAP"
433	"MSRB3"
434	"FKBP10"
435	"ITM2C"
436	"EGR2"
437	"TMEM47"
438	"CD300E"
439	"ANO1"
440	"PCNA"
441	"MMP11"
442	"REG1A"
443	"FXYD3"
444	"APOD"
445	"COL8A1"
446	"MUC5AC"
447	"FABP4"
448	"CTSE"
449	"RGS1"
450	"S100A2"
451	"NTM"
452	"TSPAN1"
453	"CP"
454	"MAL2"
455	"EPCAM"
456	"LMO7"
457	"AGR3"
458	"F2R"
459	"NMU"
460	"COL18A1"
461	"SDCBP2"
462	"ANLN"
463	"LHFP"
464	"MEG3"
465	"RP11-1143G9.4"
466	"ERRFI1"
467	"CXCL12"
468	"LGALS1"
469	"IL2RA"
470	"DPYSL3"
471	"NOTCH3"
472	"COLEC12"
473	"MSLN"
474	"KCNK1"
475	"HLA-DMA"
476	"EGFL7"
477	"EDN1"
478	"GJB2"
479	"VMO1"
480	"ITGB4"
481	"SDC4"
482	"OLFML3"
483	"CFH"
484	"MT1F"
485	"SNCG"
486	"CYP3A5"
487	"GPR34"
488	"PTGS2"
489	"GOLM1"
490	"MFGE8"
491	"THBD"
492	"SLC16A10"
493	"GJA1"
494	"ITGB6"
495	"ATF3"
496	"NR2F2"
497	"MET"
498	"ZWINT"
499	"PLAC8"
500	"LINC01133"
501	"ZNF331"
502	"CKS2"
503	"LAMB1"
504	"TUBA1B"
505	"CKB"
506	"THSD7A"
