p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	5.13384903096324	0.255	0.016	0	"0"	"CTLA4"
0	4.49493247835968	0.386	0.016	0	"0"	"CD40LG"
0	4.44661665858332	0.437	0.013	0	"0"	"MAL"
0	4.43816505067683	0.29	0.043	0	"0"	"TNFRSF4"
0	4.02791685656209	0.509	0.036	0	"0"	"CCR7"
0	4.01392272736063	0.396	0.036	0	"0"	"LEF1"
0	3.87554658674268	0.305	0.036	0	"0"	"TRABD2A"
0	3.63664179673618	0.538	0.06	0	"0"	"PRKCQ-AS1"
0	3.6201994275924	0.432	0.056	0	"0"	"TNFRSF25"
0	3.54853950916741	0.303	0.029	0	"0"	"CD28"
0	5.05046482679943	0.674	0.034	0	"1"	"CD8A"
0	4.93461882275972	0.547	0.035	0	"1"	"GZMK"
0	4.70619660214995	0.567	0.027	0	"1"	"CD8B"
0	4.34662618666073	0.377	0.027	0	"1"	"CXCR6"
0	4.02206397717156	0.288	0.025	0	"1"	"LAG3"
0	3.86317082472716	0.975	0.119	0	"1"	"CCL5"
0	3.81867809555684	0.368	0.037	0	"1"	"THEMIS"
0	3.4626821133796	0.307	0.04	0	"1"	"CXCR3"
0	3.44968757880017	0.556	0.058	0	"1"	"AC092580.4"
0	3.29804590958783	0.942	0.174	0	"1"	"CD2"
0	5.70975067316048	0.321	0.006	0	"2"	"CCL13"
0	5.67697767060078	0.286	0.003	0	"2"	"IGSF21"
0	5.60723945336651	0.63	0.019	0	"2"	"FOLR2"
0	5.27421939720181	0.886	0.053	0	"2"	"C1QC"
0	5.21394592144513	0.645	0.019	0	"2"	"MRC1"
0	5.17584618961819	0.291	0.003	0	"2"	"LILRB5"
0	5.133455048116	0.307	0.011	0	"2"	"GLDN"
0	5.13016574120384	0.873	0.063	0	"2"	"C1QB"
0	5.07595992995741	0.856	0.031	0	"2"	"MRC1L1"
0	4.95969913958564	0.911	0.081	0	"2"	"C1QA"
0	6.62217067308265	0.612	0.012	0	"3"	"ALPL"
0	6.16745471865084	0.416	0.004	0	"3"	"DEFA3"
0	6.13872294825682	0.981	0.036	0	"3"	"CXCR2"
0	5.90532434709873	0.631	0.035	0	"3"	"LINC01001"
0	5.87511610398879	0.649	0.019	0	"3"	"PROK2"
0	5.8573361656429	0.757	0.014	0	"3"	"CXCR1"
0	5.81762303111193	0.827	0.025	0	"3"	"CMTM2"
0	5.33790101278068	0.552	0.019	0	"3"	"MGAM"
0	5.33042889498169	0.563	0.04	0	"3"	"KCNJ2"
0	5.04435803040129	1	0.198	0	"3"	"S100A8"
0	3.90548191149439	0.314	0.092	0	"4"	"CLDN10"
0	3.53924227979738	0.391	0.101	0	"4"	"TM4SF4"
0	3.53008007725237	0.327	0.092	0	"4"	"PIGR"
0	3.29309207949987	0.43	0.161	0	"4"	"MSLN"
1.1234785771054e-203	3.13168456592711	0.319	0.129	2.77791312975081e-199	"4"	"DEFB1"
0	2.96795337767322	0.596	0.385	0	"4"	"ANXA4"
2.80800809393995e-191	2.94027167005168	0.306	0.124	6.94308081307591e-187	"4"	"MMP7"
2.86585554136435e-91	2.82436786474609	0.296	0.173	7.08611441157749e-87	"4"	"TMEM54"
1.70334260928421e-152	2.70258713701337	0.446	0.301	4.21168493571613e-148	"4"	"TMEM238"
6.56173448130606e-124	2.66075609490471	0.375	0.23	1.62245446784774e-119	"4"	"SLC40A1"
0	5.18032508390594	0.684	0.218	0	"6"	"IL8"
0	5.10197525505113	0.386	0.058	0	"6"	"LUCAT1"
0	4.6921359159524	0.326	0.076	0	"6"	"7SK.2"
1.07607692468575e-243	4.43917242600792	0.281	0.09	2.66070780397799e-239	"6"	"CYP4F3"
1.02044908092271e-161	4.24117084789712	0.286	0.123	2.5231623974895e-157	"6"	"PHACTR1"
3.66396329497811e-253	3.9062570967899	0.3	0.099	9.05951564316287e-249	"6"	"IL1R2"
0	3.78934790809056	0.859	0.236	0	"6"	"CSF3R"
3.01151641721787e-225	3.75027756092327	0.383	0.172	7.44627549321291e-221	"6"	"PTGS2"
0	3.72896470747474	0.503	0.162	0	"6"	"LRRK2"
0	3.7029997535185	0.719	0.453	0	"6"	"NABP1"
0	6.73361846122226	0.48	0.015	0	"7"	"SLAMF9"
0	5.84626705520038	0.288	0.017	0	"7"	"AGRP"
0	4.87034759697046	0.92	0.279	0	"7"	"PLIN2"
0	4.6488426991239	0.387	0.055	0	"7"	"ANGPTL4"
0	4.60784785450403	0.901	0.193	0	"7"	"SPP1"
0	4.28433956548669	0.355	0.04	0	"7"	"ADSSL1"
0	4.19915742110161	0.574	0.064	0	"7"	"IL4I1"
0	4.17786802786363	0.579	0.11	0	"7"	"CD109"
0	4.17348093479755	0.414	0.048	0	"7"	"DFNA5"
0	4.16574380486649	0.845	0.273	0	"7"	"CTSL"
0	9.74402938022484	0.998	0.049	0	"9"	"TPSAB1"
0	9.61153524695083	0.997	0.013	0	"9"	"CPA3"
0	9.46430397035662	0.808	0.003	0	"9"	"MS4A2"
0	9.40560373389854	0.857	0.004	0	"9"	"RP11-354E11.2"
0	8.8318177924844	0.269	0.007	0	"9"	"CTSG"
0	8.70638620814049	0.309	0.002	0	"9"	"SVOPL"
0	8.57573118980606	0.896	0.008	0	"9"	"SLC18A2"
0	8.5019241050602	0.426	0.003	0	"9"	"CDK15"
0	8.47845545216791	0.932	0.008	0	"9"	"IL1RL1"
0	8.41598671955949	0.972	0.014	0	"9"	"KIT"
0	3.86268384192914	0.531	0.092	0	"11"	"FCN1"
8.38547614635664e-163	3.52466644540569	0.284	0.087	2.07339283194814e-158	"11"	"CD36"
1.19189583572401e-157	3.45959561892288	0.286	0.091	2.94708164341118e-153	"11"	"CFP"
1.26564789496351e-136	3.41954486514319	0.33	0.133	3.12944098508678e-132	"11"	"MPEG1"
4.45473021317233e-53	3.09618265013785	0.332	0.222	1.10147659250899e-48	"11"	"DUSP6"
5.75432742244929e-43	2.93366959539515	0.368	0.296	1.42281499847481e-38	"11"	"AP1S2"
5.79897873981968e-64	2.8903256479013	0.293	0.162	1.43385548320781e-59	"11"	"CPVL"
1.39966097737718e-184	2.79883739686953	0.474	0.221	3.46080173266282e-180	"11"	"FGL2"
4.70082047578005e-36	2.78288746001034	0.292	0.207	1.16232487084137e-31	"11"	"CSTA"
