cluster_id	sample_name	n_cells	cluster_total	pct_in_cluster
"10"	"GSM4710704_PDAC_TISSUE_15"	281	1475	0.190508474576271
"10"	"GSM4710691_PDAC_TISSUE_3"	170	1475	0.115254237288136
"10"	"GSM4710697_PDAC_TISSUE_9"	164	1475	0.111186440677966
"10"	"GSM4710692_PDAC_TISSUE_4"	159	1475	0.107796610169492
"10"	"GSM4710693_PDAC_TISSUE_5"	139	1475	0.0942372881355932
"10"	"GSM4710700_PDAC_TISSUE_11B"	120	1475	0.0813559322033898
"10"	"GSM4710702_PDAC_TISSUE_13"	97	1475	0.0657627118644068
"10"	"GSM4710701_PDAC_TISSUE_12"	70	1475	0.0474576271186441
"10"	"GSM4710689_PDAC_TISSUE_1"	66	1475	0.0447457627118644
"10"	"GSM4710690_PDAC_TISSUE_2"	59	1475	0.04
"10"	"GSM4710703_PDAC_TISSUE_14"	49	1475	0.0332203389830508
"10"	"GSM4710694_PDAC_TISSUE_6"	43	1475	0.0291525423728814
"10"	"GSM4710696_PDAC_TISSUE_8"	40	1475	0.0271186440677966
"10"	"GSM4710699_PDAC_TISSUE_11A"	9	1475	0.00610169491525424
"10"	"GSM4710695_PDAC_TISSUE_7"	6	1475	0.00406779661016949
"10"	"GSM4710705_PDAC_TISSUE_16"	2	1475	0.00135593220338983
"10"	"GSM4710698_PDAC_TISSUE_10"	1	1475	0.000677966101694915
"17"	"GSM4710691_PDAC_TISSUE_3"	511	1005	0.508457711442786
"17"	"GSM4710693_PDAC_TISSUE_5"	81	1005	0.0805970149253731
"17"	"GSM4710695_PDAC_TISSUE_7"	77	1005	0.0766169154228856
"17"	"GSM4710699_PDAC_TISSUE_11A"	62	1005	0.0616915422885572
"17"	"GSM4710692_PDAC_TISSUE_4"	58	1005	0.0577114427860697
"17"	"GSM4710702_PDAC_TISSUE_13"	47	1005	0.0467661691542289
"17"	"GSM4710704_PDAC_TISSUE_15"	34	1005	0.0338308457711443
"17"	"GSM4710689_PDAC_TISSUE_1"	30	1005	0.0298507462686567
"17"	"GSM4710696_PDAC_TISSUE_8"	26	1005	0.0258706467661692
"17"	"GSM4710697_PDAC_TISSUE_9"	18	1005	0.017910447761194
"17"	"GSM4710690_PDAC_TISSUE_2"	16	1005	0.0159203980099502
"17"	"GSM4710700_PDAC_TISSUE_11B"	12	1005	0.0119402985074627
"17"	"GSM4710694_PDAC_TISSUE_6"	11	1005	0.0109452736318408
"17"	"GSM4710705_PDAC_TISSUE_16"	10	1005	0.0099502487562189
"17"	"GSM4710698_PDAC_TISSUE_10"	8	1005	0.00796019900497512
"17"	"GSM4710703_PDAC_TISSUE_14"	3	1005	0.00298507462686567
"17"	"GSM4710701_PDAC_TISSUE_12"	1	1005	0.00099502487562189
"21"	"GSM4710689_PDAC_TISSUE_1"	199	723	0.275242047026279
"21"	"GSM4710694_PDAC_TISSUE_6"	87	723	0.120331950207469
"21"	"GSM4710704_PDAC_TISSUE_15"	70	723	0.0968188105117566
"21"	"GSM4710695_PDAC_TISSUE_7"	59	723	0.0816044260027663
"21"	"GSM4710702_PDAC_TISSUE_13"	59	723	0.0816044260027663
"21"	"GSM4710697_PDAC_TISSUE_9"	50	723	0.0691562932226833
"21"	"GSM4710696_PDAC_TISSUE_8"	41	723	0.0567081604426003
"21"	"GSM4710701_PDAC_TISSUE_12"	28	723	0.0387275242047026
"21"	"GSM4710693_PDAC_TISSUE_5"	27	723	0.037344398340249
"21"	"GSM4710700_PDAC_TISSUE_11B"	23	723	0.0318118948824343
"21"	"GSM4710691_PDAC_TISSUE_3"	22	723	0.0304287690179806
"21"	"GSM4710692_PDAC_TISSUE_4"	22	723	0.0304287690179806
"21"	"GSM4710698_PDAC_TISSUE_10"	12	723	0.016597510373444
"21"	"GSM4710703_PDAC_TISSUE_14"	11	723	0.0152143845089903
"21"	"GSM4710690_PDAC_TISSUE_2"	7	723	0.00968188105117566
"21"	"GSM4710699_PDAC_TISSUE_11A"	4	723	0.00553250345781466
"21"	"GSM4710705_PDAC_TISSUE_16"	2	723	0.00276625172890733
"26"	"GSM4710704_PDAC_TISSUE_15"	310	423	0.732860520094563
"26"	"GSM4710689_PDAC_TISSUE_1"	107	423	0.252955082742317
"26"	"GSM4710692_PDAC_TISSUE_4"	3	423	0.00709219858156028
"26"	"GSM4710695_PDAC_TISSUE_7"	2	423	0.00472813238770686
"26"	"GSM4710697_PDAC_TISSUE_9"	1	423	0.00236406619385343
