cluster_id	sample_name	n_cells	median_signature12_module	median_mcd_focus_module
"17"	"GSM4710689_PDAC_TISSUE_1"	30	-0.0647302462404005	-0.142123481175966
"17"	"GSM4710690_PDAC_TISSUE_2"	16	-0.0346299214333417	0.000484038844090554
"17"	"GSM4710691_PDAC_TISSUE_3"	511	-0.01857936298461	0.0166011616034424
"17"	"GSM4710692_PDAC_TISSUE_4"	58	-0.0227420449481002	-0.0624885734405878
"17"	"GSM4710693_PDAC_TISSUE_5"	81	-0.021987607780411	-0.0588418358350588
"17"	"GSM4710694_PDAC_TISSUE_6"	11	0.0202733809829039	0.0113857918599342
"17"	"GSM4710695_PDAC_TISSUE_7"	77	-0.0198274162458048	-0.064579509984182
"17"	"GSM4710696_PDAC_TISSUE_8"	26	-0.060180152290328	0.0820278902140491
"17"	"GSM4710697_PDAC_TISSUE_9"	18	-0.0650539046917447	-0.00796208168541276
"17"	"GSM4710698_PDAC_TISSUE_10"	8	-0.000564470322645005	-0.105745822254633
"17"	"GSM4710699_PDAC_TISSUE_11A"	62	-0.0996732535616231	-0.0472978733626496
"17"	"GSM4710700_PDAC_TISSUE_11B"	12	-0.038850852004944	-0.0405157451004386
"17"	"GSM4710701_PDAC_TISSUE_12"	1	-0.043067312716538	-0.0698509470977832
"17"	"GSM4710702_PDAC_TISSUE_13"	47	-0.0261731219842024	0.104268699605772
"17"	"GSM4710703_PDAC_TISSUE_14"	3	-0.0249248835628774	-0.0776229562851647
"17"	"GSM4710704_PDAC_TISSUE_15"	34	-0.0083815812577477	-0.00597311922597782
"17"	"GSM4710705_PDAC_TISSUE_16"	10	-0.0183721598887593	-0.067200519581371
"26"	"GSM4710689_PDAC_TISSUE_1"	107	-0.0038317950821794	-0.0686190127519801
"26"	"GSM4710692_PDAC_TISSUE_4"	3	0.03245855623586	0.0451196560428257
"26"	"GSM4710695_PDAC_TISSUE_7"	2	0.194972930076273	0.397846336124857
"26"	"GSM4710697_PDAC_TISSUE_9"	1	0.0140131186909244	0.240803420232017
"26"	"GSM4710704_PDAC_TISSUE_15"	310	-0.00925160146989035	0.0395357777790551
"4"	"GSM4710689_PDAC_TISSUE_1"	16	-0.0529728260866369	-0.089047073648437
"4"	"GSM4710690_PDAC_TISSUE_2"	119	-0.0379116869977497	-0.0860017471554175
"4"	"GSM4710691_PDAC_TISSUE_3"	43	-0.0337774062528781	0.0510077825717674
"4"	"GSM4710692_PDAC_TISSUE_4"	63	-0.0353400485519325	-0.12820131774012
"4"	"GSM4710693_PDAC_TISSUE_5"	145	-0.0368390652826131	0.0332025481438465
"4"	"GSM4710694_PDAC_TISSUE_6"	26	-0.0570899097519046	-0.0567074345525922
"4"	"GSM4710695_PDAC_TISSUE_7"	8	-0.0629920473527248	-0.0874135456839305
"4"	"GSM4710696_PDAC_TISSUE_8"	99	-0.0492819384122412	0.025993399367429
"4"	"GSM4710697_PDAC_TISSUE_9"	137	-0.0450978676712441	0.0697839564000566
"4"	"GSM4710698_PDAC_TISSUE_10"	67	-0.0873735033648925	-0.00837305178134823
"4"	"GSM4710699_PDAC_TISSUE_11A"	1581	-0.0994041400538076	-0.0340263152234559
"4"	"GSM4710700_PDAC_TISSUE_11B"	69	-0.0405171903519971	0.118733305006063
"4"	"GSM4710701_PDAC_TISSUE_12"	7	0	0.0130891286890107
"4"	"GSM4710702_PDAC_TISSUE_13"	67	-0.0419284876788459	0.0813916306468303
"4"	"GSM4710703_PDAC_TISSUE_14"	5	0	0.0884165089886841
"4"	"GSM4710704_PDAC_TISSUE_15"	50	-0.0395599118670579	-0.0623386308444898
"4"	"GSM4710705_PDAC_TISSUE_16"	7	-0.0103396937341213	0.0489490219117347
