sample_name	n_cells	median_signature12_module	mean_signature12_module	median_mcd_focus_module	mean_mcd_focus_module
"GSM4710703_PDAC_TISSUE_14"	8	-0.0107629284088229	0.00226082887593291	-0.0450406341146638	0.0164751824227374
"GSM4710704_PDAC_TISSUE_15"	394	-0.0124878719650331	-0.00248359982803532	0.035374140078053	0.0418508228881952
"GSM4710705_PDAC_TISSUE_16"	17	-0.0176865682755257	-0.000154117400482908	-0.0573927257736432	-0.0200294351225699
"GSM4710701_PDAC_TISSUE_12"	8	-0.0185449649853365	-0.00352475822482869	-0.0283809092043863	-0.0653202141296498
"GSM4710691_PDAC_TISSUE_3"	554	-0.0203351389202132	-0.0106552716842236	0.0173379169325626	0.0255104750729315
"GSM4710695_PDAC_TISSUE_7"	87	-0.0238327644421304	0.00358746272346132	-0.0637918761375139	-0.0298016488831723
"GSM4710692_PDAC_TISSUE_4"	124	-0.0329840307608223	-0.00806529601037258	-0.0921503385748612	-0.0377735669105127
"GSM4710693_PDAC_TISSUE_5"	226	-0.0339570422663237	-0.000413289130974047	-0.0219964649472184	0.0200153860395267
"GSM4710702_PDAC_TISSUE_13"	114	-0.0368440972481369	-0.0064761454889524	0.0936441354701498	0.07933279235421
"GSM4710690_PDAC_TISSUE_2"	135	-0.0379116869977497	-0.00143194498292422	-0.0678052064556338	-0.0199445164138089
"GSM4710689_PDAC_TISSUE_1"	153	-0.0385756686208655	-0.00323199784638631	-0.0894692483439374	-0.052736019771532
"GSM4710700_PDAC_TISSUE_11B"	81	-0.0400570819059374	-0.00793300088722129	0.0938979059816536	0.0622228053278487
"GSM4710697_PDAC_TISSUE_9"	156	-0.0459480587201079	-0.00284684911336356	0.0409627673893767	0.0244650486150512
"GSM4710696_PDAC_TISSUE_8"	125	-0.0504849529973749	-0.00326389034903312	0.0508869508318836	0.0544645115018762
"GSM4710694_PDAC_TISSUE_6"	37	-0.0521958553943148	0.00605402313405008	-0.0517241029940137	0.0378222975627853
"GSM4710698_PDAC_TISSUE_10"	75	-0.084929923528056	-0.0444453664011623	-0.00962878776494561	-0.0295554029209626
"GSM4710699_PDAC_TISSUE_11A"	1643	-0.099453417299874	-0.0512119801286075	-0.0365262281612732	-0.0441226127257852
