drug_full	drug_base	n_high	n_low	median_high	median_low	delta_high_minus_low	p_value	p_adj	preferred_in_group	drug	response_direction	significance_tier
"Sorafenib_1085"	"Sorafenib"	84	84	2.98713417056287	2.32944621130741	0.657687959255457	3.08029847856265e-16	4.00438802213145e-15	"low_risk_more_sensitive"	"Sorafenib"	"low-risk favored"	"strong"
"Irinotecan_1088"	"Irinotecan"	84	84	3.05330495184445	2.09245783496232	0.96084711688213	2.76969902209944e-14	1.80030436436463e-13	"low_risk_more_sensitive"	"Irinotecan"	"low-risk favored"	"strong"
"Oxaliplatin_1806"	"Oxaliplatin"	84	84	5.32235217351352	4.65750740353867	0.66484476997485	4.16196503189514e-13	1.80351818048789e-12	"low_risk_more_sensitive"	"Oxaliplatin"	"low-risk favored"	"strong"
"Cisplatin_1005"	"Cisplatin"	84	84	3.51041160078705	2.8241950281147	0.686216572672349	2.68859669446657e-09	6.99035140561309e-09	"low_risk_more_sensitive"	"Cisplatin"	"low-risk favored"	"strong"
"Gemcitabine_1190"	"Gemcitabine"	84	84	-0.440530417573303	-1.27812808922606	0.837597671652753	1.56009308506435e-07	3.3802016843061e-07	"low_risk_more_sensitive"	"Gemcitabine"	"low-risk favored"	"strong"
"Trametinib_1372"	"Trametinib"	84	84	0.329591226253307	0.938359300897732	-0.608768074644425	0.00047541693585598	0.000882917166589678	"high_risk_more_sensitive"	"Trametinib"	"high-risk favored"	"strong"
"Dasatinib_1079"	"Dasatinib"	84	84	1.43999428723082	1.87440201554073	-0.43440772830991	0.00105530210255717	0.0017148659166554	"high_risk_more_sensitive"	"Dasatinib"	"high-risk favored"	"moderate"
"5-Fluorouracil_1073"	"5-Fluorouracil"	84	84	4.93183708837198	4.63854541272559	0.293291675646382	0.00210149595560655	0.00303549415809836	"low_risk_more_sensitive"	"5-Fluorouracil"	"low-risk favored"	"moderate"
"Paclitaxel_1080"	"Paclitaxel"	84	84	-2.70037032310624	-2.89937284332826	0.199002520222011	0.040902415951051	0.0531731407363663	"low_risk_more_sensitive"	"Paclitaxel"	"low-risk favored"	"weak_or_ns"
"Erlotinib_1168"	"Erlotinib"	84	84	2.66148550810901	2.57975199397347	0.0817335141355438	0.208464529537846	0.246367171271999	"low_risk_more_sensitive"	"Erlotinib"	"low-risk favored"	"weak_or_ns"
"Selumetinib_1736"	"Selumetinib"	84	84	4.12611380526205	4.13101595346819	-0.0049021482061411	0.259431269725623	0.281050542202758	"high_risk_more_sensitive"	"Selumetinib"	"high-risk favored"	"weak_or_ns"
"Bortezomib_1191"	"Bortezomib"	84	84	-4.85125197392572	-4.82018353231538	-0.031068441610338	0.897772055671793	0.897772055671793	"high_risk_more_sensitive"	"Bortezomib"	"high-risk favored"	"weak_or_ns"
