gene	n_rows	out_file	has_raw_table	has_SNP	has_chr	has_pos	has_effect_allele	has_other_allele	has_pval	has_gene_symbol	has_gene_id	has_zscore	has_samplesize	has_beta	has_se	has_eaf	convertible_to_30_template_now	reason
CXCL10	1142	05_MR/02_processed_data/37_candidate_gene_tables/CXCL10_eqtlgen_raw.tsv	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	raw_table_found_but_beta_se_eaf_missing_need_additional_reconstruction_or_support_files
GBP4	1058	05_MR/02_processed_data/37_candidate_gene_tables/GBP4_eqtlgen_raw.tsv	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	raw_table_found_but_beta_se_eaf_missing_need_additional_reconstruction_or_support_files
GPX4	813	05_MR/02_processed_data/37_candidate_gene_tables/GPX4_eqtlgen_raw.tsv	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	raw_table_found_but_beta_se_eaf_missing_need_additional_reconstruction_or_support_files
IDO1	1299	05_MR/02_processed_data/37_candidate_gene_tables/IDO1_eqtlgen_raw.tsv	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	raw_table_found_but_beta_se_eaf_missing_need_additional_reconstruction_or_support_files
IL15RA	376	05_MR/02_processed_data/37_candidate_gene_tables/IL15RA_eqtlgen_raw.tsv	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	raw_table_found_but_beta_se_eaf_missing_need_additional_reconstruction_or_support_files
INHBA	0		FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	gene_not_found_in_full_table
MET	0		FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	gene_not_found_in_full_table
SLC31A1	750	05_MR/02_processed_data/37_candidate_gene_tables/SLC31A1_eqtlgen_raw.tsv	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	raw_table_found_but_beta_se_eaf_missing_need_additional_reconstruction_or_support_files
TGFBI	1531	05_MR/02_processed_data/37_candidate_gene_tables/TGFBI_eqtlgen_raw.tsv	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	raw_table_found_but_beta_se_eaf_missing_need_additional_reconstruction_or_support_files
TGFBR3	352	05_MR/02_processed_data/37_candidate_gene_tables/TGFBR3_eqtlgen_raw.tsv	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	raw_table_found_but_beta_se_eaf_missing_need_additional_reconstruction_or_support_files
